,Title,Author,Date,Text
0,,,,
1,"DOH: 12 to 23 years to address shortage of nurses, doctors under existing policies","By LLANESCA T. PANTI, GMA Integrated News",2023-05-04," It would take 12 to 23 years for the country to address the shortage of nurses and doctors, respectively, under the current situation, the Department of Health (DOH) said Thursday.
 DOH officer-in-charge Undersecretary Maria Rosario Vergeire made the admission after House appropriations panel senior vice chairperson Stella Quimbo pointed out that a lot of licensed physicians and nurses are not working in the health sector based on government records.
 DOH records showed there are 44,602 physicians and 178,629 nurses working in the country, a far cry from Professional Regulatory Commission’s records showing 95,000 licensed doctors and 509,000 licensed nurses.
 The lack of active nurses and physicians was earlier revealed in a Senate hearing.
 “Not all of our doctors and nurses are working within the [health] sector. They are in other professions such as teaching, Business Process Outsourcing, among others,” Vergeire said.
 Quizzed by Quimbo on how many additional nurses and physicians are needed, the DOH OIC said the country is in need of additional 178,000 nurses and 114,000 physicians.
 “We produce 4,387 physicians and 10,645 nurses per year, so it would take 12 years for the nurses, and 23 years for physicians [to meet such a target],” Vergeire said.
 Quimbo then urged the DOH to address the situation, given the huge number of unmet needs.
 “These figures [of active nurses and physicians] are way behind PRC’s records,” she said.
 Quimbo then suggested that nurses and physicians of state schools and universities should be mandated to render a certain period of service to the country to close the gap.
 “The new graduates of public schools could be mandated, but I imagine it would be difficult to make the same policy for private schools. But for those who graduated from public schools, since their education is financed by taxpayers, they should be willing to render the mandatory service,” she said.
 “This will also serve as an additional training for them and  they will earn their salary, too, so it would not be a complete sacrifice,” she added.—AOL, GMA Integrated News
"
2,"Over 61M PhilIDs, ePhilIDs delivered — PSA",By GMA Integrated News,2023-05-04," The Philippine Statistics Authority (PSA) on Thursday announced that over 61 million Filipinos have been issued with their Philippine Identification System (PhilSys) IDs.
 In a statement, the PSA said that so far 29.84 million PhilIDs or national IDs have been delivered by the Philippine Postal Corporation (Post Office).
 The agency added that, at present, a total of 37.11 million PhilIDs were printed from the facilities of the Bangko Sentral ng Pilipinas (BSP), which accounts for nearly half or 47.3% of the recorded Step 2 registrants at 78.49 million.
 To bridge this gap and ensure that individuals can immediately access the benefits of registering to the PhilSys, the PSA said it introduced the ePhilID (the digital version of the national ID that is printed at registration centers) which holds the same functionality and validity as the physical card.
 The agency said 31.7 million ePhilIDs have already been delivered.
 “This brings a combined total of 61.54 million PhilIDs and ePhilIDs delivered, which can already be used by registrants in transactions,” the PSA said.
 The number of delivered PhilIDs and ePhilIDs accounted for 78.4% of the total Step 2 registrants —means the appearance at registration centers to capture biometric information and verify demographic details.
 Despite issuing ePhilIDs, the PSA said it is continuously engaging with the BSP and Post Office to further accelerate the printing and delivery of the physical cards.
 “The PSA takes great pride in these milestones secured by PhilSys, including huge strides toward the government’s goal of financial inclusion,” it said.
 “Through the co-location strategy with the Land Bank of the Philippines during PhilSys registration, about 8.4 million unbanked Filipinos gained access to formal financial services, of which 5.8 million were able to open transaction accounts. A total of P275.8 million worth of transactions have already circulated in said accounts,” it added.
 The PSA said it is also collaborating with the Department of Social Welfare and Development (DSWD) for a data matching exercise, where individuals belonging in poor households from the Listahanan are matched with the PhilSys Registry to verify uniqueness.
 The PSA is currently verifying 30.5 million individuals from 5.4 million households in the Listahanan. — Ted Cordero/RSJ, GMA Integrated News
"
3,Vergeire: Lack of law prevents PH from procuring bivalent COVID-19 vaccines,"By LLANESCA T. PANTI, GMA Integrated News",2023-05-04," The Department of Health cannot buy bivalent COVID-19 vaccines, which targets Omicron COVID-19 and its subvariants, because there is no law authorizing such, DOH officer-in-charge Undersecretary Maria Rosario Vergeire said Thursday.
 Vergeire made the disclosure during the House appropriations panel oversight meeting on the budgetary performance of the DOH.
 She said the country is counting on donated bivalent COVID-19 vaccines due to arrive by the end of the month prompting queries from House appropriations panel senior vice chairperson Stella Quimbo.
 “Why is that we are not very active in procuring bivalent COVID-19 vaccines and we are depending on donation. As it is, our healthcare workers remain vulnerable because they are not yet protected,”  Quimbo said.
 Vergeire responded by saying: “We just like to make mention and emphasize that we did all things possible. Unfortunately, procurement is a non-option for us right now because of the existing laws in the country.”
 “We don’t have a basis to do procurement as stated in provisions required by manufacturers for us to be able to enter agreements with them. We opted for donations at this point because we do not have a policy for us to go through the procurement process. The state of calamity was lifted, and because of that, our COVID-19 Vaccination law is already not valid,” she added.
 The country's state of calamity ended last December 31, 2022. President Ferdinand ""Bongbong"" Marcos Jr. did not issue an order extending the state of calamity despite DOH's proposal.
 Vergeire then said that allowing procurement of such vaccines outside of a state of calamity declaration is provided under the proposed bill establishing Center for Disease Control (CDC), a measure already certified urgent by the President.
 The CDC bill has been approved on final reading in the House of Representatives, but the measure is still languishing in the Senate.
 Vergeire said the government has a budget to buy bivalent COVID-19 vaccines.
 “We have a budget from our [COVID-19] loans, that is why we did not include it in the General Appropriations Act proposal,” she said.
 Quimbo, for her part, assured aid in terms of passing legislation for the procurement of bivalent COVID-19 vaccines.
 “If there is a need to pass the law, the Congress is open to it, we will find ways to help you,” she added.—AOL, GMA Integrated News  
"
4,Passengers advised to coordinate with airlines ahead of May 17 airspace shutdown,"By RICHA NORIEGA, GMA Integrated News",2023-05-04," The Civil Aviation Authority of the Philippines (CAAP) advised affected passengers on Thursday to coordinate with airlines ahead of the May 17 airspace shutdown.   The Philippine airspace will be closed for six hours on May 17 (12 midnight to 6 a.m.) to give way to maintenance activities on the country’s air traffic management system, the Manila International Airport Authority (MIAA) said on Tuesday.   Around 130 flights and 20,000 passengers are expected to be affected by the temporary closure.
 “Nainform na natin ang mga airline kaya we assume na yung mga pasahero nila ininform nila na tatamaan doon sa date at time na gagawin natin itong repair but just the same inuulit namin doon sa mga pasahero magcheck sila sa mga airlines nila kung itong day na ito doon sila bibiyahe para at least malaman nila yung adjusted departure na ito,” CAAP spokesperson Eric Apolonio said in the public briefing.
 (We have already informed the airlines, so we assume that they have also informed their passengers that will be affected by the date and time that we will be doing this repair, but just the same, we ask passengers to check with their airlines regarding their flights on that day so that they at least know about their adjusted departure.)
 He also apologized to the public for the maintenance activity, saying that this is to prevent glitches similar to the January 1 incident that led to the closure of Philippine airspace, affecting thousands of passengers.
 “Humihingi kami ng paumanhin dahil itong ginagawa namin ay para sa improvement at hopefully wala ng mangyayaring itong glitch na nangyari noong January 1. Kayo rin ang makikinabang dahil tuloy tuloy yung operation ng ating airspace,” he added.
 (We apologize because what we are doing is for improvement, and hopefully this glitch that happened on January 1 will not happen again. The public will also benefit from the continuous operation of our airspace.)
 He said the maintenance activities could be shorter, adding that they will immediately lift the Notice to Airmen (NOTAM) once the repairs are finished. —VBL, GMA Integrated News
"
5,Comelec presents TOR for an automated election system,"By JOAHNA LEI CASILAO, GMA Integrated News",2023-05-04," The Commission on Elections (Comelec) on Thursday presented its terms of reference for an automated election system for the 2025 mid-term elections.
 At a press conference, Comelec chairperson George Garcia pushed for the Fully Automated System with Transparency Audit and Count (FASTrAC), saying that some of the poll body’s 98,000 vote-counting machines can no longer work.
 The Comelec will use a combination of the Upgraded Optical Mark Reader Paper-Based AES with Direct Recording Electronic capabilities.
 Garcia, however, said they will still conduct a market survey.
 “We’re hoping na magkaroon ng response sa market survey namin before the— even before the end or the early part of June natin. Malalaman niyo po kung merong available pala or hindi available sa market,” Garcia said.
 [We’re hoping to have a response to our market survey before the end of the year of early part of June. You'll be informed if there would be any available in the market or not.]
 “This early gusto na naming ilatag na agad, makapag-procurement kami short of award by July this year so  we can award by January or February next year at makapag end-to-end testing po tayo,” he added.
 [So this early, we want to lay it down ... so we can award by January or February next year and make an end-to-end testing.]
 Garcia also appealed to authorities to carefully look over their proposal when the agency asks for its budget.
 “Sana matignan po ng mabuti yung kagandahan po ng proposal na mai-set aside na namin yung mga lumang makina at maka-procure, makapag-lease ng bagong machine. Take note po, lease lang naman po ito. Hindi pa naman kami bibili,” he said.
 [We hope our proposal will be looked into so that we can set aside the old machines and we can ... lease new machines. Take note, we will lease and not procure yet.] 
 He said that if they do not obtain a budget, they will resort to using the 98,000 VCMs they declared unusable.
 The Comelec chairperson also said that the poll body projects voters to increase to 71 million by the next elections. 
 Garcia said they also have a wish list for suggestions that were not included in the terms of reference.
 “Dito po naipasok namin yung mga suggestions before ng Comelec Advisory Council… may mga pinasok po ako diyan. At yung iba na hindi namin naipasok sa TOR, nilagay namin sa wish list,” he said.
 [We included here the suggestions of the Comelec Advisory Council. And we included suggestions that were not included on a wish list.]
 The Advisory Council had recommended Comelec to use a biometric voter authentication, adopt an internationally recognized election system standard, adopt technologies for transparency, and training, among others. — RSJ, GMA Integrated News
"
6,"DOLE looking into red-tagging of union members, says official","By JON VIKTOR D. CABUENAS, GMA Integrated News",2023-05-04," The Department of Labor and Employment (DOLE) is ""reviewing"" issues and concerns regarding the alleged red-tagging of labor union members and activists.
 According to DOLE Bureau of Local Employment division chief Patrick Patriwirawan Jr., the agency is now in talks with stakeholders, and has put in place a mechanism to study and review issues and concerns of unions or workers organizations.
 “Pinag-aaralan pa po itong mga sitwasyon na ito, so kung sa pagtatapos po ng pag-aaral or pagre-review makikita natin na may evidence or wala, doon po malalaman kung ano ‘yung magiging polisiya,” he said in The Mangahas Interviews (TMI).
 (These situations are still being looked into, so upon the completion of the study or the review we see evidence or the lack thereof, that is when we will know what policies will be put in place.)
 A number of local labor groups have long been calling for an end to the red-tagging of trade union members and activists, as well as the release of detained unionists who were allegedly arrested through trumped-up charges in a bid to silence them.
 Patriwirawan said the dialogues will continue but declined to give a specific timeline for this.
 “Ongoing pa rin naman po ‘yung dialogue natin, hindi ko po masasabi kung kailan, pero sinisiguro po natin na bukas po ang Department of Labor and Employment sa pakikipag-ugnayan sa ating stakeholders lalong lalo na sa mga workers organization,” he said.
 (Our dialogue is still ongoing, and I cannot say when it will be completed but we ensure that the DOLE is open to coordinating with our stakeholders, especially with workers organizations.) —KBK, GMA Integrated News
"
7,PNP chief Acorda vows to prioritize missing ‘sabungeros’ case,By GMA Integrated News,2023-05-04," Philippine National Police (PNP) chief Police General Benjamin Acorda Jr. said the case of missing cockfighting enthusiasts would be prioritized.
 According to Emil Sumangil’s report on GMA Integrated News’ Unang Balita on Thursday, Acorda said he is already asking for regular updates on the search for the six suspects with warrant of arrest.
 “They will be conducting regular meetings pa rin to make sure na hindi po nabibitawan ito...Those incidents na medyo wala pang nai-file na kaso we are pursuing them,” Acorda said.
 (They will be conducting regular meetings to make sure that they would not let this go. We are pursuing those incidents without cases filed yet.)
 According to him, tracker teams have been created for the case.
 Earlier, families of the missing sabungeros asked for help from Acorda for the arrest of the suspects tagged in the abduction of their kin.
 Authorities have been investigating eight formal cases of missing sabungeros involving 34 individuals through the Special Investigation Task Group “Sabungero.”
 In February, an arrest warrant for kidnapping and serious illegal detention was issued for Julie Patidongan, Gleer Codilla, Mark Carlo Zabala, Virgilio Bayog, Johnry Consolacion, and Roberto Matillano Jr.
 This is over the disappearance of John Claude Inonog, James Baccay, Marlon Baccay, Rondel Cristorum, Mark Joseph Velasco, and Rowel Gomez who went missing at the Manila Arena in January 2022.
 Recently, Justice Secretary Jesus Crispin Remulla said tracker teams will be formed to look for the suspects linked to the disappearance of the six sabungeros.
 According to Remulla, names of possible masterminds behind the disappearances have been mentioned but added that authorities still have no evidence.
 Meanwhile, for the case of the alleged abduction of e-sabong master agent Ricardo Lasco in Laguna, the pre-trial hearing is set for June.
 Kidnapping, serious illegal detention, and robbery with violence charges were filed against Police Patrolman Rigel Brosas, Police Staff Sergeant Daryl Paghangaan, and former Police Corporal Roy Navarete.
 The suspects surrendered to authorities and pleaded not guilty to the charges. — Joviland Rita/RSJ, GMA Integrated News
"
8,Marcos OKs creation of body for 125th PH independence,"By ANNA FELICIA BAJO, GMA Integrated News",2023-05-04," President Ferdinand ""Bongbong"" Marcos Jr. approved the creation of an inter-agency committee for the commemoration of the 125th anniversary of Philippine independence and nationhood.
 Under Administrative Order No. 8, Marcos said a committee should be created to “facilitate the planning and execution of programs and projects” for the commemoration of the 125th Philippine independence anniversary.
 The order noted that the Philippines would commemorate the 125th anniversary of Philippine independence from 2023 to 2026 to “give focus on the freedom that our forebearers struggled for towards that they dreamed for the country and the history that we seek to remember and honor them with.”
 The said committee will be chaired by the National Historical Commission of the Philippines (NHCP) while the Department of the Interior and Local Government (DILG) will serve as vice-chair.
 Republic Act No. 10086 or the “Strengthening Peoples’ Nationalism Through Philippine History Act” provides that the state shall provide the means to ""strengthen people's nationalism, love of country, respect for its heroes and pride for the people's accomplishments by reinforcing the importance of Philippine national and local history in daily life with the end in view of raising social consciousness.”
 It is further ordered to ""reinvigorate government support for historical research; and sustaining and enhancing programs for the protection, preservation and conservation of historical relics and memorabilia, monuments, sites and other historical resources.”—LDF, GMA Integrated News
"
9,"PH, US set up bilateral defense guidelines to modernize alliance","By ANNA FELICIA BAJO, GMA Integrated News",2023-05-04," WASHINGTON—Defense Department officer in charge Carlito Galvez and US Defense Secretary Lloyd Austin on Wednesday established the bilateral defense guidelines between the two countries to modernize the alliance cooperation ""for a free and open Indo-Pacific region.""
 According to a fact sheet from the US Department of Defense, the guidelines ""reaffirmed that an armed attack in the Pacific, including anywhere in the South China Sea, on either of their aircraft or armed forces – which includes their Coast Guards – would invoke mutual defense commitments under the 1951 PH-US Mutual Defense Treaty.""
 ""Recognizing that threats may arise in several domains—including land, sea, air, space, and cyberspace—and take the form of asymmetric, hybrid, and irregular warfare and gray-zone tactics, the guidelines chart a way forward to build interoperability in both conventional and non-conventional domains,"" the DOD fact sheet read.
 The guidelines aim to strengthen Manila and Washington's combined deterrence in an evolving security environment, including to:  - Reaffirm the US - Philippines Mutual Defense Treaty’s enduring relevance in addressing both current and emerging threats; - Foster a common understanding of roles, missions, and capabilities within the framework of the alliance to face regional and global security challenges; - Drive unity of effort across all areas of bilateral security and defense cooperation to sustain focus on principal regional security concerns; and - Guide priority areas of defense cooperation to address both conventional and non-conventional security challenges of shared concern.
 In modernizing defense capabilities, the defense departments of the two countries should coordinate closely on the Philippines’ defense modernization, including through the completion of a Security Sector Assistance Roadmap.
 It is also a must to prioritize the procurement of interoperable defense platforms sourced from US programs and Philippine national defense procurement and funding initiatives.
 They should also expand investments in non-materiel defense capacity building including through education and training exchanges, exercises, and other operational activities.
 When it comes to deepening interoperability, there is a need to orient bilateral exercises and activities around improving the combined ability to counter armed attacks on either country as well as threats in space and cyberspace, while expanding the scope, scale, and complexity of exercises.
 Further, the two countries should expand cooperation on maritime security and maritime domain awareness, including through the continued conduct of combined maritime activities, including but not limited to joint patrols.
 Cooperation under the Enhanced Defense Cooperation Agreement (EDCA) must also be deepened to strengthen interoperability, including through infrastructure improvements; enhanced joint use of facilities; advancement of additional maritime security, maritime domain awareness, and humanitarian assistance and disaster relief capabilities; and rotational US access to Agreed Locations.
 The two countries should also sustain participation in multilateral fora, anchored in shared support for ASEAN centrality.
 Moreover, there is a need to prioritize trilateral and other forms of multilateral cooperation based on common issues of shared concern, including pursuing opportunities for third-party participation and observation in bilateral US - Philippine defense activities.
 The Philippines and the US also vowed to enhance bilateral planning and information sharing on ""early indicators of threats"" to peace and security. 
 Both stressed the need for ""real time information sharing"" and for enhancing information security through consultations on policies, practices and procedures ""for the protection of classified defense and military information.""
 According to a readout of Austin's meeting with President Ferdinand Marcos Jr. at the Pentagon on Wednesday, they ""lauded the conclusion of new US-Philippines Bilateral Defense Guidelines, which chart their vision for alliance cooperation across all operational domains.""
 ""The two leaders underscored their shared desire to deepen bilateral planning and operational cooperation including an increased tempo of combined maritime activities, such as joint patrols, to support the Philippines’ lawful exercise of its rights in the South China Sea,"" the Pentagon readout said.
 Marcos, who's on an official visit, attended a full honors ceremony at the US Department of Defense grounds, and trooped the line. —NB, GMA Integrated News
"
