,Title,Author,Date,Text
0,US firms keen on hiring Pinoy workers from Sudan,byManila Standard,"May 5, 2023,","American companies have expressed interest in employing overseas Filipino workers (OFWs) recently rescued by the Philippine government from Sudan, Department of Migrant Workers (DMW) Secretary Susan Ople said on Wednesday.
ADVERTISEMENT
Ople said that US businesses are willing to look at the profiles of the displaced employees, most of whom are skilled workers.
The official also said some of the workers include international school teachers, nurses, construction workers, and engineers.
Ople said among the top US employers interested in employing the rescued OFWs included Patty Jeffrey, executive vice president for International Operations of MedPro International, Magsaysay People Resources/Magsaysay Maritime Corporation under Doris Magsaysay-Ho and John Padget, president and chief experience and innovation officer of Carnival Corporation, Princess Cruises.
Ople said the DMW is already preparing the OFWs’ profiles, which will be provided to employers in the US and Saudi Arabia, which also expressed interest in hiring Filipinos.
“There are employers in the US and also in the cruise ship industry and Saudi Arabia that are very much interested and would like to see profiles of our workers from Sudan, she said.
“For Saudi Arabia, we are working closely with PEACEME, a recruitment industry association geared towards employment in KSA as well as with the Ministry of Human Resource and Social Development,” she added.
Ople pointed out that livelihood support and assistance are also in place for the displaced OFWs.
“All OFWs have received $200 care of the DMW while they are in Egypt and then livelihood package, financial assistance of initially P50,000 and then through OWWA (Overseas Workers Welfare Administration) regional offices. The initial P50,000 will be coming from the DMW’s direct aid to the worker, another P50,000 will be given by OWWA to the families of the workers,” she said.
In a meeting with President Ferdinand Marcos Jr., Padget said his group of companies is set to hire some 75,000 Filipino seafarers in the next three to four years.Padget also represents Carnival Cruise
Line, Holland American Airlines and Seaborn. On the other hand, MedPro International is an industry leader in the recruitment, training, and staffing of foreign-educated healthcare professionals.
ADVERTISEMENTSince 2006, the company has helped thousands of foreign-educated healthcare professionals achieve a rewarding career in the US.
ADVERTISEMENT
There are more than four million Filipino immigrants (temporary and permanent) in the United States, representing the 4th largest immigrant group after Mexicans, Indians and Chinese.
ADVERTISEMENT
"
1,DICT to launch SIM Check to fight scammers,byOrlan L. Mauricio,"May 5, 2023,","The Department of Information and Communications Technology (DICT) is set to launch “Project: SIM Check Mo” next week as part of the government’s efforts to combat cybercrime.
ADVERTISEMENT
The project involves a text messaging service thru the DICT’s Hotline“1326” that provides every citizen the capability to validate in 10 seconds the partial identity and status of a SIM number of a suspected scammer.
All one needs to do is text SIM CHECK, space, plus the 11-digit number and send it to 1326.
The sender will then receive the status of the SIM, which will indicate whether it is already registered or not, the initials of the SIM owner, and a remark on whether it has a good or derogatory record.
“The project needs to be launched ASAP and immediately while we await the expiration of the 90-day extension period for the mandatory sim registration under Republic Act 11934,” DICT Executive Director Alexander Ramos of the agency’s Cybercrime Investigation and Coordinating Center said.
The official said the three-month extension is a “very long and dangerous time that can be taken advantage of by scammers to continue all sorts of scheming to swindle unsuspecting individuals.”
“Cybercrime prevention is a three-way shared responsibility between the telcos and the consumers-subscribers. The government acts as the supervising-cyber security to ensure that the public enjoys a safe cyberspace,” Norman Ancheta, OIC of the Inter Agency Response Center that handles the 24/7 operations of DICT’s Hotline 1326, said.
“Project SIM Check” is also in line with DICT Sec. Ivan John Uy’s priority of ensuring cyber security for the public while the country transitions to having all SIM card users registered by July 25, the deadline of the 90-day extension, the DICT said.
Ramos assured the public that compliance with all data privacy requirements is presently being ironed out with the legal liaison of the National Privacy Commission and the CICC.
“Compliance with the SIM Card Registration Law is simply analogous with responsible gun ownership. Do you want to have a community with thousands of unregistered firearms or licensed gun owners? If all the sim card owners are registered with the government, the chances of its users committing crimes will likely be less because they know the consequences,” he said.
ADVERTISEMENT
"
2,PNP to implement cigarette and vape ban among minors,byCharles Dantes,"May 5, 2023,","The Philippine National Police on Thursday announced stricter monitoring of minors using cigarettes and vape devices as the force intensified its Oplan Bisita Eskwela.
ADVERTISEMENT
PNP Spokesperson Col. Redrico Maranan explained that new Police Chief Gen. Benjamin Acorda decided to give out the directive after parents and teachers appealed to watch over them.
“Our Chief PNP has received reports that some have been accosted, warned, and had vape items and products confiscated which they are bringing into and around schools,” said Maranan in a public briefing.
The spokesman also shared that the PNP will partner with the Department of Social Welfare and Development in enforcing the smoking ban among minors.
PNP’s Oplan Balik Eskwela required police officers to visit local communities and patrol schools in their respective areas of responsibility to prevent students from being victimized by criminal elements.
Maranan added that the police will coordinate with local government units and follow local ordinances and laws in enforcing the order.
Acorda commanded the chiefs of police and provincial directors to coordinate with local government units and school officials to guard the youth from using vape and smoking, “because we know the ill effects they have on their young bodies,” he added.
Maranan also assured the public that the police will handle the cases carefully, especially cases concerning minors.
“There should be special handling of their cases too. We don’t want them to be thrown into jail or just file charges against them. We want to warn them, remind them, and give them proper information (on vaping and smoking),” he stressed.
ADVERTISEMENT
"
3,More people think ROTC should be optional than compulsory—SWS,byVito Barcelo,"May 4, 2023,","More Filipinos think that the Reserve Officers Training Corps (ROTC) program should be optional rather than compulsory, according to a Social Weather Station (SWS) survey.
ADVERTISEMENT
The survey, conducted March 26 to 29, showed that 42 percent of the respondents believed that ROTC should be optional for senior high school students.
On the other hand, 35 percent opined that ROTC should be compulsory, while 22 percent asserted that the basic military training should not be in the senior high school’s curriculum at all.
Those who favored making the ROTC program an “optional” course were of the consensus that the students should be given the chance to choose between military training or community service.
Respondents from the Visayas indicated the highest level of support (46 percent) in making ROTC mandatory for senior high school students, followed by Mindanao with 34 percent, “Balance” Luzon with 32 percent, and Metro Manila, 29 percent.
Metro Manilans and the Visayans manifested the highest level of support for non-inclusion of the ROTC in the senior high school curriculum with identical 25 percent.
Mindanao and “Balance” Luzon came in second and third with 22 percent and 21 percent, respectively.
Those in Balance Luzon had the highest support for ROTC to be an optional course at 47 percent, followed by Metro Manila with 46 percent; Mindanao, 42 percent; and Visayas, 28 percent,
The polling had a 2.8 percent margin of error.
The SWS also said only one percent of the respondents were either undecided or simply did not have an answer to the question.
ADVERTISEMENT
"
4,PNP prioritizes cases of missing ‘sabungeros ‘,byCharles Dantes,"May 4, 2023,","The Philippine National Police (PNP) has given top priority to solving the reported involuntary disappearance of six security guards of a cockfighting facility in Manila.
ADVERTISEMENT
Meanwhile, the San Pablo Regional Trial Court has started hearings on the alleged abduction of e-sabong master agent Ricardo Lasco from his residence in August 2021.
PNP chief Gen. Benjamin Acorda Jr. hinted that they were leaving no stone unturned in the investigations on the cases of the six missing security guards of the Manila Arena, believed to be related to e-sabong or online cockfighting.
“They will be conducting regular meetings pa rin to make sure na hindi po nabibitawan ito…Those incidents na medyo wala pang nai-file na kaso we are pursuing them,” Acorda said.
The victims’ families have called on Acorda to ask for help in putting closure to the cases.
According to Acorda, he’s been asking for regular updates from the Special Investigation Task Group handling the cases of the missing sabungeros.
The task group reported that it was giving particular attention to at least eight of the 34 reported missing cockfight aficionados.
Justice Secretary Jesus Crispin Remulla had said tracker teams would be formed to go after the suspects in the missing sabungeros.
The DOJ also offered a P6-million reward for any information leading to the arrest of suspects.
Three former policemen, Cpl. Roy Navarette, Pat. Rigel Brosas and Cpl. Daryl Paghangaan, have surrendered and were charged with kidnapping and serious illegal detention of Lasco.
ADVERTISEMENT
"
5,Kadiwa stores post over P6.4m sales nationwide,byManila Standard,"May 4, 2023,","The government-run Kadiwa stores have generated sales of over P6.4 million nationwide, with the National Capital Region and Central Luzon recording sales of over P1 million each, according to the Department of Labor and Employment (DOLE).
ADVERTISEMENT
The Kadiwa in NCR, which recorded sales amounting to P1,009,903.24, was set up at the SMX Convention Center in Pasay City on April 30, with its opening attended by President Ferdinand Marcos, Jr. no less.
Meanwhile, the Kadiwa outlets in Central Luzon established in San Jose Del Monte City in Bulacan; Angeles City in Pampanga; and Mariveles, Bataan, also reported sales surpassing the P1-million mark apiece.
Other Kadiwa ng Pangulo para sa Manggagawa sites in Luzon chalked up the following sales: Cordillera Administrative Region – P193,583.00; Ilocos Region – P464,769.00; Cagayan Valley Region– P302,418.00; CALABARZON – P137,654.00; and Bicol Region – P673,056.87.
Meanwhile, the Kadiwa outlets in the Visayas and Mindanao reported the following sales: Western Visayas – P214,838.00; Central Visayas – P636,362.00; Eastern Visayas – P472,296.75; Zamboanga Peninsula Region – P288,834.00; Northern Mindanao – P280,801.75; Davao Region – P147,436.00; SOCCSKSARGEN – P203,338.95; and Caraga – P555,756.57.
The DOLE said the figures were as of May 2 only and was expected to increase as sales reports from the regional offices were still not in.
DOLE has put up 29 Kadiwa outlets nationwide offering consumer products at affordable prices
Kadiwa enables the farming community to sell goods directly to consumers without the trader-intermediaries, allowing them to reap higher profits while still offering quality products at an affordable price to consumers. 
ADVERTISEMENT
"
6,Exigency plans readied for Mindoro fishermen,byJoel E. Zurbano,"May 4, 2023,","The Department of the Interior and Local Government (DILG) and the Bureau of Fisheries and Aquatic Resources (BFAR) are mapping out plans to help fishermen affected by the massive oil spill in Oriental Mindoro.
ADVERTISEMENT
DILG Secretary Benjamin Abalos, Jr. has recommended to President Ferdinand Marcos Jr. the sharing of fishing areas following a meeting with local leaders and affected fishermen in the island.
“The DILG and BFAR will adopt a cluster approach to ensure that all affected fisherfolk will have a place to go and congestion in one fishing area will be avoided,” Abalos said. Joel E. Zurbano
The DILG chief said the affected municipalities of San Teodoro and Baco may do their fishing activities in the coastal waters of Paluan and Abra De Ilog in Occidental Mindoro. Tayabas Bay and Mindoro Strait which are also proposed as fishing areas for the two affected municipalities.
On the other hand, those in Calapan City, Naujan, and Pola will also be allowed to go fishing in the municipal waters of Boac and Gasan in Marinduque, as well as in Tayabas Bay.
Those from the towns of Pinamalayan, Gloria, and Bansud can fish at the municipal waters of Concepcion in Romblon and portion of Mindoro Strait.
The last cluster which includes fishermen of Bongabong, Roxas, Mansalay, and Bulalacao can go fishing in Tablas Strait and the municipal waters of San Jose and Magsaysay in Occidental Mindoro.
However, the duration of fishing ground sharing is still uncertain, according to Abalos.
“As soon as the fish samples are okay and there is no more contamination of Polycyclic Aromatic Hydrocarbons in the affected areas of Oriental Mindoro, the fisherfolks can already do their fishing activities in their own territorial waters,” he said.
Aside from identifying alternative fishing grounds, the DILG will also review existing related policies on the management of municipal waters.
The Department of Labor and Employment is also urged to expand the coverage of their Tulong Panghanapbuhay sa Ating Disadvantaged/Displaced Workers (TUPAD) program in Oriental Mindoro to provide those affected alternative livelihood until the situation normalizes.
ADVERTISEMENTAbalos also called on the LGUs in the coastal areas to include oil spill and other similar incidents in their contingency plans and make it as a Seal of Good Local Governance requirement.
ADVERTISEMENT
He expressed commitment to continuously monitor the situation until the fishing ban is lifted and the whole situation returns to normal.
The government has since provided various assistance including ayuda distribution spearheaded by President Marcos, rice assistance distribution, and access to clean water assistance in partnership with Metropolitan Manila Development Authority through their water filtration kits. BFAR is also set to distribute P12 million worth of fuel assistance to affected fisherfolk. 
ADVERTISEMENT
"
7,AO creates Independence Day panel,byVince Lopez,"May 4, 2023,","President Ferdinand Marcos Jr. has signed an administrative order creating an inter-agency committee for the commemoration of the 125th anniversary of Philippine independence and nationhood.
ADVERTISEMENT
Under Administrative Order (AO) No. 8, signed by the chief executive on Tuesday, the committee is tasked to “facilitate the planning and execution of programs and projects” for the commemoration of the 125th Philippine independence anniversary.
It will be chaired by the National Historical Commission of the Philippines (NHCP) while the Department of the Interior and Local Government (DILG) will serve as vice-chair.
The inter-agency committee’s members are the Department of Tourism, Department of Education, Department of National Defense, Department of Information and Communications Technology, Department of Trade and Industry, Department of Budget and Management, Department of Labor and Employment, Department of Transportation, and the Metro Manila Development Authority.
The country will commemorate the event to “give focus on the freedom that our forebearers struggled for towards that they dreamed for the country and the history that we seek to remember and honor them with.”
Republic Act No. 10086 or the “Strengthening Peoples’ Nationalism Through Philippine History Act” provides that the state shall provide the means to “strengthen people’s nationalism, love of country, respect for its heroes and pride for the people’s accomplishments by reinforcing the importance of Philippine national and local history in daily life with the end in view of raising social consciousness.”
It is further directed to “reinvigorate government support for historical research; and sustaining and enhancing programs for the protection, preservation and conservation of historical relics and memorabilia, monuments, sites and other historical resources.”
ADVERTISEMENT
"
8,Comelec disqualifies Legazpi Mayor Carmen Rosal,byVito Barcelo,"May 4, 2023,","The Commission on Elections (Comelec) en banc has disqualified Legazpi Mayor Carmen Geraldine Rosal for violating a ban on government payouts within the 45-day campaign period in the last May 2022 elections.
ADVERTISEMENT
In a 19-page decision, the Comelec also declared Alfredo A. Garbin Jr., the second placer in the May 2022 elections, the duly-elected mayor of Legazpi City.
“Respondent is found to have given money to influence, induce, or corrupt the voters, as described in Section 68 (a) in relation to Section 261 (a)(1) of the Omnibus Election Code.
“Respondent is hereby disqualified from being a candidate for Mayor of Legazpi City, Albay for the 9 May 2022 National and Local Elections.  Pursuant to relevant rules and applicable jurisprudence, the 2nd placer, Alfredo A. Garbin Jr., is hereby declared the duly-elected Mayor of Legazpi City,” reads the ruling of the Comelec en banc. Vito Barcelo 
The decision was signed by Comelec Chairman George Erwin M. Garcia, and Commissioners Socorro B. Inting, Marlon S. Casquejo, Aimee P. Ferolino, Rey E. Bulay, Ernesto Ferdinand P. Maceda Jr., and Nelson J. Celis. Ferolino and Maceda wrote separate but agreeing opinions.
With his signature, Casquejo wrote, “I concur and join the separate opinion of Comm. Maceda re: factual determination of grounds for disqualification.”
The Comelec en banc also instructed the Special City Board of Canvassers of Legazpi City to convene within 10 days and proclaim Garbin as duly elected mayor. It likewise ordered that the records of the case be forwarded to the Comelec law department for “possible institution of an election case against” Rosal.
The case stemmed from the distribution of P2,000 cash assistance to tricycle drivers during a 2-day payout held on 31 March 2022. On 11 April 2022, petitioner Joseph San Juan Armogila asked Comelec to disqualify Rosal, saying the payout violated election laws.
He cited the Facebook post of an Al Barizo dated 31 March 2022, when Rosal conducted a 2-Day Tricycle Drivers’ Cash Assistance Payout at the Fishport of Legazpi.
The Facebook post read: “Thank you Governor Noel E. Rosal, Mayor Gie Rosal, VM Bobby Cristobal, the incumbent and aspiring councilors. Salamat man sa TODA sa suporta asin marhay na kooperasyon!”
 Petitioner Armogila also attached sworn statements by tricycle drivers Roderick O. Buban and Leomar Aringo, with screenshots of text messages on the cash assistance payout; a video recording of payees; and the payout schedule for each barangay.
ADVERTISEMENT
"
9,Tolentino wants probe on gov’t plans vs. avian flu,byMacon Ramos-Araneta,"May 4, 2023,","Sen. Francis Tolentino wants a Senate probe on the government’s policies to avoid an avian influenza flu outbreak in the country.
ADVERTISEMENT
He noted that the high inventory of imported poultry products amid the unabated importation of finished goods “poses a significant threat to the immediate and long-term prospects of the local poultry sector in the county.”
He said this also puts consumers at risk of the potential adverse effect of other transboundary diseases. “This  will also ultimately lead to adverse public health effects.”
According to the senator, there should be a clear and solid policy from authorities to avert and ward off any possible outbreak of transboundary animal diseases in the country. Macon Ramos-Araneta
“It is high time for the Senate to ensure that risk-based planning, strict prevention protocol, and proactive legislative action are in place to minimize public health risk and fundamentally, to accord our local poultry sector with the support and opportunity as active
partners in development and nation building,” Tolentino said in filing Senate Resolution No. 580.
Tolentino’s bill seeks to determine the appropriate government actions in preventing and controlling another possible outbreak of avian flu.
As of February 9, 2023, nine regions remain affected by the avian flu as per the Bureau of Animal Industry, while more than 300,000 poultry mortalities have been recorded since the outbreak of the said virus the country in 2022, according to the report submitted by the said agency to the National Banner Program Committee on Poultry and Livestock (NBPC on PL) on February 14 of this year.
The World Organization for Animal Health earlier cautioned that the presence of Avian Flu “may restrict international trade in poultry meat that can heavily impact economies.”
In May 2022, the A-H5 variant outbreak in wild birds and poultry has been reported to spread in 16 countries in Latin America and the Caribbean, United States and Canada with the first human infection recorded in Ecuador in January 2023 and consequently, deaths of hundreds of sea lions and pelicans in Peru.
Tolentino has expressed concern on the matter especially over reliable reports that various commercial public wet markets in Metro Manila recently have revealed their respective inventories of imported chicken that either: (a) those that can be identified are from Brazil, USA, Netherlands and Canada with expiration dates ranging from 1 to 2 years from the date of production; (b) with no labels pertaining to production and distribution; and; (c) without sticker from the National Meat Inspection Service (NMIS).
ADVERTISEMENT“The sale of the said imported poultry meat brazenly violates the provisions of the law under Republic Act No. 7394, or the ‘Consumer Act of the Philippines’… it fails to qualify with the Philippine National Standards on the Code of Hygienic Practice for the Sale of Fresh Agriculture and Fishery Products in Markets and Authorized Outlets,” the senator stressed.
ADVERTISEMENT
ADVERTISEMENT
"
