,Statement,Link,Date
0,US firms keen on hiring Pinoy workers from Sudan,https://manilastandard.net/news/national/314327780/us-firms-keen-on-hiring-pinoy-workers-from-sudan.html,"May 5, 2023, 12:30 am"
1,DICT to launch SIM Check to fight scammers,https://manilastandard.net/news/national/314327760/dict-to-launch-sim-check-to-fight-scammers.html,"May 5, 2023, 12:25 am"
2,PNP to implement cigarette and vape ban among minors,https://manilastandard.net/news/national/314327777/pnp-to-implement-cigarette-and-vape-ban-among-minors.html,"May 5, 2023, 12:20 am"
3,More people think ROTC should be optional than compulsory—SWS,https://manilastandard.net/news/national/314327728/more-people-think-rotc-should-be-optional-than-compulsory-sws.html,"May 4, 2023, 11:30 pm"
4,PNP prioritizes cases of missing ‘sabungeros ‘,https://manilastandard.net/news/314327726/pnp-prioritizes-cases-of-missing-sabungeros.html,"May 4, 2023, 11:20 pm"
5,Kadiwa stores post over P6.4m sales nationwide,https://manilastandard.net/news/314327724/kadiwa-stores-post-over-p6-4m-sales-nationwide.html,"May 4, 2023, 11:10 pm"
6,Exigency plans readied for Mindoro fishermen,https://manilastandard.net/news/national/314327719/exigency-plans-readied-for-mindoro-fishermen.html,"May 4, 2023, 11:00 pm"
7,AO creates Independence Day panel,https://manilastandard.net/news/national/314327763/ao-creates-independence-day-panel.html,"May 4, 2023, 10:30 pm"
8,Comelec disqualifies Legazpi Mayor Carmen Rosal,https://manilastandard.net/news/314327752/comelec-disqualifies-legazpi-mayor-carmen-rosal.html,"May 4, 2023, 10:10 pm"
9,Tolentino wants probe on gov’t plans vs. avian flu,https://manilastandard.net/news/national/314327750/tolentino-wants-probe-on-govt-plans-vs-avian-flu.html,"May 4, 2023, 10:00 pm"
10,‘Govt needs to return franchise tax to POGOs’,https://manilastandard.net/news/314327754/govt-needs-to-return-franchise-tax-to-pogos.html,"May 4, 2023, 10:20 am"
11,Senate inclined to grant P1b for NAIA gensets,https://manilastandard.net/news/national/314327428/senate-inclined-to-grant-p1b-for-naia-gensets.html,"May 3, 2023, 11:50 pm"
12,CA bars opening of five roads in BF Parañaque to public,https://manilastandard.net/news/national/314327419/ca-bars-opening-of-five-roads-in-bf-paranaque-to-public.html,"May 3, 2023, 11:40 pm"
13,Poe seeks probe on Visayas power crisis; Zubiri favors EPIRA rewrite,https://manilastandard.net/news/national/314327413/poe-seeks-probe-on-visayas-power-crisis-zubiri-favors-epira-rewrite.html,"May 3, 2023, 11:30 pm"
14,DOJ approves filing of 17 tax cases against QC-based publishing firm,https://manilastandard.net/news/national/314327405/doj-approves-filing-of-17-tax-cases-against-qc-based-publishing-firm.html,"May 3, 2023, 11:20 pm"
15,PH seeks duty-free rights in US,https://manilastandard.net/news/top-stories/314327806/ph-seeks-duty-free-rights-in-us.html,"May 5, 2023, 1:05 am"
16,Do not meddle: China says SCS ’not hunting ground’ for outsiders,https://manilastandard.net/news/top-stories/314327802/do-not-meddle-china-says-scs-not-hunting-ground-for-outsiders.html,"May 5, 2023, 1:00 am"
17,‘Golden Orb’ plan to secure King Charles’ coronation,https://manilastandard.net/news/top-stories/314327799/golden-orb-plan-to-secure-king-charles-coronation.html,"May 5, 2023, 12:55 am"
18,"BuCor: Face mask, antigen test for visitors as COVID cases hike",https://manilastandard.net/news/top-stories/314327796/bucor-face-mask-antigen-test-for-visitors-as-covid-cases-hike.html,"May 5, 2023, 12:50 am"
19,PBBM: Whole-of-gov’t fight vs. crimes,https://manilastandard.net/news/top-stories/314327793/pbbm-whole-of-govt-fight-vs-crimes.html,"May 5, 2023, 12:45 am"
20,Airlines adjust sched for May 17 airspace shutdown,https://manilastandard.net/news/top-stories/314327785/airlines-adjust-sched-for-may-17-airspace-shutdown.html,"May 5, 2023, 12:40 am"
21,P1k polymer bags ‘Banknote of the Year’,https://manilastandard.net/news/top-stories/314327783/p1k-polymer-bags-banknote-of-the-year.html,"May 5, 2023, 12:35 am"
22,‘We’ll have your back in SCS’,https://manilastandard.net/news/top-stories/314327476/well-have-your-back-in-scs.html,"May 4, 2023, 12:50 am"
23,100 Chinese ships continue to swarm Julian Felipe Reef—PCG,https://manilastandard.net/news/top-stories/314327473/100-chinese-ships-continue-to-swarm-julian-felipe-reef-pcg.html,"May 4, 2023, 12:45 am"
24,US trip yields over $1.1b in investment pledges,https://manilastandard.net/news/top-stories/314327469/us-trip-yields-over-1-1b-in-investment-pledges.html,"May 4, 2023, 12:40 am"
25,"Mr. Marcos, delegation off to London today for coronation of King Charles",https://manilastandard.net/news/top-stories/314327466/mr-marcos-delegation-off-to-london-today-for-coronation-of-king-charles.html,"May 4, 2023, 12:35 am"
26,4 million kilos of smuggled sugar to be sold cheap at Kadiwa stores,https://manilastandard.net/news/top-stories/314327458/4-million-kilos-of-smuggled-sugar-to-be-sold-cheap-at-kadiwa-stores.html,"May 4, 2023, 12:30 am"
27,Brace for new heat records: UN raises alert on El Niño by July,https://manilastandard.net/news/top-stories/314327459/brace-for-new-heat-records-un-raises-alert-on-el-nino-by-july.html,"May 4, 2023, 12:25 am"
28,DILG chief to name high-level ninja cops,https://manilastandard.net/news/top-stories/314327452/dilg-chief-to-name-high-level-ninja-cops.html,"May 4, 2023, 12:20 am"
29,Biden: US to defend PH,https://manilastandard.net/news/top-stories/314327133/biden-us-to-defend-ph.html,"May 3, 2023, 12:50 am"
