,Statement,Link,Date
0,"MIAA, Meralco begins NAIA T3 electrical audit",https://www.pna.gov.ph/articles/1200883,"May 5, 2023, 10:02 pm"
1,"Pag-IBIG, Singaporean firm eye building ‘net-zero communities’",https://www.pna.gov.ph/articles/1200882,"May 5, 2023, 8:03 pm"
2,DMW assures aid for OFWS from Sudan who wanted to go back abroad,https://www.pna.gov.ph/articles/1200873,"May 5, 2023, 7:25 pm"
3,PNP chief fetes HPG's vital role in upholding road safety,https://www.pna.gov.ph/articles/1200870,"May 5, 2023, 6:08 pm"
4,"LTO chief: 'Fixers,' fake docs jeopardize public safety",https://www.pna.gov.ph/articles/1200865,"May 5, 2023, 6:07 pm"
5,Single ticketing system pilot run ‘smooth’: MMDA,https://www.pna.gov.ph/articles/1200869,"May 5, 2023, 6:02 pm"
6,Positivity rate in NCR may rise as high as 25%: OCTA,https://www.pna.gov.ph/articles/1200857,"May 5, 2023, 5:40 pm"
7,"Israel in PH: Enhancing ties, reaching all segments of society",https://www.pna.gov.ph/articles/1200855,"May 5, 2023, 5:02 pm"
8,CAAP shortens to 2 hours system maintenance on May 17,https://www.pna.gov.ph/articles/1200853,"May 5, 2023, 4:23 pm"
9,Cops rescue 1K alleged human trafficking victims in Pampanga,https://www.pna.gov.ph/articles/1200842,"May 5, 2023, 3:36 pm"
10,Israel wants 'major' part in AFP modernization program: envoy,https://www.pna.gov.ph/articles/1200837,"May 5, 2023, 3:32 pm"
11,"Raise salary of dentists, keep them in gov’t service – solon",https://www.pna.gov.ph/articles/1200830,"May 5, 2023, 3:31 pm"
12,ULAP backs call for LGUs to prepare for El Niño,https://www.pna.gov.ph/articles/1200848,"May 5, 2023, 3:30 pm"
13,PNP chief wants 3-minute response scheme institutionalized,https://www.pna.gov.ph/articles/1200836,"May 5, 2023, 3:19 pm"
14,"Marcos US visit yields $1.3-B investment pledges, 6.7K jobs",https://www.pna.gov.ph/articles/1200822,"May 5, 2023, 3:18 pm"
15,AFP chief commends troops for peace and order gains in Samar,https://www.pna.gov.ph/articles/1200833,"May 5, 2023, 3:00 pm"
16,LGUs urged to support supplemental immunization for kids,https://www.pna.gov.ph/articles/1200829,"May 5, 2023, 2:32 pm"
17,BI intercepts trafficking victim with fake border stamp at NAIA,https://www.pna.gov.ph/articles/1200806,"May 5, 2023, 11:36 am"
18,PBBM wants to forge stronger alliances with more countries,https://www.pna.gov.ph/articles/1200803,"May 5, 2023, 11:26 am"
19,Comelec en banc affirms disqualification of Legazpi mayor Rosal,https://www.pna.gov.ph/articles/1200802,"May 5, 2023, 11:12 am"
20,PBBM to strengthen PH-UK trade partnership,https://www.pna.gov.ph/articles/1200800,"May 5, 2023, 10:44 am"
21,PBBM pays respects to fallen US soldiers at Arlington Cemetery,https://www.pna.gov.ph/articles/1200796,"May 5, 2023, 10:23 am"
22,"Filipino talent, work ethic driving force for investments: PBBM",https://www.pna.gov.ph/articles/1200797,"May 5, 2023, 10:22 am"
23,PH Navy's anti-sub helicopter lands on moving missile frigate,https://www.pna.gov.ph/articles/1200795,"May 5, 2023, 9:56 am"
24,LPA likely to become tropical cyclone this weekend,https://www.pna.gov.ph/articles/1200798,"May 5, 2023, 9:55 am"
25,"New defense guidelines ‘responsive’ to challenges faced by US, PH",https://www.pna.gov.ph/articles/1200799,"May 5, 2023, 9:30 am"
26,Marcos admin's anti-drug drive to focus on dismantling syndicates,https://www.pna.gov.ph/articles/1200792,"May 5, 2023, 9:26 am"
27,"Marcos: PH, US ‘naturally drawn to each other'",https://www.pna.gov.ph/articles/1200791,"May 5, 2023, 9:07 am"
28,NWRB urges public to conserve water amid threat of El Niño,https://www.pna.gov.ph/articles/1200757,"May 4, 2023, 9:58 pm"
29,PBBM: PH must ‘transform’ to keep economy growing,https://www.pna.gov.ph/articles/1200788,"May 4, 2023, 9:35 pm"
30,ACG reminds vloggers to exercise diligence in content creation,https://www.pna.gov.ph/articles/1200760,"May 4, 2023, 9:25 pm"
31,"DOTr eyes NPO, APO services over driver’s license shortage",https://www.pna.gov.ph/articles/1200774,"May 4, 2023, 9:23 pm"
32,BFAR braces for El Niño,https://www.pna.gov.ph/articles/1200754,"May 4, 2023, 8:13 pm"
33,Public urged to focus on protection amid rising positivity rate,https://www.pna.gov.ph/articles/1200787,"May 4, 2023, 8:11 pm"
34,House panel starts oversight queries on gov’t offices’ budget ops,https://www.pna.gov.ph/articles/1200752,"May 4, 2023, 6:14 pm"
35,"AirAsia PH mulls flight adjustments on May 16, 17",https://www.pna.gov.ph/articles/1200768,"May 4, 2023, 6:00 pm"
36,Immigration officer in hot water over links to human trafficking,https://www.pna.gov.ph/articles/1200747,"May 4, 2023, 5:12 pm"
37,Marcos makes a pitch for local battery production to US firms,https://www.pna.gov.ph/articles/1200751,"May 4, 2023, 4:56 pm"
38,LTO to simplify driver’s license exams to combat fixers,https://www.pna.gov.ph/articles/1200762,"May 4, 2023, 4:46 pm"
39,Solon wants proactive gov't action vs. future avian flu outbreaks,https://www.pna.gov.ph/articles/1200727,"May 4, 2023, 4:37 pm"
40,PH crime rate down 11.36% in first 4 months of 2023,https://www.pna.gov.ph/articles/1200744,"May 4, 2023, 4:12 pm"
41,Comelec eyes use of 2 automated systems for 2025 polls,https://www.pna.gov.ph/articles/1200739,"May 4, 2023, 3:27 pm"
42,House accepts PBBM challenge to forge closer PH-US ties,https://www.pna.gov.ph/articles/1200717,"May 4, 2023, 3:25 pm"
43,Gatchalian swears in Romualdez as new DSWD undersecretary,https://www.pna.gov.ph/articles/1200716,"May 4, 2023, 3:23 pm"
44,PBBM calls for PH GSP renewal to boost trade,https://www.pna.gov.ph/articles/1200720,"May 4, 2023, 2:53 pm"
45,Legarda wants tax incentives for salt industry investors,https://www.pna.gov.ph/articles/1200719,"May 4, 2023, 2:44 pm"
46,"NCR, Central Luzon top sales from Labor Day 'Kadiwa' for workers",https://www.pna.gov.ph/articles/1200730,"May 4, 2023, 2:33 pm"
47,"Attacks vs. US, PH ships, aircraft in Pacific, SCS to trigger MDT",https://www.pna.gov.ph/articles/1200718,"May 4, 2023, 1:28 pm"
48,Magnitude 5.8 quake jolts Isabela,https://www.pna.gov.ph/articles/1200713,"May 4, 2023, 10:25 am"
49,"OCD urges public to heed El Niño advisories, warnings",https://www.pna.gov.ph/articles/1200712,"May 4, 2023, 10:20 am"
50,Scattered rain showers continue over most of PH,https://www.pna.gov.ph/articles/1200711,"May 4, 2023, 9:42 am"
51,Christening of Navy's 2 new Israeli missile boats set May 8,https://www.pna.gov.ph/articles/1200710,"May 4, 2023, 9:36 am"
52,PBBM hails US willingness to work with PH as equal partner,https://www.pna.gov.ph/articles/1200709,"May 4, 2023, 9:14 am"
53,PCO vows to promote 'free media environment',https://www.pna.gov.ph/articles/1200708,"May 4, 2023, 8:27 am"
54,"PBBM orders gov’t agencies, LGUs to back program vs. criminality",https://www.pna.gov.ph/articles/1200706,"May 3, 2023, 10:27 pm"
55,PBBM OKs inter-agency body for 125th PH independence anniversary,https://www.pna.gov.ph/articles/1200705,"May 3, 2023, 10:23 pm"
56,PHLPost marks Nat’l Heritage Month with historic postage stamps,https://www.pna.gov.ph/articles/1200704,"May 3, 2023, 10:20 pm"
57,US global firms commit big investments during meetings with PBBM,https://www.pna.gov.ph/articles/1200702,"May 3, 2023, 10:15 pm"
58,"4Ps beneficiaries in Mimaropa, C. Visayas among new engineers",https://www.pna.gov.ph/articles/1200688,"May 3, 2023, 7:49 pm"
59,PCG welcomes int'l support in WPS dispute,https://www.pna.gov.ph/articles/1200689,"May 3, 2023, 7:48 pm"
60,Analog Devices to invest $200M in R&D facility in PH,https://www.pna.gov.ph/articles/1200686,"May 3, 2023, 7:41 pm"
61,China’s aggressive actions in WPS push PH closer to US – solon,https://www.pna.gov.ph/articles/1200661,"May 3, 2023, 7:14 pm"
62,MIAA Board designates Co as OIC,https://www.pna.gov.ph/articles/1200680,"May 3, 2023, 7:06 pm"
63,"SC says public safety, rights highlighted in proposed ATA rules",https://www.pna.gov.ph/articles/1200663,"May 3, 2023, 6:25 pm"
64,"Pilot, 8 passengers safe as plane overshoots runway in Isabela",https://www.pna.gov.ph/articles/1200664,"May 3, 2023, 6:16 pm"
65,DILG’s BIDA program gets boost with USAID support,https://www.pna.gov.ph/articles/1200684,"May 3, 2023, 6:12 pm"
66,PNP internal cleansing ‘casualties’ out this week - Abalos,https://www.pna.gov.ph/articles/1200681,"May 3, 2023, 6:08 pm"
67,Recto proposes total NAIA check-up after T3 power outage,https://www.pna.gov.ph/articles/1200653,"May 3, 2023, 5:58 pm"
68,Marcos appoints Tan as new SBMA chief,https://www.pna.gov.ph/articles/1200682,"May 3, 2023, 5:56 pm"
69,"Lacuna assures stall holders of new, better Tondo public market",https://www.pna.gov.ph/articles/1200672,"May 3, 2023, 5:33 pm"
70,Romualdez lauds significant investment gains in PBBM’s US visit,https://www.pna.gov.ph/articles/1200636,"May 3, 2023, 4:51 pm"
71,BOC logs record single-day collection of P7.5B on April 28,https://www.pna.gov.ph/articles/1200665,"May 3, 2023, 4:31 pm"
72,"2 firms to invest in solar power, medical BPO in PH",https://www.pna.gov.ph/articles/1200634,"May 3, 2023, 4:20 pm"
73,Gov't sets PHP2.4B for National Greening Program in 2023,https://www.pna.gov.ph/articles/1200624,"May 3, 2023, 4:17 pm"
74,Maritime cooperation with US to help PH protect WPS,https://www.pna.gov.ph/articles/1200644,"May 3, 2023, 4:00 pm"
75,"US, Korea ink P111.5-M grant to back PH climate resiliency effort",https://www.pna.gov.ph/articles/1200633,"May 3, 2023, 2:29 pm"
76,Solons want EPIRA law amended amid recurring power outages,https://www.pna.gov.ph/articles/1200625,"May 3, 2023, 2:06 pm"
77,Public warned vs. e-wallet scams as SIM registration extended,https://www.pna.gov.ph/articles/1200617,"May 3, 2023, 1:23 pm"
78,4 hurt after MRT-3 train activates emergency brake,https://www.pna.gov.ph/articles/1200631,"May 3, 2023, 1:01 pm"
79,Search for 4 missing passengers in Tubbataha sinking intensified,https://www.pna.gov.ph/articles/1200618,"May 3, 2023, 12:45 pm"
80,LGUs urged to beef up El Niño mitigation efforts,https://www.pna.gov.ph/articles/1200616,"May 3, 2023, 11:43 am"
81,PRO-Mimaropa donates P1.2M to oil spill-hit Oriental Mindoro town,https://www.pna.gov.ph/articles/1200615,"May 3, 2023, 11:35 am"
82,BI nabs American fugitive in Palawan,https://www.pna.gov.ph/articles/1200613,"May 3, 2023, 10:42 am"
83,US-based firm to put up 1st PH call center in Iloilo: PBBM,https://www.pna.gov.ph/articles/1200611,"May 3, 2023, 10:19 am"
84,4 US patrol boats to beef up PH Navy's defense capabilities,https://www.pna.gov.ph/articles/1200609,"May 3, 2023, 10:11 am"
85,Moderna to set up pharmacovigilance facility in PH,https://www.pna.gov.ph/articles/1200610,"May 3, 2023, 10:00 am"
86,"LPA, ITCZ to bring rains over most of PH",https://www.pna.gov.ph/articles/1200612,"May 3, 2023, 9:54 am"
87,'Cutting-edge' micro nuclear fuel tech eyed to solve power woes,https://www.pna.gov.ph/articles/1200608,"May 3, 2023, 8:56 am"
88,"US-PH Society vows greater cooperation in economy, dev't",https://www.pna.gov.ph/articles/1200607,"May 3, 2023, 8:53 am"
89,US firms set to hire 75K Filipino seafarers,https://www.pna.gov.ph/articles/1200606,"May 3, 2023, 8:43 am"
90,"Marcos, Harris vow to pursue digital inclusion, clean energy",https://www.pna.gov.ph/articles/1200605,"May 3, 2023, 8:18 am"
91,"DSWD, OPAPRU renew commitment for MILF normalization program",https://www.pna.gov.ph/articles/1200590,"May 2, 2023, 7:46 pm"
92,US visit to strengthen alliance amid 'turbulent times’ - Marcos,https://www.pna.gov.ph/articles/1200584,"May 2, 2023, 7:36 pm"
93,DOTr: Masks still mandatory in trains as Covid-19 cases rise,https://www.pna.gov.ph/articles/1200592,"May 2, 2023, 7:24 pm"
94,5 PNP generals get new posts in latest reshuffle,https://www.pna.gov.ph/articles/1200572,"May 2, 2023, 5:43 pm"
95,Tax breaks for pro bono lawyers of IPs pushed,https://www.pna.gov.ph/articles/1200548,"May 2, 2023, 5:35 pm"
96,Over 150 Filipino repatriates from Sudan to arrive this week,https://www.pna.gov.ph/articles/1200573,"May 2, 2023, 5:35 pm"
97,Manila allots P50M for Lagusnilad rehabilitation,https://www.pna.gov.ph/articles/1200561,"May 2, 2023, 5:19 pm"
98,PNP intensifies crackdown vs. vape use among minors,https://www.pna.gov.ph/articles/1200562,"May 2, 2023, 5:08 pm"
99,BOC logs P74-M collection surplus in April,https://www.pna.gov.ph/articles/1200567,"May 2, 2023, 5:03 pm"
100,4.7K applicants hired on the spot in Labor Day job fairs: DOLE,https://www.pna.gov.ph/articles/1200553,"May 2, 2023, 4:50 pm"
101,Tolentino vows to find ways to curtail agri smuggling,https://www.pna.gov.ph/articles/1200549,"May 2, 2023, 3:59 pm"
102,Solon hits 'same-sex union' inclusion in DepEd’s draft curriculum,https://www.pna.gov.ph/articles/1200530,"May 2, 2023, 3:42 pm"
103,Full account on P2.3-B fund for border inspection facility sought,https://www.pna.gov.ph/articles/1200536,"May 2, 2023, 3:37 pm"
104,CTA voids tax assessment on oil firm's alkylate importation,https://www.pna.gov.ph/articles/1200546,"May 2, 2023, 3:08 pm"
105,PAGASA issues El Niño alert,https://www.pna.gov.ph/articles/1200551,"May 2, 2023, 3:00 pm"
106,"Romualdez hails PBBM’s efforts to secure cheaper, reliable energy",https://www.pna.gov.ph/articles/1200527,"May 2, 2023, 2:43 pm"
107,PAL adjusts some flights due to system maintenance,https://www.pna.gov.ph/articles/1200540,"May 2, 2023, 2:35 pm"
108,"2 Reds, private armed group leader fall in CIDG manhunt ops",https://www.pna.gov.ph/articles/1200529,"May 2, 2023, 2:15 pm"
109,PH Navy delegation in Singapore for ASEAN-India naval drills,https://www.pna.gov.ph/articles/1200533,"May 2, 2023, 2:05 pm"
110,PH daily average of Covid-19 cases up by 42%,https://www.pna.gov.ph/articles/1200532,"May 2, 2023, 2:03 pm"
111,"BI agents nab 2 illegal aliens in Cebu, Pasay",https://www.pna.gov.ph/articles/1200531,"May 2, 2023, 12:53 pm"
112,"3 more C-130 planes to boost PAF's airlift, HADR capabilities",https://www.pna.gov.ph/articles/1200528,"May 2, 2023, 11:10 am"
113,"PH durian on par with Thai, Malaysian variants in China market",https://www.pna.gov.ph/articles/1200515,"May 2, 2023, 10:50 am"
114,Marcos vows to boost quality of jobs in PH,https://www.pna.gov.ph/articles/1200526,"May 2, 2023, 10:12 am"
115,32 Navy sailors now 'shellbacks' after crossing equator,https://www.pna.gov.ph/articles/1200524,"May 2, 2023, 10:08 am"
116,"PH, US air forces to revive drills after over 30-year pause",https://www.pna.gov.ph/articles/1200523,"May 2, 2023, 9:57 am"
117,QCPD eyes improved response via state-of-the-art command hub,https://www.pna.gov.ph/articles/1200521,"May 2, 2023, 9:51 am"
118,"LPA, ITCZ to bring rain showers over Mindanao, parts of Visayas",https://www.pna.gov.ph/articles/1200522,"May 2, 2023, 9:29 am"
119,US nuclear energy firm seen to invest $7.5B in PH,https://www.pna.gov.ph/articles/1200518,"May 2, 2023, 9:26 am"
120,Biden to send 'first of its kind' presd’l trade mission to PH,https://www.pna.gov.ph/articles/1200520,"May 2, 2023, 9:16 am"
121,"PH, US agree to set up ministerial team on agri cooperation",https://www.pna.gov.ph/articles/1200517,"May 2, 2023, 8:59 am"
122,Marcos witnesses signing of deal to build e-motorcycles in PH,https://www.pna.gov.ph/articles/1200519,"May 2, 2023, 8:30 am"
123,"US, PH tackle 21st century challenges as 'closest of allies'",https://www.pna.gov.ph/articles/1200516,"May 2, 2023, 8:00 am"
124,White House press call 'outlines' Biden-Marcos talking points,https://www.pna.gov.ph/articles/1200514,"May 1, 2023, 10:00 pm"
125,Talks with Meralco ongoing to prevent repeat of NAIA power outage,https://www.pna.gov.ph/articles/1200513,"May 1, 2023, 8:56 pm"
126,"UAE-based Sudanese rejoins Filipina wife, children in Egypt",https://www.pna.gov.ph/articles/1200510,"May 1, 2023, 7:07 pm"
127,PNP: May 1 activities generally peaceful,https://www.pna.gov.ph/articles/1200503,"May 1, 2023, 6:31 pm"
128,"500 businesses shuttered by KMU, says former member",https://www.pna.gov.ph/articles/1200504,"May 1, 2023, 6:15 pm"
129,PNP to beef up police presence in crime-prone barangays,https://www.pna.gov.ph/articles/1200499,"May 1, 2023, 6:07 pm"
130,DOLE: 15K applicants flock to Labor Day job fairs,https://www.pna.gov.ph/articles/1200497,"May 1, 2023, 6:01 pm"
131,"DILG, BFP warn public as fire incidents surge nearly 40% in April",https://www.pna.gov.ph/articles/1200496,"May 1, 2023, 5:55 pm"
132,Remit employees' premiums on time – PhilHealth,https://www.pna.gov.ph/articles/1200507,"May 1, 2023, 4:49 pm"
133,"PH Red Cross backs DOH’s measles-rubella, polio vax campaigns",https://www.pna.gov.ph/articles/1200501,"May 1, 2023, 3:47 pm"
134,Gov't working conscientiously to uplift lives of Filipinos – PBBM,https://www.pna.gov.ph/articles/1200490,"May 1, 2023, 3:16 pm"
135,Korean fraudster on BI watchlist stopped at NAIA,https://www.pna.gov.ph/articles/1200488,"May 1, 2023, 3:03 pm"
136,Lagusnilad underpass partially closed for 4 months starting May 2,https://www.pna.gov.ph/articles/1200484,"May 1, 2023, 2:58 pm"
137,PNP committed to finding justice for missing sabungeros,https://www.pna.gov.ph/articles/1200472,"May 1, 2023, 2:52 pm"
138,"DND joins May 1 rites, hails workers as ‘backbone’ of PH economy",https://www.pna.gov.ph/articles/1200473,"May 1, 2023, 2:00 pm"
139,Chinese harassment in Ayungin Shoal won’t deter PH Coast Guard,https://www.pna.gov.ph/articles/1200489,"May 1, 2023, 1:13 pm"
140,Gov't seeks to increase Covid vaccine uptake amid rise in cases,https://www.pna.gov.ph/articles/1200470,"May 1, 2023, 10:25 am"
141,"Gov't to improve power distribution in Negros, Panay",https://www.pna.gov.ph/articles/1200466,"May 1, 2023, 9:43 am"
142,PH won’t be ‘staging post’ for any military action – Marcos,https://www.pna.gov.ph/articles/1200468,"May 1, 2023, 9:39 am"
143,PBBM to appoint 'competent personalities' who lost in 2022 polls,https://www.pna.gov.ph/articles/1200467,"May 1, 2023, 9:34 am"
144,"ITCZ to bring scattered rain showers in Mindanao, Palawan",https://www.pna.gov.ph/articles/1200471,"May 1, 2023, 9:10 am"
