,Statement,Link,Date
0,Marcos the party-going schoolboy returns to UK as King’s VIP,https://www.rappler.com/world/global-affairs/marcos-party-going-schoolboy-returns-uk-king-charles-vip/,2023-05-05
1,"Ablan confirms resignation from DepEd, denies links to laptop mess",https://www.rappler.com/nation/kris-ablan-confirms-resignation-deped-denies-links-laptop-deal-mess/,2023-05-05
2,WATCH: Paano naibenta sa labas ang DepEd laptops na para sa teachers?,https://www.rappler.com/newsbreak/podcasts-videos/how-deped-teachers-laptops-sold-market/,2023-05-05
3,"In unprecedented move, Filipino journalist harassed online files complaint vs Meta",https://www.rappler.com/nation/journalist-cong-corrales-harassed-online-complaint-meta-may-2023/,2023-05-05
4,Marcos says Philippines bases could be ‘useful’ if Taiwan attacked,https://www.rappler.com/nation/marcos-jr-philippines-bases-useful-if-taiwan-attacked/,2023-05-05
5,Marcos dismisses criticism that his campaign played down family corruption,https://www.rappler.com/nation/marcos-dismisses-criticism-presidential-campaign-downplayed-family-corruption/,2023-05-05
6,"EXPLAINER: Why have Philippines, US issued defense treaty guidelines?",https://www.rappler.com/nation/explainer-philippines-united-states-guidelines-mutual-defense-treaty/,2023-05-05
7,LIVE UPDATES: President Marcos’ official visit to the United States,https://www.rappler.com/nation/updates-ferdinand-marcos-jr-official-visit-united-states-2023/,2023-05-05
8,Marcos says US access to Philippines bases not meant for ‘offensive action’,https://www.rappler.com/nation/marcos-jr-says-united-states-access-philippines-bases-not-for-offensive-action/,2023-05-05
9,Marcos to hold ‘very casual’ meeting with UK prime minister in London,https://www.rappler.com/nation/marcos-meeting-uk-prime-minister-rishi-sunak-london/,2023-05-05
10,Marcos admits ‘abuses by certain elements in gov’t’ in Duterte’s drug war,https://www.rappler.com/philippines/marcos-jr-admits-abuses-certain-elements-rodrigo-duterte-drug-war/,2023-05-05
11,"Elections 2025: Stamping pens, new machine type, other changes Comelec seeks to introduce",https://www.rappler.com/nation/comelec-wish-list-2025-automated-elections/,2023-05-04
12,US issues guidelines on defending Philippines from South China Sea attack,https://www.rappler.com/nation/united-states-issues-guidelines-defending-philippines-south-china-sea-attack/,2023-05-04
13,"Follow audience on platforms like TikTok, journalists urge colleagues",https://www.rappler.com/nation/follow-audience-social-media-platforms-tiktok-journalists-urge-colleagues/,2023-05-04
14,"As COVID-19 cases rise, BuCor suspends visitation in New Bilibid Prison",https://www.rappler.com/nation/covid-19-cases-rise-bucor-suspends-visitation-new-bilibid-prison/,2023-05-04
15,House leader flags government agencies’ slow fund disbursement for 2023,https://www.rappler.com/nation/joey-salceda-flags-government-agencies-slow-disbursement-funds-2023/,2023-05-03
16,WATCH: Rapplers share their challenges in pursuit of press freedom,https://www.rappler.com/nation/video-challenges-pursuit-press-freedom-philippines/,2023-05-03
17,Sandiganbayan affirms graft case vs ex-QC mayor Herbert Bautista,https://www.rappler.com/nation/sandiganbayan-decision-graft-case-vs-ex-qc-mayor-herbert-bautista/,2023-05-02
18,‘Welcome back’: Marcos-Biden meeting flexes ‘optimism’ in bilateral ties,https://www.rappler.com/nation/marcos-jr-biden-meet-flexes-optimism-philippines-united-states-ties/,2023-05-02
19,"Amid China pressure, US, Philippines recommit to security alliance",https://www.rappler.com/nation/amid-china-pressure-united-states-philippines-recommit-security-alliance/,2023-05-02
20,WATCH: Ano ang pag-uusapan nina Marcos at Biden sa White House?,https://www.rappler.com/nation/video-agenda-marcos-jr-biden-meeting-official-visit-may-2023/,2023-05-01
21,Marcos in the White House: Manila back in Washington’s arms,https://www.rappler.com/nation/agenda-top-issues-marcos-jr-official-visit-united-states-2023/,2023-05-01
22,Bangsamoro normalization programs ‘sputtering’ – International Crisis Group,https://www.rappler.com/nation/mindanao/crisis-group-says-bangsamoro-normalization-programs-sputtering/,2023-05-01
23,"After West PH Sea near-collision, Marcos tells China: Form communications team",https://www.rappler.com/nation/ferdinand-marcos-jr-tells-china-form-communications-team-after-near-collision/,2023-04-30
24,Marcos: Philippines won’t be ‘staging point’ for military action in Indo-Pacific,https://www.rappler.com/nation/ferdinand-marcos-jr-says-philippines-not-staging-point-military-action-indo-pacific/,2023-04-30
25,US urges China: Stop harassing Philippine vessels,https://www.rappler.com/nation/united-states-urges-china-stop-harassing-philippine-vessels-april-2023/,2023-04-30
26,Marcos leaves for 5-day official US visit,https://www.rappler.com/nation/ferdinand-marcos-jr-departure-united-states-may-2023/,2023-04-30
27,WATCH: Marcos leaves Manila for official visit to the US,https://www.rappler.com/nation/video-marcos-jr-leaves-manila-official-visit-united-states-april-30-2023/,2023-04-30
28,Returning Filipinos grapple with reverse culture shock,https://www.rappler.com/nation/overseas-filipinos/returning-filipinos-grapple-with-reverse-culture-shock/,2023-04-30
