,Statement,Link,Date
0,Comelec seeks budget for hybrid count machines,https://www.philstar.com/headlines/2023/05/05/2263946/comelec-seeks-budget-hybrid-count-machines,1 hour ago
1,"Philippines, US to increase tempo of sea activities",https://www.philstar.com/headlines/2023/05/05/2263943/philippines-us-increase-tempo-sea-activities,1 hour ago
2,Airlines ready for May 17 airspace closure,https://www.philstar.com/headlines/2023/05/05/2263939/airlines-ready-may-17-airspace-closure,1 hour ago
3,Two DepEd admin officials resign; Ablan says quitting not related to laptops controversy,https://www.philstar.com/headlines/2023/05/04/2263761/two-deped-admin-officials-resign-ablan-says-quitting-not-related-laptops-controversy,1 hour ago
4,42% want ROTC to be optional – SWS,https://www.philstar.com/headlines/2023/05/05/2263935/42-want-rotc-be-optional-sws,1 hour ago
5,"UP Baguio, Cebu suspend face-to-face classes due to COVID-19",https://www.philstar.com/headlines/2023/05/04/2263627/baguio-cebu-suspend-face-face-classes-due-covid-19,"
By Janvic Mateo | 1 day ago "
6,"2 police generals, 2 colonels recommended for drug raps",https://www.philstar.com/headlines/2023/05/03/2263348/2-police-generals-2-colonels-recommended-drug-raps,"
By Emmanuel Tupas | 2 days ago "
7,Over 150 Filipinos evacuated from Sudan to arrive on May 4,https://www.philstar.com/headlines/2023/05/02/2263253/over-150-filipinos-evacuated-sudan-arrive-may-4,"
2 days ago "
8,DILG identifies alternative fishing sites for Oriental Mindoro fishers,https://www.philstar.com/headlines/2023/05/04/2263763/dilg-identifies-alternative-fishing-sites-oriental-mindoro-fishers,"
By Gaea Katreena Cabico | 9 hours ago "
9,Government printer to produce driver’s license cards,https://www.philstar.com/headlines/2023/05/04/2263655/government-printer-produce-drivers-license-cards,"
By Bella Cariaso | 1 day ago "
10,DOTr taps another state printing office for driver’s license,https://www.philstar.com/headlines/2023/05/05/2263933/dotr-taps-another-state-printing-office-drivers-license,"
By Bella Cariaso | 1 hour ago "
11,"Marcos, US senators discuss defense, climate change",https://www.philstar.com/headlines/2023/05/05/2263928/marcos-us-senators-discuss-defense-climate-change,"
By Alexis Romero | 1 hour ago "
12,Inter-agency committee for 125th Philippine Independence day formed,https://www.philstar.com/headlines/2023/05/05/2263922/inter-agency-committee-125th-philippine-independence-day-formed,"
By Helen Flores | 1 hour ago "
13,DTI continues crackdown on non-compliant vape shops,https://www.philstar.com/headlines/2023/05/05/2263915/dti-continues-crackdown-non-compliant-vape-shops,"
By Catherine Talavera | 1 hour ago "
14,DENR bats for ‘regenerative’ tourism to boost ecotourism,https://www.philstar.com/headlines/2023/05/05/2263911/denr-bats-regenerative-tourism-boost-ecotourism,"
By Bella Cariaso | 1 hour ago "
