,Title,Author,Date,Text
0,BI intercepts trafficking victim with fake border stamp at NAIA,By Ferdinand Patinio,,"(Photo courtesy of BI)
MANILA – The Bureau of Immigration’s (BI) Travel Control and Enforcement Unit (TCEU) has intercepted a human trafficking victim for presenting a fake border stamp on her passport.
In a statement on Friday, Immigration Commissioner Norman Tansingco said the female victim was supposed to fly to the United Arab Emirates via a Cebu Pacific flight to Dubai when she was stopped at the Ninoy Aquino International Airport (NAIA) Terminal 3 on April 30.
Upon secondary inspection, she admitted that she was invited by her cousin who allegedly processed all her documents.
Before entering the airport, the victim said she gave her passport and boarding pass to an unknown woman riding a taxi outside the airport.
After several minutes, the woman returned and handed her an already stamped passport before going to the immigration departure area.
The BI’s forensic documents laboratory confirmed that the border stamp is counterfeit.
The TCEU officers sought the assistance of the Inter-Agency Council Against Trafficking assigned at NAIA for standard turnover procedures.
Tansingco again warned that they are ready to stop human traffickers who would attempt to employ these schemes.
“Our officers have wide-ranging measures to detect and deter fraud. We will continue to safeguard the public against trafficking and aid in bringing these perpetrators to justice,” he added. (PNA)
"
1,PBBM wants to forge stronger alliances with more countries,By Filane Mikee Cervantes,,"President Ferdinand R. Marcos Jr. (File photo)
MANILA – President Ferdinand R. Marcos Jr. has emphasized the need to forge stronger alliances and continue “developing cooperation"" with different countries to resolve soaring tensions in Taiwan.
In a conference hosted by the Center for Strategic and International Studies in Washington, DC, Marcos described the situation on the island as “new,” which requires solutions to ""also be new and that is why we are now formulating those partnerships between all the different countries.”
""Patuloy ang pagpatibay natin ng ating pagsasama at pagpa-partner dito... iba’t ibang bansa na hindi lamang ‘yung mga nakapaligid sa Pilipinas. Hindi lamang ang ating karatig bansa kung hindi pati na ang mga bansa na dati hindi naman natin nakakausap dahil walang pangangailangan na magkaroon tayo ng partnership (We are continuing to strengthen our cooperation and partnership with other countries, not just our neighboring countries, but also countries that we rarely interact with because we didn't see the need to establish partnerships),” Marcos said.
He said the Philippines' arrangements and alliances with other countries should be fixed so that they conform to the ""needs of the day.""
“Not just Australia, not just the United States, also South Korea, also Japan, all of the ASEAN Member States and I think we can continue to… do that and I know that the countries… are already of the same mind,” he added.
Marcos said his campaign message of unity is beginning to extend not only to the local situation in the Philippines but also on the international scale.
""Sila rin ay naghahanap na nga ng mga – magsasama upang harapin ang bagong mundo na sabay-sabay (They, too, are looking for companions to face the new world together),"" he said.
The President also reiterated his administration's foreign policy that ""the Philippines shall continue to be a friend to all and an enemy of none.” (PNA)
"
2,Comelec en banc affirms disqualification of Legazpi mayor Rosal,By Ferdinand Patinio,,"Comelec facade (PNA photo by Yancy Lim)
MANILA – The Commission on Elections (Comelec) en banc affirmed the disqualification of Carmen Geraldine Rosal as a candidate for mayor of Legazpi City, Albay during the May 9, 2022 elections.
In a 17-page resolution promulgated on May 4, the seven-member en banc affirmed the ruling of its 2nd Division dated Oct. 4, 2022, disqualifying Rosal based on finding her liable for violating Section 261 (v) of the Omnibus Election Code (OEC), which prohibits the release, disbursement, or expenditure of public funds 45 days before Election Day.
“Respondent is found to have given money to influence, induce, or corrupt the voters, as described in Section 68 (a) in relation to Section 261 (a) (1) of the Omnibus Election Code. Respondent is hereby disqualified from being a candidate for Mayor of Legazpi City, Albay for the 9 May 2022 National and Local Elections,” the poll body said.
The disqualification case was filed by Joseph San Juan Armogila against Rosal over her participation in the two-day Tricycle Driver's Cash Assistance Payout in the city on March 31, 2022.
According to Comelec, Rosal did not deny that she was among those present during the activity.
It noted that a Facebook post about the activity thanked Rosal and referred to her as ""Mayor Gie Rosal,"" when she was not the incumbent mayor at the time, in an apparent reference to the position she was then running for.
The commission also found it sufficient to conclude that Rosal was among those who gave the cash assistance and that it was given ""to influence or induce them to support her candidacy for Mayor.""
“All things considered, this Commission (En Banc) is convinced that Respondent gave money in order to influence, induce, or corrupt the tricycle drivers concerned. Petitioner is found to have sufficiently proved his case by the requisite Substantial Evidence,” the Comelec added.
On the other hand, the Commission en banc ruling noted that Rosal cannot be held accountable for violating 261 (v) of the OEC because the prohibition applies only to public officials or employees.
“Respondent cannot be held accountable for violation of the prohibition against release, disbursement or expenditure of public funds during the 45-day period prior to Election Day for the simple reason that she is not a public official at the time the supposed offense was committed,” it said.
After the decision, the Comelec en banc resolved to proclaim Alfredo Garbin Jr. as the duly-elected mayor of Legazpi City for garnering the second-highest number of votes during the 2022 National and Local Elections.
“With the disqualification of herein Respondent, it is only fitting to proclaim Alfredo A. Garbin Jr., the one who garnered the second highest number of votes during the 2022 Elections, as the City Mayor of Legazpi City,” it said.
The poll body also directed the Special City Board of Canvassers of Legazpi City to convene within 10 days from the finality of the ruling, at the Comelec Session Hall, 8th Floor, Palacio del Gobernador Building in Intramuros, Manila to proclaim Garbin as the duly elected mayor of Legazpi City.
“The decision will be final and executory 5 days from service if there's no TRO (temporary restraining order) issued by the Supreme Court, which in this case, until May 9. Without a TRO, on May 10, the Resolution will be final and executory, where it was likewise ordered that until May 20, the Special City Board of Canvassers of Legazpi will convene to proclaim Alfredo Garbin Jr. as the winning candidate for Mayor,” Comelec spokesperson John Rex Laudiangco said in a statement on Friday. (PNA)
"
3,PBBM to strengthen PH-UK trade partnership,By Filane Mikee Cervantes,,"President Ferdinand R. Marcos Jr. (File photo)
MANILA – President Ferdinand R. Marcos Jr. is heading to London on Thursday night (US time) to further strengthen the economic relations and trade partnership between Manila and London, Malacañang said Friday (Manila time).
According to a news update from the Presidential Communications Office (PCO), Marcos said he would meet with British Prime Minister Rishi Sunak after a hectic but very fruitful five-day official visit to Washington, DC.
The PCO said Marcos was invited to London for the Grand Coronation of Britain’s King Charles III on May 6, as relayed by UK Ambassador Laure Beaufils.
“Makikipagkita ako sa kanilang bagong Prime Minister, Prime Minister Sunak, upang makapag-usap kami kung mayroon bang pagbabago sa kanyang pag-iisip sa pag-partner ng UK at saka ng Pilipinas (I will meet with their new Prime Minister, Prime Minister Sunak, so that we could discuss new developments regarding the partnership between the UK and the Philippines),” Marcos told the press in a briefing at St. Regis Hotel in Washington, DC.
""Sa palagay ko ay ganun din ang sasabihin niya na dapat papatibayin natin. At naghihingalo, hirap na hirap ang ekonomiya ng UK so baka isang bagay ‘yun na pag-uusapan namin kung papaano mag-trade, kung papaano dagdagan (I think he will say the same thing – that we should strengthen it. The UK's economy is undergoing some hardships so what we could potentially discuss is how to boost trade).”
The President said his family would land at Gatwick Airport, where he will take the opportunity to check on some “lessons learned” by airport officials and apply them in improving the Philippines’ major airports.
""Usually, hindi sa Gatwick ang pinupuntahan ngunit ngayon ay pupuntahan ko ‘yung Gatwick dahil titingnan ko ‘yung operation ng kanilang airport kung bagay ba ito – ‘yung mga lessons learned nila, ‘yung mga ginagawa nila, kung best practices ‘yan na puwede nating dalhin sa Pilipinas (Gatwick is not usually used as a gateway, but this time, I will check the airport's operations and see if there are lessons learned and best practices that can be applied in the Philippines),” he said.
Marcos earlier renewed his administration's commitment to improving Manila's airport operations to ensure ease of travel to strengthen the country's tourism sector. (PNA)
"
4,PBBM pays respects to fallen US soldiers at Arlington Cemetery,By Filane Mikee Cervantes,,"RESPECTS. President Ferdinand R. Marcos Jr. offers a wreath at the Tomb of the Unknown Soldier during a visit to the Arlington National Cemetery near Washington, DC on Thursday (May 4, 2023). The Arlington National Cemetery is the final resting place for many of America’s heroes, including the more than 300,000 who took part in every armed conflict the US fought. (Photo courtesy of PCO)
MANILA – President Ferdinand R. Marcos Jr. on Thursday (US time) paid his respects to fallen American soldiers during a visit to the Arlington National Cemetery near Washington, DC.
According to a news release issued by the Presidential Communications Office, Marcos offered a wreath at the Tomb of the Unknown Soldier.
The tomb is a historic monument that serves as a symbolic grave for all war dead whose remains have not been found or identified.
The Arlington National Cemetery is the final resting place for many of America’s heroes, including the more than 300,000 who took part in every armed conflict the US fought.
The President was also given a tour of the museum during his visit.
Marcos was joined at the Arlington Cemetery by House of Representatives Speaker Ferdinand Martin Romualdez; Foreign Affairs Secretary Enrique Manalo; Philippine Ambassador to the US Jose Manuel Romualdez; National Security Adviser Eduardo Año; and Special Assistant to the President Secretary Antonio Lagdameo Jr. (PNA)
"
5,"Filipino talent, work ethic driving force for investments: PBBM",By Filane Mikee Cervantes,,"President Ferdinand R. Marcos Jr. (Photo courtesy of PCO)
MANILA – President Ferdinand R. Marcos Jr. said his discussions with the United States business community ""affirm the optimism"" with which international investors view the Philippines today.
This is Marcos' assessment of his five-day “productive” visit to the US during his post-visit report held at the St. Regis Hotel in Washington DC on Thursday (US time).
He said the Filipinos' talent and work ethic serve as the main selling point to attract these foreign investments.
""It was with great pride that I received their praises for the talent, ingenuity, and work ethic of Filipinos, which has become the main driving force for bringing their investments to our country,” Marcos told the press.
He pointed out that Manila and Washington DC would have to ""forge closer economic ties and ensure that our bilateral partnership works for our peoples.""
""That will truly bring our alliance, partnership, and friendship into the 21st century,"" he said.
He also announced that he would lead a ""ministerial-level study group” between the Philippines and the US to boost climate-smart agriculture initiatives.
""In addition to existing bilateral policy dialogue platforms and working groups, we agreed to institutionalize a ministerial-level study group to advance cooperation on climate-smart agriculture, which I myself will lead,” Marcos said.
The president capped his visit with a speaking engagement at the Center for Strategic and International Studies, where he shared his reflections on why he thinks the Philippines and the US ""have been and will continue to be naturally drawn to each other.” (PNA)
"
6,PH Navy's anti-sub helicopter lands on moving missile frigate,By Priam Nepomuceno,,"LANDING DRILL. An AgustaWestland (now Leonardo) AW-159 ""Wildcat"" anti-submarine helicopter lands on the flight deck of the Philippine Navy's missile frigate BRP Antonio Luna off Corregidor Island on April 27, 2023. The BRP Antonio Luna on Thursday (May 4, 2023) said this achievement demonstrates the growing capability and readiness of the Navy's crews and platforms as a team for anti-submarine warfare operations. (Photo courtesy of BRP Antonio Luna Facebook page)
MANILA – The Philippine Navy's (PN) missile frigate BRP Antonio Luna (FF-151) achieved another milestone as an AgustaWestland (now Leonardo) AW-159 ""Wildcat"" anti-submarine helicopter successfully landed on its flight deck while the ship was underway off Corregidor Island.
""On the morning of 27 April 2023, the Philippine Navy achieved another significant milestone in its development of anti-submarine warfare capability as the PN AW-159 Mk220 'Wildcat' helicopter, with tail number NH-441, successfully conducted its first deck landing aboard BRP Antonio Luna (FF-151), an ASW (anti-submarine warfare) guided missile frigate, while underway at vicinity 30 nautical miles southwest of Corregidor Island,"" a post on the BRP Antonio Luna's Facebook page said Thursday night.
This achievement demonstrates the growing capability and readiness of the Navy's crews and platforms as a team for ASW operations.
""Both the JRCFs (Jose Rizal Class Frigates) and the PN Wildcats were products of the 1st Horizon Projects under the Revised AFP (Armed Forces of the Philippines) Modernization Program, which were delivered and commissioned into the service in 2020/2021 and 2019, respectively. The JRCFs were built by Hyundai Heavy Industries of South Korea while the PN ‘Wildcats’ was built by Leonardo Helicopter Limited UK (LHUK),"" the post further said.
The PN's ""Wildcat"" aircrew are still undergoing the contracted in-country training with LHUK while the JRCFs are being used in the various operational areas of the country.
The AW-159s, which the PN has two, were acquired to increase the ASW capabilities of the JRCFs.
""The PN through the Naval Air Wing and Offshore Combat Force are taking steps to complete the integration of these game-changer assets in order to be deployed together in securing our maritime domain,"" the BRP Antonio Luna said.
It added that these initiatives are a great contribution to fulfilling the Navy’s vision of becoming a modern, multi-capable naval force responsive to our maritime nation's defense and development.
The BRP Jose Rizal (FF-150) and its sister ship BRP Antonio Luna are modern warships capable of surface, sub-surface, air and electronic warfare using state-of-the-art electronic sensors, long-range missiles, acoustic guided torpedoes and embarked anti-submarine helicopters.
The BRP Jose Rizal was delivered to the Philippines in May 2020 and commissioned in July that year while the BRP Antonio Luna was commissioned on March 19, 2021.
The contract for the two ships was placed at PHP16 billion with another PHP2 billion for weapon systems and munitions.
PH Navy officers attend 13th IMEX Asia in Singapore
As this developed, PN chief Vice Admiral Toribio Adaci Jr. and other ranking Navy officers attended the opening ceremony of the 13th International Maritime Defense Exposition (IMDEX) Asia at the Changi Exhibition Center in Singapore on May 3.
A total of 47 delegations were in attendance at the opening ceremony, including 22 Navy chiefs, directors general of Coast Guards, and heads of maritime law enforcement agencies of 38 countries.
Singaporean Defense Minister Ng Eng Hen presided over the opening rites and highlighted the importance of strengthening mutual understanding and fostering consensus in a globally interlinked world.
After the ceremony, Adaci and Philippine Ambassador to Singapore Medardo Macaraig visited various defense technology and shipbuilding exhibition booths at the center.
These opportunities provide the PN with an avenue to strengthen its connections and practical cooperation with other Navies and maritime agencies and be updated on contemporary maritime defense trends. (PNA)
"
7,LPA likely to become tropical cyclone this weekend,By Ma. Cristina Arayata,,"MANILA – The low-pressure area (LPA) last tracked 95 km. east of Puerto Princesa City, Palawan has a moderate chance of developing into a tropical cyclone over the weekend, a weather forecaster said Friday.
""It (LPA) continues to move westward towards the Philippine Area of Responsibility (PAR),"" Benison Estareja of the Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA) said.
He said the possible tropical cyclone would be named ""Betty.""
Estareja warned that Palawan may experience flash floods or landslides due to moderate heavy rain.
Another LPA was spotted more than 1,000 km. outside PAR but it has no direct effect and has a slim chance of developing into a tropical cyclone, he said.
Meanwhile, isolated rain showers are likely over parts of the Visayas and Mindanao due to the intertropical convergence zone (ITCZ), Estareja said.
The easterlies will continue to bring warm and humid over Metro Manila and the rest of the country.
Light to moderate winds and slight to moderate seas will continue to prevail over the entire archipelago. (PNA)
"
8,"New defense guidelines ‘responsive’ to challenges faced by US, PH",By Filane Mikee Cervantes,,"(File photo)
MANILA – President Ferdinand R. Marcos Jr. on Thursday said the new United States-Philippines Bilateral Defense Guidelines, which chart their vision for alliance cooperation across all operational domains, will be responsive to the security challenges faced by both countries.
During a question and answer session at the Center for Strategic and International Studies (CSIS) in Washington, Marcos said ""security and defense can no longer be isolated as one issue.""
""There are attendant and ancillary issues that hope -- that helped solved the problem and that are part of the solution and so again we must really be looking towards the… for example, on the economic side, we must be looking to adjust our relationship as we all are trying to adjust and to transform our economies,” Marcos said.
In a meeting at Pentagon on Wednesday, US Defense Secretary Lloyd Austin reaffirmed Washington’s commitment to bolstering the Philippines’ defense capabilities as the allies develop a Security Sector Assistance Roadmap to guide shared defense modernization investments over the next five to 10 years.
The new bilateral defense guidelines aim to direct a ""whole-of government coordination"" as well as promote better coordination and bilateral planning to ensure the territorial integrity and security of both parties.
The guidelines would also institutionalize better interoperability and develop inter-agency capabilities of Philippine and American security establishments.
Marcos also stressed the need to focus on the new economy emerging from the post-pandemic world.
""And with the impacting forces of the war in Ukraine and those are some things -- these are elements, these are issues that we never really had to deal with before,” the chief executive said.
On Ukraine-Russia conflict: 'Protect sovereignty of each nation’
When asked about his takeaway from his meetings with US officials and lawmakers regarding international security, Marcos raised the need to protect the sovereignty of each nation in the face of the ongoing conflict between Russia and Ukraine.
""I think we are in full agreement that we must continue to protect the sovereignty, not just sovereign rights, but the sovereignty of each nation, no matter where they are and that the situation in Ukraine cannot continue and it is something that is really anachronistic in the modern world,” Marcos said.
Marcos said the Philippines had been straightforward in supporting the resolutions passed by the United Nations in the war in Ukraine.
""And that we respect the sovereignty and territoriality of every single nation in the world. And that applies most certainly because they are in this incredibly critical situation where an outright war is going on,” he said.
Marcos stressed nations should exert all possible efforts to bring peace to Ukraine. (PNA)
"
9,Marcos admin's anti-drug drive to focus on dismantling syndicates,By Filane Mikee Cervantes,,"(File photo)
MANILA – President Ferdinand R. Marcos Jr. said his administration's campaign against illegal drugs would now focus more on dismantling drug syndicates and strengthening re-education programs.
During a question-and-answer session at the Center for Strategic and International Studies (CSIS) in Washington, DC on Thursday (Friday in Manila), Marcos said the drug problem continues to be the source of ""much criminality in the Philippines,"" emphasizing that there would be no letup in the anti-drug campaign despite taking on a different approach from the previous administration.
""We have taken enforcement as far as we can. Now, it is time to look at actually going after dismantling these syndicates,” Marcos said.
""Further back to that process is also... the process of re-education, of explaining, especially to our young people what the damage – what the potential damage is to their lives should they be involved in this way, not only as users, not only as addicts but also as dealers and operators of these syndicates.”
The President said he has organized a commission aimed at cleansing the ranks of the Philippine National Police (PNP) and sought the resignation of all police officers suspected of involvement in the illegal drug trade.
""We are now in the process of looking through the records of these officers to see those (who) have had derogatory comments, those that have evidence against them,” he said.
A five-member advisory group has finished screening the courtesy resignations of more than 950 police generals and colonels as part of the PNP’s cleansing process.
On Wednesday, Interior Secretary Benjamin Abalos Jr. said the results of the screening would be announced soon. (PNA)
"
