,Statement,Link,Date
0,BI intercepts trafficking victim with fake border stamp at NAIA,https://www.pna.gov.ph/articles/1200806,"May 5, 2023, 11:36 am"
1,PBBM wants to forge stronger alliances with more countries,https://www.pna.gov.ph/articles/1200803,"May 5, 2023, 11:26 am"
2,Comelec en banc affirms disqualification of Legazpi mayor Rosal,https://www.pna.gov.ph/articles/1200802,"May 5, 2023, 11:12 am"
3,PBBM to strengthen PH-UK trade partnership,https://www.pna.gov.ph/articles/1200800,"May 5, 2023, 10:44 am"
4,PBBM pays respects to fallen US soldiers at Arlington Cemetery,https://www.pna.gov.ph/articles/1200796,"May 5, 2023, 10:23 am"
5,"Filipino talent, work ethic driving force for investments: PBBM",https://www.pna.gov.ph/articles/1200797,"May 5, 2023, 10:22 am"
6,PH Navy's anti-sub helicopter lands on moving missile frigate,https://www.pna.gov.ph/articles/1200795,"May 5, 2023, 9:56 am"
7,LPA likely to become tropical cyclone this weekend,https://www.pna.gov.ph/articles/1200798,"May 5, 2023, 9:55 am"
8,"New defense guidelines ‘responsive’ to challenges faced by US, PH",https://www.pna.gov.ph/articles/1200799,"May 5, 2023, 9:30 am"
9,Marcos admin's anti-drug drive to focus on dismantling syndicates,https://www.pna.gov.ph/articles/1200792,"May 5, 2023, 9:26 am"
10,"Marcos: PH, US ‘naturally drawn to each other'",https://www.pna.gov.ph/articles/1200791,"May 5, 2023, 9:07 am"
11,NWRB urges public to conserve water amid threat of El Niño,https://www.pna.gov.ph/articles/1200757,"May 4, 2023, 9:58 pm"
12,PBBM: PH must ‘transform’ to keep economy growing,https://www.pna.gov.ph/articles/1200788,"May 4, 2023, 9:35 pm"
13,ACG reminds vloggers to exercise diligence in content creation,https://www.pna.gov.ph/articles/1200760,"May 4, 2023, 9:25 pm"
14,"DOTr eyes NPO, APO services over driver’s license shortage",https://www.pna.gov.ph/articles/1200774,"May 4, 2023, 9:23 pm"
15,BFAR braces for El Niño,https://www.pna.gov.ph/articles/1200754,"May 4, 2023, 8:13 pm"
16,Public urged to focus on protection amid rising positivity rate,https://www.pna.gov.ph/articles/1200787,"May 4, 2023, 8:11 pm"
17,House panel starts oversight queries on gov’t offices’ budget ops,https://www.pna.gov.ph/articles/1200752,"May 4, 2023, 6:14 pm"
18,"AirAsia PH mulls flight adjustments on May 16, 17",https://www.pna.gov.ph/articles/1200768,"May 4, 2023, 6:00 pm"
19,Immigration officer in hot water over links to human trafficking,https://www.pna.gov.ph/articles/1200747,"May 4, 2023, 5:12 pm"
20,Marcos makes a pitch for local battery production to US firms,https://www.pna.gov.ph/articles/1200751,"May 4, 2023, 4:56 pm"
21,LTO to simplify driver’s license exams to combat fixers,https://www.pna.gov.ph/articles/1200762,"May 4, 2023, 4:46 pm"
22,Solon wants proactive gov't action vs. future avian flu outbreaks,https://www.pna.gov.ph/articles/1200727,"May 4, 2023, 4:37 pm"
23,PH crime rate down 11.36% in first 4 months of 2023,https://www.pna.gov.ph/articles/1200744,"May 4, 2023, 4:12 pm"
24,Comelec eyes use of 2 automated systems for 2025 polls,https://www.pna.gov.ph/articles/1200739,"May 4, 2023, 3:27 pm"
25,House accepts PBBM challenge to forge closer PH-US ties,https://www.pna.gov.ph/articles/1200717,"May 4, 2023, 3:25 pm"
26,Gatchalian swears in Romualdez as new DSWD undersecretary,https://www.pna.gov.ph/articles/1200716,"May 4, 2023, 3:23 pm"
27,PBBM calls for PH GSP renewal to boost trade,https://www.pna.gov.ph/articles/1200720,"May 4, 2023, 2:53 pm"
28,Legarda wants tax incentives for salt industry investors,https://www.pna.gov.ph/articles/1200719,"May 4, 2023, 2:44 pm"
29,"NCR, Central Luzon top sales from Labor Day 'Kadiwa' for workers",https://www.pna.gov.ph/articles/1200730,"May 4, 2023, 2:33 pm"
30,"Attacks vs. US, PH ships, aircraft in Pacific, SCS to trigger MDT",https://www.pna.gov.ph/articles/1200718,"May 4, 2023, 1:28 pm"
31,Magnitude 5.8 quake jolts Isabela,https://www.pna.gov.ph/articles/1200713,"May 4, 2023, 10:25 am"
32,"OCD urges public to heed El Niño advisories, warnings",https://www.pna.gov.ph/articles/1200712,"May 4, 2023, 10:20 am"
33,Scattered rain showers continue over most of PH,https://www.pna.gov.ph/articles/1200711,"May 4, 2023, 9:42 am"
34,Christening of Navy's 2 new Israeli missile boats set May 8,https://www.pna.gov.ph/articles/1200710,"May 4, 2023, 9:36 am"
35,PBBM hails US willingness to work with PH as equal partner,https://www.pna.gov.ph/articles/1200709,"May 4, 2023, 9:14 am"
36,PCO vows to promote 'free media environment',https://www.pna.gov.ph/articles/1200708,"May 4, 2023, 8:27 am"
37,"PBBM orders gov’t agencies, LGUs to back program vs. criminality",https://www.pna.gov.ph/articles/1200706,"May 3, 2023, 10:27 pm"
38,PBBM OKs inter-agency body for 125th PH independence anniversary,https://www.pna.gov.ph/articles/1200705,"May 3, 2023, 10:23 pm"
39,PHLPost marks Nat’l Heritage Month with historic postage stamps,https://www.pna.gov.ph/articles/1200704,"May 3, 2023, 10:20 pm"
