,Statement,Link,Date
0,"Elections 2025: Stamping pens, new machine type, other changes Comelec seeks to introduce",https://www.rappler.com/nation/comelec-wish-list-2025-automated-elections/,2023-05-04
1,US issues guidelines on defending Philippines from South China Sea attack,https://www.rappler.com/nation/united-states-issues-guidelines-defending-philippines-south-china-sea-attack/,2023-05-04
2,"Follow audience on platforms like TikTok, journalists urge colleagues",https://www.rappler.com/nation/follow-audience-social-media-platforms-tiktok-journalists-urge-colleagues/,2023-05-04
3,"As COVID-19 cases rise, BuCor suspends visitation in New Bilibid Prison",https://www.rappler.com/nation/covid-19-cases-rise-bucor-suspends-visitation-new-bilibid-prison/,2023-05-04
4,LIVE UPDATES: President Marcos’ official visit to the United States,https://www.rappler.com/nation/updates-ferdinand-marcos-jr-official-visit-united-states-2023/,2023-05-03
6,House leader flags government agencies’ slow fund disbursement for 2023,https://www.rappler.com/nation/joey-salceda-flags-government-agencies-slow-disbursement-funds-2023/,2023-05-03
7,WATCH: Rapplers share their challenges in pursuit of press freedom,https://www.rappler.com/nation/video-challenges-pursuit-press-freedom-philippines/,2023-05-03
8,Sandiganbayan affirms graft case vs ex-QC mayor Herbert Bautista,https://www.rappler.com/nation/sandiganbayan-decision-graft-case-vs-ex-qc-mayor-herbert-bautista/,2023-05-02
9,‘Welcome back’: Marcos-Biden meeting flexes ‘optimism’ in bilateral ties,https://www.rappler.com/nation/marcos-jr-biden-meet-flexes-optimism-philippines-united-states-ties/,2023-05-02
10,"Amid China pressure, US, Philippines recommit to security alliance",https://www.rappler.com/nation/amid-china-pressure-united-states-philippines-recommit-security-alliance/,2023-05-02
11,WATCH: Ano ang pag-uusapan nina Marcos at Biden sa White House?,https://www.rappler.com/nation/video-agenda-marcos-jr-biden-meeting-official-visit-may-2023/,2023-05-01
12,Marcos in the White House: Manila back in Washington’s arms,https://www.rappler.com/nation/agenda-top-issues-marcos-jr-official-visit-united-states-2023/,2023-05-01
