,Title,Author,Date,Text
0,Marcos mulls reinstatement of GSP program of US to Philippines,Third Anne Peralta-Malonzo,"May 04, 2023","PRESIDENT Ferdinand “Bongbong” Marcos Jr. is calling for the reauthorization of the Generalized System of Preference (GSP) program that allows Philippine products to be imported to the United States at reduced or zero tariffs.In his speech at the forum organized by the United States (US)-Asean (Association of Southeast Asian Nations) Business Council and US Chamber of Commerce roundtable and reception at the Blair House in Washington on Wednesday, May 3, Marcos said the program will further boost trade and will make US products manufactured in the Philippines more competitive in the global market.The forum was attended by top American businessmen and Filipino tycoons including Jaime Zobel de Ayala, Enrique Razon, Tessie Sy Coson and Kevin Tan, among others.Some of the products that can be exported from the Philippines to the US under the GSP program are agricultural products like fruits, nuts, and vegetables; manufactured goods like textiles and furniture; and handicrafts.In December 2020, the GSP for the Philippines expired and had yet to be reinstated.ADVERTISEMENTMarcos touted before American business executives the Philippine economy’s growth, which stood at 7.6 percent in 2022.“This is the effect of our very aggressive efforts really to promote the Philippines as an investment destination,” he said.The chief executive called on US companies to invest more in the Philippines as the country stepped up efforts to “create an atmosphere that is attractive to potential investors and we continue that process.”ADVERTISEMENT“We will continue to listen to you and to all our other partners as to what else we can do to help the — to help transform our economy and in that way to be able to play a viable part in the security and defense issues that are the challenges of the day and of the region,” he added.The chief executive also discussed the government effort for digital transformation, noting its support to “smart industry readiness” of several semiconductors and electronics manufacturing services companies. (SunStar Philippines)ADVERTISEMENT"
1,"Marcos to LGUs, agencies: Support 2023 National Crime Prevention Program",Third Anne Peralta-Malonzo,"May 04, 2023","PRESIDENT Ferdinand “Bongbong” Marcos Jr. issued a memorandum circular (MC), encouraging local government units (LGUs) and all government agencies to support the 2023 National Crime Prevention Program (NCPP).Marcos issued MC 19, as he reiterated the need for a “whole-of-government” approach in addressing criminality, and ensuring peace and security in the country.The 2023 NCPP is a comprehensive framework that “operationalizes the strategies for ensuring peace and security under the Philippine Development Plan 2023-2028.”ADVERTISEMENTAmong the strategies were crime prevention education, community-based programs, victim assistance and support, law enforcement, and correctional and rehabilitation programs.The program was developed by the National Police Commission through its Technical Committee on Crime Prevention and Criminal Justice, an inter-disciplinary body composed of acknowledged experts from government agencies and non-government organizations involved in the criminal justice system. (SunStar Philippines)ADVERTISEMENT"
2,"More American global firms pledge expansion, investment in PH",Third Anne Peralta-Malonzo,"May 04, 2023","MORE United States (US) global firms have committed to either expand their operations or invest in the Philippines.During his five-day visit in the US for a bilateral meeting with President Joe Biden, President Ferdinand “Bongbong” Marcos Jr. also met with American businessmen who pledged investment to the Philippines.Analog Devices Inc., a semiconductor company, informed Marcos about its $200 million investment in the country for the expansion of its research and development (R&D) on top of its LEED certified production facility at the Gateway Business Park in Cavite.Marcos expressed gratitude to the company’s officials, as he asked them how they would proceed in the future beyond the R&D facility that they are planning in the Philippines.An ADI official said the company would continue to decide on the manufacturing aspects and change the manufacturing operation to focus more on current technology, noting that some of the most advanced technology products that come in are getting tested and processed at ADI’s Cavite plant.ADVERTISEMENT“So rather than the more basic stuff that may have been done 15, 20 years ago, we have continued to increase the level of technology that’s been introduced since the planning,” the official told Marcos.“So today, you hear about 300 mm wafers, 12-inch wafers, in there. Well, those wafers now come down and we are setting up a 300-mm Center of Excellence in Cavite, which is doing all of the wafer programs and associated with our products,” he addedAs of 2022, the company’s facility in the Philippines employs 5,252 Filipino workers, with a total of $394.39 million worth of exports for the same year.It has also been carrying out the ADI University Program in the Philippines that is comprised of different activities in providing engineering students with the opportunity to further develop the theory and application of analog circuit design.They are also eyeing to acquire the Philippine counterparts of Maxim -- Maxim Philippines Operating Corp., as a result of the global ADI’s $20.8 billion acquisition of Maxim Integrated Products Inc.ADVERTISEMENTMeanwhile, Maxeon, a global leader in solar technology and innovation, said it is looking into investing $900 million in solar energy in the Philippines, as it expands operations in the country particularly for its R&D.Bill Mulligan, the firm’s chief-executive-officer who operates the SunPower brand in all global markets, including the Maxeon brand in the United States, Canada and Japan, said the investment is seen to provide more than 3,000 jobs in the next few years.The company currently has an R&D facility in Cavite that provides job to at least 2,000 Filipino workers.“The Philippines has been incredibly important... it’s actually a strategic part of our company. And I want to thank you and I want to thank all of the government agencies for all of the help and the support for the 40 plus years that we’ve been in the country,” Mulligan said.ADVERTISEMENTMaxeon has been operating in the Philippines since 2003 under the name of Sunpower Philippines Manufacturing Ltd and opened its first factory at the Laguna Technopark in Biñan City in 2004.BPO company Atento also assured Marcos of its commitment to set up its first Philippine-based call center at the Iloilo Business Park in Mandurriao, Iloilo.The investment costs $800 million and is seen to provide around 1,500 jobs.In March, Optum met with the Board of Investments (BOI) to discuss details of its planned new project in Davao and queries on importation of equipment.ADVERTISEMENTSince 2011, UnitedHealth Group Optum has invested P5.1 billion in capital expenditure in operating four sites in Taguig, Muntinlupa, Quezon City, and Cebu City.UHG’s Optum business in the country provides a broad range of healthcare information management services, including clinical, revenue cycle management, pharmacy services and benefit management, payment integrity, quality and risk adjustment, technology, and other services delivered across voice, non-voice and blended processes.ADVERTISEMENTModerna, a pharmaceutical and biotechnology company that pioneered the production of Covid-19 vaccines, also said that it will establish a “Shared Service Facility for Pharmacovigilance” in the Philippines to serve the entire Asia Pacific Region.The project will also be the first investment by Moderna in the Philippines and its first in Asia. (SunStar Philippines)"
3,"PH to commemorate 125th anniversary of independence, nationhood from 2023-2026",Third Anne Peralta-Malonzo,"May 04, 2023","PRESIDENT Ferdinand “Bongbong” Marcos Jr. has ordered the creation of an inter-agency committee that will be in charge of the implementation of programs and projects for the commemoration of the country’s 125th anniversary of independence and nationhood.Under Administrative Order 8 signed by Marcos on Tuesday, May 2, the country will commemorate the 125th anniversary of Philippine independence from 2023 to 2026 to “give focus on the freedom that our forebears struggled for towards that they dreamed for the country and the history that we seek to remember and honor them with.”The committee will be chaired by the National Historical Commission of the Philippines (NHCP) while the Department of the Interior and Local Government (DILG) will serve as vice-chair.Members of the committee are the Department of Tourism, Department of Education, Department of National Defense, Department of Information and Communications Technology, Department of Trade and Industry, Department of Budget and Management, Department of Labor and Employment, Department of Transportation, and the Metro Manila Development Authority.ADVERTISEMENTThe commemoration of the country’s 125th anniversary of independence and nationhood is also in accordance to Republic Act 10086 or the “Strengthening Peoples’ Nationalism Through Philippine History Act,” which mandates the state to provide the means to “strengthen people’s nationalism, love of country, respect for its heroes and pride for the people’s accomplishments by reinforcing the importance of Philippine national and local history in daily life with the end in view of raising social consciousness.”ADVERTISEMENTIt is further directed to “reinvigorate government support for historical research; and sustaining and enhancing programs for the protection, preservation and conservation of historical relics and memorabilia, monuments, sites and other historical resources.” (SunStar Philippines)"
4,Marcos: PH-US partnerships cover all sectors,Third Anne Peralta-Malonzo,"May 03, 2023","PRESIDENT Ferdinand “Bongbong” Marcos Jr. said all sectors were covered by the partnership between the Philippines and the United States (US).In a meeting with the United States-Philippines Society (USPS) in Washington, Marcos said he was also pleased with the significant progress that both countries have made towards strengthening and further enhancing their security alliance.“Yes, now, prominent are the security defense issues, but if you look at what do we do in partnership, in coordination with the United States and there’s no part of — there’s no sector that isn’t touched by that partnership,” he said.“The strengthening and deepening of relations between the US and Philippines [have] certainly [been] a big step forward with all the developments that have been happening. It has been terribly useful for us to talk about redefining our mutual defense treaty and this I think has given us the opportunity to lay out, as you say, that roadmap for the economy and for another big issue in the Philippines – climate change and all the other big issues,” he added.Also known as The Society, the USPS is a non-profit, bi-national organization of prominent civic and business leaders of the US and the Philippines. It was co-chaired by former US Ambassador John D. Negropotente alongside Filipino business tycoon Manny Pangilinan.ADVERTISEMENTThe organization was formed in May 2012 with the goal of enhancing and raising awareness of the profile of the Philippines in the US in the areas of security, trade, investments, tourism, the environment, history, education and culture.During the meeting, IBM head of International Trade Policy Government and Regulatory Affairs Michael DiPaula Coyle said they are “very, very bullish” on the Philippine economy and are looking forward to working with the government to invest in digitalization.“We’re also very heavily invested in helping grow your talent pool through skills development programs. We’ve had a number of partnerships with the US government with your government to improve skills development particularly in areas like... AI (artificial intelligence) and cybersecurity where I think the Philippines has an enormous opportunity to position yourselves as a very competitive economy particularly in the IT services sector,” he said.On Monday evening (Manila Time), Marcos said the trade relations and partnership between the Philippines and the US must be “continually revisited” so that both parties would mutually benefit from these initiatives.“I was telling the President (Joe Biden) it’s very hard to categorize the partnership between the Philippines and US as one thing. It’s not just in the area of defense. Maybe now there’s a prominent one that we hear about but in terms of trade, in terms of education, in terms of culture, in terms of people-to-people as it has come to be known, all of these things have been going on for a hundred years,” Marcos said in his speech during the dinner hosted by the Philippine Embassy at the Blair House.ADVERTISEMENTADVERTISEMENT“But it still needs to be continually revisited so as we can make the most of our friendship and our partnership. And so that is the world as I see it today and the reasons that will come. That is why I am very grateful for the invitation of President Biden to come to Washington, D.C. and gain the opportunity to meet the leaders of the government,” he added.Marcos and Biden have affirmed a series of partnerships that is aimed at strengthening the cooperation between the two ally countries on a range of critical issues, including security cooperation, humanitarian aid, fight against looming climate change, food efficiency and security, environmental protection, energy, agriculture, rule of law, human rights and trade and investment.(SunStar Philippines)"
5,"US firms to hire 75,000 Filipino seafarers",Third Anne Peralta-Malonzo,"May 03, 2023","UNITED States-based firms have committed to President Ferdinand “Bongbong” Marcos Jr. that they will hire 75,000 Filipino seafarers, recognizing their hospitality and competitiveness in the global workforce.John Padget, president and chief executive officer of Carnival Corporation, said during a meeting with Marcos on Tuesday, May 2 (Manila Time) that they are set to hire some 75,000 Filipino seafarers in the next three to four years.Padget also represents Carnival Cruise Line, Holland American Airlines and Seaborn.“It doesn’t matter whether it’s the marine, deck, hospitality, restaurant...everything is based on the happiness, the smile, and the greatness of the Filipino employees,” he said.Department of Migrant Workers (DMW) Secretary Susan Ople presented the US firms “the interest of 200,000 Filipinos” who “adhere to fair and ethical standards and principles.”ADVERTISEMENTMarcos, for his part, thanked US employers for their continued confidence in Filipino professionals and skilled workers.“When you say that the — the ladies and gentlemen that we have here today represent 200,000, you do not represent 200,000 employees, you represent 200,000 families and you represent 200,000 communities in the Philippines,” Marcos told the employers.The President again recognized the Filipino workers’ contribution to the economic development of their home country through their remittances.ADVERTISEMENTThe government is currently implementing programs in order to produce more quality seafarers, especially by enhancing the curriculum and furnishing institutions with the necessary equipment and facilities.This was after the European Union noted deficiencies on the country’s maritime and seafaring sector, particularly on monitoring, supervision and evaluation of manning training and assessment; examination and assessment of competence, programs and course design and approval; availability and use of training facilities and simulators; onboard training and issue revalidation and recognition of certification endorsements. (SunStar Philippines)ADVERTISEMENT"
6,Marcos looking into micro nuclear fuel technology to address PH energy woes,Third Anne Peralta-Malonzo,"May 03, 2023","AS PART of the government’s effort to address the country’s looming power crisis, President Ferdinand “Bongbong” Marcos Jr. considers engaging in “cutting edge” micro nuclear fuel technology.While on his five-day visit in the United States, Marcos met with officials of Ultra Safe Nuclear Corporation (USNC), a US-based firm global leader and vertical integrator of nuclear technologies and services.Francesco Venneri, the company’s chief executive officer, expressed interest to bringing clean and reliable nuclear energy to the Philippines, their would-be first nuclear energy facility the Southeast Asia. He described the move as “probably a very important way for us to enter the market.”He vowed that the USNC will help address the series of blackouts that hit several areas of the country.“We also note that there’s a great deal of discussion about Mindoro having blackouts and that might be an excellent...a good science [solution],” said Venneri, referring to the weeks of power outages in Occidental Mindoro.ADVERTISEMENTThe micro modular reactor (MMR) energy system is a fourth-generation nuclear energy system that seeks to deliver safe, clean and cost-effective electricity to users.The system is being licensed in Canada and the US and considered the first “fission battery” in commercialization.ADVERTISEMENTThe company anticipates eventual heavy demand for its MMRs and its nuclear fuel, and envisions the Philippines as its nuclear hub in the region.Ensuring an unhampered supply of energy alongside the promotion and utilization of renewable energy sources are top priorities of the Marcos administration in an aggressive bid to realize a sufficient and clean energy supply in the future. (SunStar Philippines)"
7,MIAA general manager suspended over grave abuse of authority,Third Anne Peralta-Malonzo,"May 03, 2023","THE Office of the Ombudsman has ordered the preventive suspension of Manila International Airport Authority (MIAA) General Manager Cesar Chiong over alleged grave abuse of authority.MIAA Senior Assistant General Manager Bryan Co was assigned as officer-in-charge.Also under preventive suspension on the orders of the Ombudsman was MIAA Acting Assistant General Manager Irene Montalbo.The Ombudsman said that Chiong seemed to have abused his authority when he designated Montalbo as assistant general manager for finance and administration despite her unsatisfactory rating, and when he reassigned about 285 MIAA employees without informing them the reason.“Based on the evidence on record, it appears that the evidence of guilt of the respondents is strong and the charge against them involves grave misconduct which may warrant their removal from the service,"" the Ombudsman said.ADVERTISEMENT“Considering further that respondents' continued stay in the office may influence potential witnesses and may prejudice the case filed against them due to their continued access to documentary evidence relative thereto, this Office exercises its power to place respondents under preventive suspension,” he added.ADVERTISEMENTChiong expressed confidence, though, that he will be cleared from the allegations.The two officials’ suspension came following another mess at the Ninoy Aquino International Airport Terminal 3 due to power outage that affected dozens of flights and thousands of passengers. (SunStar Philippines)"
8,"PH, US security cooperation to ‘keep going’ amid WPS tensions",Third Anne Peralta-Malonzo,"May 03, 2023","AMID tensions in the Asia-Pacific region that include the continuous aggressiveness of China in the South China Sea (West Philippine Sea), President Ferdinand “Bongbong” Marcos Jr. said the security cooperation between the Philippines and its longstanding ally, the United States, will “just keep going.”In a chance interview during his meeting with US Vice President Kamala Harris in Washington, Marcos said he is “concerned as you could possibly be” over China’s provocative action in the WPS.“It is one of the major issues that we have to face back home,” he said.“Well, cooperation with the United States certainly is just something that we are building upon that has been going on for many, many, many decades. And we just keep going,” the President added.In the meeting, Harris stressed the need for Manila and Washington to continue to work together to address the maritime issues in the West Philippine Sea through their respective Coast Guards.ADVERTISEMENTHarris visited the Philippines in November 2022, including Puerto Princesa in Palawan, one of the provinces closest to the disputed WPS, where she had the opportunity to chat with some of the local fishermen.In a joint statement on Monday, both President Marcos and US President Joseph Biden welcomed the identification of new sites under the US-Philippines Enhanced Defense Cooperation Agreement (Edca), which is seen to strengthen Philippine security and support the modernization goals of the Armed Forces of the Philippines.Marcos and Biden underscored their “unwavering commitment” to freedom of navigation and overflight in the WPS, as well as the importance of respecting the sovereign rights of states within their exclusive economic zones, consistent with international law.Earlier, the Chinese Embassy in Manila said the US is only using the Philippines for its “selfish geopolitical interests” when it sought for the additional Edca sites in the country as it upholds the Mutual Defense Treaty.It said that while the US claims that such cooperation is intended to help the disaster relief efforts of the Philippines and to drive local economy, “it is plain and simple that those moves are part of its efforts to encircle and contain China through its military alliance.”ADVERTISEMENTIt also said that China and the Philippines should maintain “good-neighborliness” in order to attain mutual benefit instead of “getting distracted by forces who are fanning the flame and driving a wedge between us, even less inviting a bully into our community.”The Philippine government has filed hundreds of diplomatic protests against China over the past years for harassing Filipino fishermen and troops amid their claims in over 90 percent of the WPS.The most recent incident was the near-collision between a Chinese Coast Guard and Philippine Coast Guard vessel in waters around Ayungin Shoal on April 23.ADVERTISEMENTThe BRP Malapascua and BRP Malabrigo were also reportedly shadowed by Chinese navy and coast guard ships, and ordered to leave the waters several times during the seven-day maritime patrol carried out by the Philippine Coast Guard in WPS from April 18 to 24.ADVERTISEMENTChina said the incident was caused by the Philippines’ “premeditated and provocative action,” noting that the Philippine boats ""intruded"" their territory without permission, a claim dismissed by Philippine authorities maintaining that their operation was “non-provocative and did not undermine the interests of other states.” (SunStar Philippines)"
9,Moderna to set up vaccine-making facility in PH,Third Anne Peralta-Malonzo,"May 03, 2023","MODERNA, a pharmaceutical and biotechnology company that pioneered the production of coronavirus disease (Covid-19) vaccines that are being used in the country, will set up a “Shared Service Facility for Pharmacovigilance” in the Philippines.In a meeting with President Ferdinand “Bongbong” Marcos Jr. at the Blair House in Washington DC, Moderna Chief Commercial Officer Arpa Garay and Senior Vice President and General Manager Patrick Bergstedt said the facility, which will be their third shared service facility across the world and first in Asia, will serve the entire Asia Pacific Region.The project will also be the first investment by Moderna in the Philippines and its first in Asia.Bergstedt said they have chosen the Philippines as the “perfect location” among many other countries that offered shared services, as they underscore the successful public-private partnership between the Philippine government and Moderna that they wanted to explore further.“We are really excited to have selected the Philippines for the third one primarily because you know the capabilities exist. We have the talent that exists, and we know that the partnership will be one that can be beneficial for both Moderna and the Philippines,” Garay said.ADVERTISEMENTThe facility is expected to employ around 50 staff composed of health professionals with their shortlisted office location either in Makati or at the Bonifacio Global City in Taguig.ADVERTISEMENTMarcos expressed gratitude to Moderna, saying it will give the country advantage in healthcare.“The opportunity to build shared services in areas of interest, connecting with the scientific, academic opportunity with Moderna, the ministry of health is something that we’re very, very interested in. The most important part is that we sat down and drew the program, and say this is how we approach the problem ... Those are the kind of skills that we need. With your experience in other countries, there are many lessons that we could learn that can be applied in the Philippines,” he said. (SunStar Philippines)"
