,Statement,Link,Date
0,RUTHLESS APPROACH | Marcos says Duterte’s drug war had abuses,https://news.tv5.com.ph/politics/read/ruthless-approach-marcos-says-dutertes-drug-war-had-abuses,"May 5, 2023 , 10:34 AM"
1,MARITIME DISPUTE | U.S. issues guidelines on defending Philippines from South China Sea attack,https://news.tv5.com.ph/politics/read/maritime-dispute-u-s-issues-guidelines-on-defending-philippines-from-south-china-sea-attack,"May 4, 2023 , 07:30 PM"
2,"‘BROADER UNDERSTANDING’ | Same-sex union part of curriculum since 2013, says DepEd",https://news.tv5.com.ph/politics/read/broader-understanding-same-sex-union-part-of-curriculum-since-2013-says-deped,"May 4, 2023 , 10:29 AM"
3,SERIOUS ALLEGATION | Russia says Ukraine tried to kill Putin with night-time drone attack,https://news.tv5.com.ph/politics/read/serious-allegation-russia-says-ukraine-tried-to-kill-putin-with-night-time-drone-attack,"May 4, 2023 , 09:38 AM"
4,WEST PHILIPPINE SEA | US stands with Philippines against Chinese ‘intimidation’ in S. China Sea – official,https://news.tv5.com.ph/politics/read/west-philippine-sea-us-stands-with-philippines-against-chinese-intimidation-in-s-china-sea-official,"May 3, 2023 , 09:49 PM"
5,"‘TRUE FRIENDSHIP’ | Marcos cites need to ‘continually revisit’ trade ties between Philippines, US",https://news.tv5.com.ph/politics/read/true-friendship-marcos-cites-need-to-continually-revisit-trade-ties-between-philippines-us,"May 3, 2023 , 10:38 AM"
6,"US-PHILIPPINE TIES | Amid China pressure, US and Philippines recommit to security alliance",https://news.tv5.com.ph/politics/read/us-philippine-ties-amid-china-pressure-us-and-philippines-recommit-to-security-alliance,"May 2, 2023 , 07:49 PM"
7,"DIRECT LINE | Philippines, China to discuss fishing rights in South China Sea, says Marcos",https://news.tv5.com.ph/politics/read/direct-line-philippines-china-to-discuss-fishing-rights-in-south-china-sea-says-marcos,"May 2, 2023 , 12:04 PM"
8,"DEFENSE POSTURE | Marcos’ US visit strategic to reaffirm close ties with security ally, says analyst",https://news.tv5.com.ph/politics/read/defense-posture-marcos-us-visit-strategic-to-reaffirm-close-ties-with-security-ally-says-analyst,"May 2, 2023 , 10:12 AM"
9,"IRONCLAD TIES | US, Philippines recommit to security alliance amid China pressure",https://news.tv5.com.ph/politics/read/ironclad-ties-us-philippines-recommit-to-security-alliance-amid-china-pressure,"May 2, 2023 , 08:26 AM"
10,SECURITY TIES | Biden to reassure Marcos as China tensions flare,https://news.tv5.com.ph/politics/read/security-ties-biden-to-reassure-marcos-as-china-tensions-flare,"May 1, 2023 , 08:37 PM"
11,LABOR DAY | Marcos assures workers to address labor issues; improve labor conditions,https://news.tv5.com.ph/politics/read/labor-day-marcos-assures-workers-to-address-labor-issues-improve-labor-conditions,"May 1, 2023 , 05:24 PM"
12,‘IMPORTANT ALLIANCE’ | Marcos to forge stronger relationship with US during visit,https://news.tv5.com.ph/politics/read/important-alliance-marcos-to-forge-stronger-relationship-with-us-during-visit,"May 1, 2023 , 10:24 AM"
13,ENDING WAR | Pope Francis says Vatican involved in secret Ukraine peace mission,https://news.tv5.com.ph/politics/read/ending-war-pope-francis-says-vatican-involved-in-secret-ukraine-peace-mission,"May 1, 2023 , 09:10 AM"
14,"FREEDOM OF THE PRESS | Marcos pledges to ensure press freedom, transparency",https://news.tv5.com.ph/politics/read/freedom-of-the-press-marcos-pledges-to-ensure-press-freedom-transparency,"April 28, 2023 , 06:15 PM"
15,SEXUAL VIOLENCE | Trump accuser tells jury: ‘He raped me whether I screamed or not’,https://news.tv5.com.ph/politics/read/sexual-violence-trump-accuser-tells-jury-he-raped-me-whether-i-screamed-or-not,"April 28, 2023 , 12:02 PM"
