,Statement,Link,Date
0,PNP aims for 3-minute response time to crime in crowded areas,https://www.gmanetwork.com/news/topstories/nation/869135/pnp-aims-for-3-minute-response-time-to-crime-in-crowded-areas/story/,"May 05, 2023"
1,Senior high school grads land in jobs with minimum wage –manpower agency,https://www.gmanetwork.com/news/topstories/nation/869128/senior-high-school-grads-land-in-jobs-with-minimum-wage-manpower-agency/story/,"May 05, 2023"
2,Senate bill wants 1:1 student-textbook ratio achieved via digitization,https://www.gmanetwork.com/news/topstories/nation/869105/senate-bill-wants-1-1-student-textbook-ratio-achieved-via-digitization/story/,"May 05, 2023"
3,ACT Teachers: Workers' freedom of association under threat due to NTF-ELCAC,https://www.gmanetwork.com/news/topstories/nation/869096/act-teachers-workers-freedom-of-association-under-threat-due-to-ntf-elcac/story/,"May 05, 2023"
4,"LGUs prepared to address effects of El Niño, other calamities –LPP",https://www.gmanetwork.com/news/topstories/nation/869091/lgus-prepared-to-address-effects-of-el-nino-other-calamities-lpp/story/,"May 05, 2023"
5,"LPP vows to monitor students, schools amid rising COVID-19 cases",https://www.gmanetwork.com/news/topstories/nation/869088/lpp-vows-to-monitor-students-schools-amid-rising-covid-19-cases/story/,"May 05, 2023"
6,CAAP shortens May 17 air traffic management system maintenance to 2 hours,https://www.gmanetwork.com/news/topstories/nation/869080/caap-shortens-may-17-air-traffic-management-system-maintenance-to-2-hours/story/,"May 05, 2023"
7,75 PDLs with mild symptoms remain in isolation — BuCor,https://www.gmanetwork.com/news/topstories/nation/869077/75-pdls-with-mild-symptoms-remain-in-isolation-bucor/story/,"May 05, 2023"
8,Marcos says disengagement with China 'not an option',https://www.gmanetwork.com/news/topstories/nation/869067/marcos-says-disengagement-with-china-not-an-option/story/,"May 05, 2023"
9,Marcos to meet with British PM on the sidelines of King Charles III coronation,https://www.gmanetwork.com/news/topstories/nation/869056/marcos-to-meet-with-british-pm-on-the-sidelines-of-king-charles-iii-coronation/story/,"May 05, 2023"
10,Marcos: Abuses linked to war on drugs committed during 'previous administration',https://www.gmanetwork.com/news/topstories/nation/869049/marcos-abuses-linked-to-war-on-drugs-committed-during-previous-administration/story/,"May 05, 2023"
11,"Tobacco smokers struggling to quit have options, says group",https://www.gmanetwork.com/news/topstories/nation/869042/tobacco-smokers-struggling-to-quit-have-options-says-group/story/,"May 05, 2023"
12,Filipino family in Sudan walked 5 km to escape war zone,https://www.gmanetwork.com/news/topstories/nation/869036/filipino-family-in-sudan-walked-5-km-to-escape-war-zone/story/,"May 05, 2023"
13,Marcos lays wreath at Tomb of the Unknown Soldier in Arlington,https://www.gmanetwork.com/news/topstories/nation/869027/marcos-lays-wreath-at-tomb-of-the-unknown-soldier-in-arlington/story/,"May 04, 2023"
14,Naga College Foundation grad tops April 2023 Criminologists Licensure exam,https://www.gmanetwork.com/news/topstories/nation/869022/naga-college-foundation-grad-tops-april-2023-criminologists-licensure-exam/story/,"May 04, 2023"
15,"DOH tells hospitals, healthcare facilities to brace for El Niño",https://www.gmanetwork.com/news/topstories/nation/869016/doh-tells-hospitals-healthcare-facilities-to-brace-for-el-nino/story/,"May 04, 2023"
16,COA official leads Philippine chairmanship of UN program panel,https://www.gmanetwork.com/news/topstories/nation/869011/coa-official-leads-philippine-chairmanship-of-un-program-panel/story/,"May 04, 2023"
17,Nancy Binay wants to see Marcos' ‘aggressive’ side in his second year in office,https://www.gmanetwork.com/news/topstories/nation/869006/nancy-binay-wants-to-see-marcos-aggressive-side-in-his-second-year-in-office/story/,"May 04, 2023"
18,Villanueva defends proposed creation of Department of Disaster Resilience,https://www.gmanetwork.com/news/topstories/nation/869001/villanueva-defends-proposed-creation-of-department-of-disaster-resilience/story/,"May 04, 2023"
19,Salceda pushes for bill allowing gov't to block sites publishing pirated content,https://www.gmanetwork.com/news/topstories/nation/868990/salceda-pushes-for-bill-allowing-gov-t-to-block-sites-publishing-pirated-content/story/,"May 04, 2023"
20,DOTr eyes agency-to-agency procurement of driver’s license cards,https://www.gmanetwork.com/news/topstories/nation/868983/dotr-eyes-agency-to-agency-procurement-of-driver-s-license-cards/story/,"May 04, 2023"
21,"SWS poll on ROTC: 42% want it optional, 35% want it compulsory, 22% don’t want it in curriculum",https://www.gmanetwork.com/news/topstories/nation/868978/sws-poll-on-rotc-42-want-it-optional-35-want-it-compulsory-22-don-t-want-it-in-curriculum/story/,"May 04, 2023"
22,"American wanted for fraud, racketeering nabbed — BI",https://www.gmanetwork.com/news/topstories/nation/868981/american-wanted-for-fraud-racketeering-nabbed-bi/story/,"May 04, 2023"
23,"DOH: 12 to 23 years to address shortage of nurses, doctors under existing policies",https://www.gmanetwork.com/news/topstories/nation/868972/doh-12-to-23-years-to-address-shortage-of-nurses-doctors-under-existing-policies/story/,"May 04, 2023"
24,"Over 61M PhilIDs, ePhilIDs delivered — PSA",https://www.gmanetwork.com/news/topstories/nation/868974/over-61m-philids-ephilids-delivered-psa/story/,"May 04, 2023"
25,Vergeire: Lack of law prevents PH from procuring bivalent COVID-19 vaccines,https://www.gmanetwork.com/news/topstories/nation/868967/vergeire-lack-of-law-prevents-ph-from-procuring-bivalent-covid-19-vaccines/story/,"May 04, 2023"
26,Passengers advised to coordinate with airlines ahead of May 17 airspace shutdown,https://www.gmanetwork.com/news/topstories/nation/868961/passengers-advised-to-coordinate-with-airlines-ahead-of-may-17-airspace-shutdown/story/,"May 04, 2023"
27,Comelec presents TOR for an automated election system,https://www.gmanetwork.com/news/topstories/nation/868956/comelec-presents-tor-for-an-automated-election-system/story/,"May 04, 2023"
28,"DOLE looking into red-tagging of union members, says official",https://www.gmanetwork.com/news/topstories/nation/868945/dole-looking-into-red-tagging-of-union-members-says-official/story/,"May 04, 2023"
29,PNP chief Acorda vows to prioritize missing ‘sabungeros’ case,https://www.gmanetwork.com/news/topstories/nation/868933/pnp-chief-acorda-vows-to-prioritize-missing-sabungeros-case/story/,"May 04, 2023"
30,Marcos OKs creation of body for 125th PH independence,https://www.gmanetwork.com/news/topstories/nation/868922/marcos-oks-creation-of-body-for-125th-ph-independence/story/,"May 04, 2023"
31,"PH, US set up bilateral defense guidelines to modernize alliance",https://www.gmanetwork.com/news/topstories/nation/868917/philippines-us-defense-chiefs-galvez-austin-set-up-bilateral-defense-guidelines-to-modernize-alliance/story/,"May 04, 2023"
32,PDEG chief wants AMLC’s help in probing bank accounts of cops in P6.7-B drug case,https://www.gmanetwork.com/news/topstories/nation/868894/pdeg-chief-wants-amlc-s-help-in-probing-bank-accounts-of-cops-in-p6-7-b-drug-case/story/,"May 04, 2023"
33,Rizal Tech grad tops April 2023 Registered Electrical Engineers Licensure exam,https://www.gmanetwork.com/news/topstories/nation/868907/rizal-tech-grad-tops-april-2023-registered-electrical-engineers-licensure-exam/story/,"May 03, 2023"
34,"US not looking to form new Quad in East Asia with PH, other countries",https://www.gmanetwork.com/news/topstories/nation/868891/us-not-looking-to-form-new-quad-in-east-asia-with-ph-other-countries/story/,"May 03, 2023"
35,Makabayan bloc urges House inquiry into data breach at gov't agencies,https://www.gmanetwork.com/news/topstories/nation/868875/makabayan-bloc-urges-house-inquiry-into-data-breach-at-gov-t-agencies/story/,"May 03, 2023"
36,Win Gatchalian urges principals to shift to blended learning amid El Niño alert,https://www.gmanetwork.com/news/topstories/nation/868866/win-gatchalian-urges-principals-to-shift-to-blended-learning-amid-el-nino-alert/story/,"May 03, 2023"
37,"130 flights, 20,000 passengers to be affected by May 17 airspace shutdown — MIAA",https://www.gmanetwork.com/news/topstories/nation/868860/130-flights-20-000-passengers-to-be-affected-by-may-17-airspace-shutdown-miaa/story/,"May 03, 2023"
38,Poe seeks Senate inquiry into Panay power situation amid supply interruptions,https://www.gmanetwork.com/news/topstories/nation/868853/poe-seeks-senate-inquiry-into-panay-power-situation-amid-supply-interruptions/story/,"May 03, 2023"
39,Rep. Villanueva blasts DepEd for 'promoting' same-sex union in draft curriculum,https://www.gmanetwork.com/news/topstories/nation/868827/rep-villanueva-blasts-deped-for-promoting-same-sex-union-in-draft-curriculum/story/,"May 03, 2023"
40,US stands with PH vs. Chinese 'intimidation' in South China Sea —US State Dep't official,https://www.gmanetwork.com/news/topstories/nation/868845/us-stands-with-ph-vs-chinese-intimidation-in-south-china-sea-us-state-dep-t-official/story/,"May 03, 2023"
41,SC suspends lawyer for two years for sexual harassment at work,https://www.gmanetwork.com/news/topstories/nation/868843/sc-suspends-lawyer-for-two-years-for-sexual-harassment-at-work/story/,"May 03, 2023"
42,DBM: Marcos admin allots P2.39B for nat’l greening program,https://www.gmanetwork.com/news/topstories/nation/868818/dbm-marcos-admin-allots-p2-39b-for-nat-l-greening-program/story/,"May 03, 2023"
43,NAIA’s new electrical system won’t necessarily cost P1 billion —Recto,https://www.gmanetwork.com/news/topstories/nation/868807/naia-s-new-electrical-system-won-t-necessarily-cost-p1-billion-recto/story/,"May 03, 2023"
44,Blue Ribbon probe on ‘long delayed’ release of national IDs sought,https://www.gmanetwork.com/news/topstories/nation/868808/blue-ribbon-probe-on-long-delayed-release-of-national-ids-sought/story/,"May 03, 2023"
45,Abalos orders LGUs to prepare for possible El Niño effects,https://www.gmanetwork.com/news/topstories/nation/868802/abalos-orders-lgus-to-prepare-for-possible-el-nino-effects/story/,"May 03, 2023"
46,SRA open to possible probe on high sugar prices,https://www.gmanetwork.com/news/topstories/nation/868798/sra-open-to-possible-probe-on-high-sugar-prices/story/,"May 03, 2023"
47,"PNP to go after smoking, vaping minors",https://www.gmanetwork.com/news/topstories/nation/868789/pnp-to-go-after-smoking-vaping-minors/story/,"May 03, 2023"
48,France opposes actions that increase tensions in South China Sea,https://www.gmanetwork.com/news/topstories/nation/868783/france-opposes-actions-that-increase-tensions-in-south-china-sea/story/,"May 03, 2023"
49,"Philippines, US to form bilateral labor working group",https://www.gmanetwork.com/news/topstories/nation/868781/philippines-us-to-form-bilateral-labor-working-group/story/,"May 03, 2023"
50,"Marcoses meet US VP Harris, Second Gentleman",https://www.gmanetwork.com/news/topstories/nation/868778/marcoses-meet-us-vp-harris-second-gentleman/story/,"May 03, 2023"
51,Marcos ‘as concerned as you could be' over China provocation,https://www.gmanetwork.com/news/topstories/nation/868775/marcos-as-concerned-as-you-could-be-over-china-provocation/story/,"May 02, 2023"
52,‘Fire and Rescue Village’ opens in Bacoor City,https://www.gmanetwork.com/news/topstories/nation/868755/fire-and-rescue-village-opens-in-bacoor-city/story/,"May 02, 2023"
53,5 senior PNP officials designated to new posts,https://www.gmanetwork.com/news/topstories/nation/868739/5-senior-pnp-officials-designated-to-new-posts/story/,"May 02, 2023"
54,MIAA GM Chiong on preventive suspension due to ‘anonymous’ complaint,https://www.gmanetwork.com/news/topstories/nation/868744/miaa-gm-chiong-on-preventive-suspension-due-to-anonymous-complaint/story/,"May 02, 2023"
55,Over 100K applicants to take face-to-face UPCAT in June,https://www.gmanetwork.com/news/topstories/nation/868729/over-100k-applicants-to-take-face-to-face-upcat-in-june/story/,"May 02, 2023"
56,"DOH targets 95% coverage on children's vaccination program for measles, polio",https://www.gmanetwork.com/news/topstories/nation/868720/doh-targets-95-coverage-on-children-s-vaccination-program-for-measles-polio/story/,"May 02, 2023"
57,DOH to Marcos: No need to bring back mandatory face mask policy,https://www.gmanetwork.com/news/topstories/nation/868717/doh-to-marcos-no-need-to-bring-back-mandatory-face-mask-policy/story/,"May 02, 2023"
58,Agri-Smuggling Court to be a Tax Appeals Court division –Tolentino,https://www.gmanetwork.com/news/topstories/nation/868706/agri-smuggling-court-to-be-a-tax-appeals-court-division-tolentino/story/,"May 02, 2023"
59,MIAA not ruling out sabotage for NAIA 3 power outage on Labor Day,https://www.gmanetwork.com/news/topstories/nation/868700/miaa-not-ruling-out-sabotage-for-naia-3-power-outage-on-labor-day/story/,"May 02, 2023"
60,COA vows digital transformation of state audit in the next seven years,https://www.gmanetwork.com/news/topstories/nation/868688/coa-vows-digital-transformation-of-state-audit-in-the-next-seven-years/story/,"May 02, 2023"
61,"Marcos, Biden vow to expand collaboration on renewable energy production",https://www.gmanetwork.com/news/topstories/nation/868679/marcos-biden-vow-to-expand-collaboration-on-renewable-energy-production/story/,"May 02, 2023"
62,"PH, US set 2 iterations of 2023 Cope Thunder joint exercise",https://www.gmanetwork.com/news/topstories/nation/868675/ph-us-set-2-iterations-of-2023-cope-thunder-joint-exercise/story/,"May 02, 2023"
63,"Biden to Marcos: Amid challenges, I can't think of better partner than you",https://www.gmanetwork.com/news/topstories/nation/868666/biden-to-marcos-amid-challenges-i-can-t-think-of-better-partner-than-you/story/,"May 02, 2023"
64,Marcos meets Joe Biden at White House,https://www.gmanetwork.com/news/topstories/nation/868660/philippine-president-marcos-meets-us-president-joe-biden-at-white-house/story/,"May 02, 2023"
65,‘Fault current’ blamed for NAIA Terminal 3 power outage on Labor Day,https://www.gmanetwork.com/news/topstories/nation/868621/fault-current-blamed-for-naia-terminal-3-power-outage-on-labor-day/story/,"May 01, 2023"
66,"Pimentel wants EDCA reviewed, bats for more transparent agreement",https://www.gmanetwork.com/news/topstories/nation/868611/pimentel-wants-edca-reviewed-bats-for-more-transparent-agreement/story/,"May 01, 2023"
67,"Groups hold protest on Labor Day, call for wage hike",https://www.gmanetwork.com/news/topstories/nation/868603/groups-hold-protest-on-labor-day-call-for-wage-hike/story/,"May 01, 2023"
68,DOLE: Regional wage boards reviewing 10 wage hike petitions,https://www.gmanetwork.com/news/topstories/nation/868593/dole-regional-wage-boards-reviewing-10-wage-hike-petitions/story/,"May 01, 2023"
69,Marcos OKs creation of inter-agency body to look into labor cases,https://www.gmanetwork.com/news/topstories/nation/868582/marcos-oks-creation-of-inter-agency-body-to-look-into-labor-cases/story/,"May 01, 2023"
70,Marcos eyes adding people to Cabinet after appointment ban,https://www.gmanetwork.com/news/topstories/nation/868578/marcos-eyes-adding-people-to-cabinet-after-appointment-ban/story/,"May 01, 2023"
71,Marcos: PH won’t be used as ‘staging post’ for any military act,https://www.gmanetwork.com/news/topstories/nation/868577/marcos-ph-won-t-be-used-as-staging-post-for-any-military-act/story/,"May 01, 2023"
72,"Marcos tasks DFA, PCG to map out PH’s fishing grounds in West Philippine Sea",https://www.gmanetwork.com/news/topstories/nation/868575/marcos-tasks-dfa-pcg-to-map-out-ph-s-fishing-grounds-in-west-philippine-sea/story/,"May 01, 2023"
73,Marcos arrives in Washington for official visit,https://www.gmanetwork.com/news/topstories/nation/868572/marcos-arrives-in-washington-for-official-visit/story/,"May 01, 2023"
74,"PNP arrests 22,649 ‘most wanted’ in first quarter",https://www.gmanetwork.com/news/topstories/nation/868556/pnp-arrests-22-649-most-wanted-in-first-quarter/story/,"Apr 30, 2023"
75,"Marcos leaves for Washington, says he's determined to build ‘even stronger relationship’ with US",https://www.gmanetwork.com/news/topstories/nation/868529/marcos-leaves-for-washington-says-he-s-determined-to-build-even-stronger-relationship-with-us/story/,"Apr 30, 2023"
76,"Marcos tells workers on Labor Day: Don't lose courage, diligence, hope",https://www.gmanetwork.com/news/topstories/nation/868524/marcos-tells-workers-on-labor-day-don-t-lose-courage-diligence-hope/story/,"Apr 30, 2023"
77,VP Sara is country's caretaker while Marcos is in Washington for official visit,https://www.gmanetwork.com/news/topstories/nation/868516/vp-sara-is-country-s-caretaker-while-marcos-is-in-washington-for-official-visit/story/,"Apr 30, 2023"
78,"US stands with PH, calls out China for 'provocative and unsafe conduct' in South China Sea",https://www.gmanetwork.com/news/topstories/nation/868514/us-stands-with-ph-calls-out-china-for-provocative-and-unsafe-conduct-in-south-china-sea/story/,"Apr 30, 2023"
79,"DOH reports 304 new COVID-19 cases; active tally at 5,070",https://www.gmanetwork.com/news/topstories/nation/868500/doh-reports-304-new-covid-19-cases-active-tally-at-5-070/story/,"Apr 29, 2023"
80,Some private schools ask for 4% tuition increase on average,https://www.gmanetwork.com/news/topstories/nation/868486/some-private-schools-ask-for-4-tuition-increase-on-average/story/,"Apr 29, 2023"
81,AFP refuses to comment on PH-China vessels incident in Spratlys,https://www.gmanetwork.com/news/topstories/nation/868472/afp-refuses-to-comment-on-ph-china-vessels-incident-in-spratlys/story/,"Apr 29, 2023"
82,Ex-Ombudsman Gutierrez takes oath as GSIS acting board member,https://www.gmanetwork.com/news/topstories/nation/868431/ex-ombudsman-gutierrez-takes-oath-as-gsis-acting-board-member/story/,"Apr 28, 2023"
83,"Bantag, Zulueta now on hold departure list — BI",https://www.gmanetwork.com/news/topstories/nation/868429/bantag-zulueta-now-on-hold-departure-list-bi/story/,"Apr 28, 2023"
84,Gov’t urged to probe causes of vaccine hesitancy in PH,https://www.gmanetwork.com/news/topstories/nation/868425/gov-t-urged-to-probe-causes-of-vaccine-hesitancy-in-ph/story/,"Apr 28, 2023"
85,Marcos to take up Philippine economic agenda in Washington —DFA,https://www.gmanetwork.com/news/topstories/nation/868421/marcos-to-take-up-philippine-economic-agenda-in-washington-dfa/story/,"Apr 28, 2023"
86,PH tells China to respect its rights after near-crash in WPS,https://www.gmanetwork.com/news/topstories/nation/868408/philippines-tells-china-to-respect-its-rights-in-west-philippine-sea-after-near-crash/story/,"Apr 28, 2023"
87,West PH Sea Task Force to discuss presence of 100 China vessels –AFP,https://www.gmanetwork.com/news/topstories/nation/868406/west-ph-sea-task-force-to-discuss-presence-of-100-china-vessels-afp/story/,"Apr 28, 2023"
88,China says Philippine boat's 'provocative action' caused near-crash,https://www.gmanetwork.com/news/topstories/nation/868403/china-says-philippine-boat-s-provocative-action-caused-near-crash/story/,"Apr 28, 2023"
