,Statement,Link,Date
0,'Thank you gov': Cong Roman mourns passing of Gov Carlos Padilla,https://mb.com.ph/2023/5/5/thank-you-gov-cong-roman-mourns-passing-of-gov-carlos-padilla,an hour ago
1,P5-M reward offered to find missing Chinese passenger of sunken dive yacht,https://mb.com.ph/2023/5/5/p5-m-reward-offered-to-find-missing-chinese-passenger-of-sunken-dive-yacht,an hour ago
2,"Hontiveros: Nuclear energy a terrible, false solution to PH power woes",https://mb.com.ph/2023/5/5/hontiveros-nuclear-energy-a-terrible-false-solution-to-ph-power-woes,an hour ago
3,You go girl! Pro-sports solon hails Kaila Napolis for winning PH's 1st gold in 2023 SEA games,https://mb.com.ph/2023/5/5/you-go-girl-pro-sports-solon-hails-kaila-napolis-for-winning-ph-s-1st-gold-in-2023-sea-games,an hour ago
4,"Expedite release of Excellence in Teacher Education Act IRR, agencies told",https://mb.com.ph/2023/5/5/expedite-release-of-excellence-in-teacher-education-act-irr-agencies-told,2 hours ago
5,NWRB keeps an eye on Angat Dam amid El Niño Alert,https://mb.com.ph/2023/5/5/nwrb-keeps-an-eye-on-angat-dam-amid-el-nino-alert-2,13 minutes ago
6,MB Daily News Summary,https://mb.com.ph/2023/5/5/mb-daily-news-summary-42,21 minutes ago
7,Keeping medical frontliners in PH: Health workers ask gov’t anew for salary increase,https://mb.com.ph/2023/5/5/keeping-medical-frontliners-in-ph-health-workers-asks-gov-t-anew-for-salary-increase,44 minutes ago
8,Woman arrested ‘for extorting P9.9-M from lawyer’,https://mb.com.ph/2023/5/5/woman-arrested-for-extorting-p9-9-m-from-lawyer,an hour ago
9,BFAR gears up for El Niño to ensure ample food supply,https://mb.com.ph/2023/5/5/bfar-gears-up-for-el-nino-to-ensure-ample-food-supply,an hour ago
10,PH to pursue talks with China on Malampaya gas fields—Marcos,https://mb.com.ph/2023/5/5/ph-to-keep-negotiating-with-china-over-malampaya-gas-fields-marcos,2 hours ago
11,"PH, US air forces train in counter-air operations",https://mb.com.ph/2023/5/5/ph-us-air-forces-train-in-counter-air-operations,2 hours ago
12,British Embassy hosts coronation picnic in QC circle,https://mb.com.ph/2023/5/5/british-embassy-in-ph-to-hold-coronation-picnic-in-qc-circle,2 hours ago
