,Text,Annotate
0,"The number of Filipinos against changing the Constitution reached 45% which is more than those in favor of it at 41%, a Pulse Asia poll showed.",
1,Jinggoy Estrada calls ICC probers 'white monkeys'; tells them to back off,
2,"President Ferdinand “Bongbong” Marcos Jr. has approved the sale of seized smuggled sugar at P70 per kilo at Kadiwa centers, according to the Presidential Communications Office (PCO) on Tuesday.",
3,"The Department of Health (DOH) on Thursday monitored an increase in COVID-19 cases in the country with 150 new infections, bringing the active tally to 9,269.",
4,Gatchalian wants corruption issues fixed before pushing for estate tax amnesty extension,
5,"Philippine government officials will have visa exemptions when entering Japan, Prime Minister Fumio Kishida has said.",
6,"Sunken tanker was carrying 900K liters of industrial fuel oil, not 800K —PCG",
7,Less than half of Philippine SIMs registered before Apr 26 deadline,
8,"Manalo, Galvez to lead PH delegation in dialogue with US",
9,"PH, China start two-day bilateral talks amid maritime tensions",
10,Candaba Viaduct temporarily closed to motorists as LPG tanker catches fire,
11,The camp of suspended Negros Oriental Representative Arnolfo “Arnie” Teves Jr. on Tuesday said they are ready to face possible cases against the lawmaker in relation to the assassination of Negros Oriental Governor Roel Degamo.,
12,DBM releases P43B for senior citizens’ health insurance coverage,
13,"President Ferdinand ""Bongbong"" Marcos Jr. has named Carlos Primo Constantino David as undersecretary of the Department of Environment and Natural Resources (DENR).",
14,"A bill filed in the Senate seeks to deem an incumbent elected official resigned upon filing his or her certificate of candidacy (COC) for another elective post, including president and vice president.",
15,"A large majority of adult Filipinos approve of the executive order allowing voluntary wearing of face masks, but most of them prefer to continue wearing masks, according to the results of the Fourth Quarter 2022 Social Weather Stations (SWS) survey.",
16,"The number of COVID-19 vaccine wastage in the Philippines will reach 50 million by the end of March, Department of Health officer-in-charge Maria Rosario Vergeire confirmed Thursday.",
17,SC asked to declare SIM Registration Act unconstitutional,
18,Distribute smuggled sugar for free - Hontiveros,
19,USAID to give $8 million to support global health security in PH,
20,"A total of 1,984 fire incidents have been recorded so far in the country since January, the Bureau of Fire Protection (BFP) said on Thursday.",
21,"Pamplona Mayor Janice Degamo, the wife of slain Negros Oriental Governor Roel Degamo, on Friday claimed that up to 30 people had been killed by the camp of recently-suspended Congressman Arnolfo “Arnie” Teves Jr.",
22,PNP aims for 3-minute response time to crime in crowded areas,
23,Hontiveros stresses need for women leaders in gov’t to ensure ‘true’ gender equality,
24,The Bangko Sentral ng Pilipinas (BSP) said Thursday it did not release a banknote new design or denomination.,
25,"The maternal mortality ratio in the Philippines has been declining over the years, according to the Department of Health (DOH) on Friday.",
26,Solon seeks Guanzon's return as P3WD party-list representative,
27,Priest’s Santo Entierro image has cops suspecting body wrapped in plastic,
28,The House Committee on Natural Resources this week approved a bill mandating mining operations in the country to  Kabataan party-list Representative Raoul Manuel said on Friday.,
29,Portions of Malacanang get new look with renovations,
30,Bill condoning farmers' loans under CARP gets Senate's final nod,
31,"The International Criminal Court (ICC) Appeals Chamber’s rejection of the Philippine government’s appeal to suspend the probe on the Duterte administration’s drug war is an indictment of the country’s judicial system, Solicitor General Menardo Guevarra said Tuesday.",
32,Marcos to meet with British PM on the sidelines of King Charles III coronation,
33,"Speaker Martin Romualdez of Leyte on Wednesday justified the ongoing  deliberations on measures seeking to amend the 1987 Constitution, saying the proposed amendments aim to attract foreign financing for job generation, among others.",
34,"Marcoses' bid to retake surrendered, forfeited assets denied by Sandiganbayan",
35,Brian Yamsuan takes oath as Bicol Saro party-list rep,
36,"DOH, OSG should’ve been on COVID-19 vax negotiating team —Tolentino",
37,"Political scientist Aries Arugay tackles PH foreign policy, Ukraine-Russia conflict",
38,"Stricter regulation of alcohol sale, task force sought to address teen pregnancies",
39,DFA urged to broker security accords with other countries amid China aggression,
