,Text,Annotate
0,Ressa’s acquittal impacts investment climate positively – Mindanao lawyers,
1,FULL TEXT: Vice president-elect Sara Duterte inaugural speech,
2,"Highlights of WHO chief’s visit to Manila, a summary",
3,"MANILA, Philippines – Due to the scheduled nationwide transport strike organized by various transportation groups, from March 6 to 12, a number of schools in the country have decided to hold classes virtually next week.",
4,"MANILA, Philippines – The Senate and the House of Representatives finished reconciling differences in versions of the proposed 2023 budget that they separately approved.",
5,Maundy Thursday traffic hampers motorists on NLEX,
6,Defense department signs $624-M contract to buy Black Hawk choppers,
7,"MANILA, Philippines – Thirty-six years ago, in February 1986, tens of thousands of Filipinos from various sectors united and rallied for days along the stretch of Epifanio de los Santos Avenue (EDSA) to oust the corrupt and tyrannical dictator, Ferdinand E. Marcos.",
8,The PNP under the leadership of Police General Rodolfo Azurin Jr.,
9,"NEGROS ORIENTAL, Philippines – Ending violence on Negros Island, a hotbed of insurgency and political violence, has been a long-running struggle.",
10,"MANILA, Philippines – President Ferdinand Marcos Jr. on Wednesday, October 5, said the Philippines may need to turn to Russia to fulfill its fuel needs amid rising global energy prices, bucking pressure from Western allies for countries to shun Moscow.",
11,"ICC: Victims, families can participate in drug war proceedings",
12,"After Japan trip, Marcos Cabinet to review, sort priority of foreign pledges",
13,"MANILA, Philippines – President Ferdinand Marcos Jr. visits Northern Luzon on Thursday, July 28, after a magnitude 7 earthquake jolted Abra and surrounding provinces.",
14,"MANILA, Philippines – Philippine leader Ferdinand Marcos Jr. on Tuesday, September 13, defended his late father’s imposition of martial law when in power, saying it was necessary because he was simultaneously  and separatist rebellions at that time.",
15,"MANILA, Philippines – Philippine Foreign Secretary Teodoro Locsin Jr. will represent President Rodrigo Duterte at an  summit in May to be hosted by the United States with leaders of the Association of Southeast Asian Nations (ASEAN).",
16,Philippines grants emergency use of Sinovac vaccine for kids 6 and up,
17,"MANILA, Philippines – Nearly two dozen bills cleared the House of Representatives on December 12, the last Monday of 2022 that the 19th Congress was in session, including measures that were specifically mentioned by President Ferdinand Marcos Jr. during his first State of the Nation Address in July.",
18,"Philippines, US to cooperate on nuclear energy",
19,"MANILA, Philippines – The controversial procurement by the Department of Education (DepEd) of  P2.4 billion worth of “outdated” laptops  through the Procurement Service of the Department of Budget and Management (PS-DBM) was indeed messy as it seemed.",
20,"MANILA, Philippines – Covering the transition to a new administration is a task equal parts fun and daunting.",
21,"TOKYO, Japan – President Ferdinand Marcos Jr. said on Wednesday, February 8, that the Philippines and Japan have yet to start formal talks on a reciprocal access agreement that would strengthen ties between their military forces. He added though that he wanted to see increased cooperation with the neighboring nation to boost security in the Indo-Pacific region.",
22,"President Ferdinand Marcos Jr. embarks on his third foreign trip in 2023, for an “official working visit” to Japan.",
23,"Philippine President Ferdinand Marcos Jr. said on Wednesday, November 9, that he’s keen on bringing up the country’s position on territorial disputes in the West Philippine Sea during the Association of Southeast Asian Nations (ASEAN) Summit in Cambodia and, more importantly, in a future discussion with Chinese President Xi Jinping.",
24,Bishop David slams red-tagging of truth guardians,
25,Groups call for more priority on gender issues after Marcos’ first SONA,
26,"MANILA, Philippines – Former police chief Camilo Cascolan’s appointment to the Department of Health (DOH) drew public ire, as critics questioned his qualifications for the position.",
27,"MANILA, Philippines – Jose Maria “Joma” Sison, founding chair of the Communist Party of the Philippines, has died, the CPP announcement on Saturday, December 17. He was 83.",
28,"SC to disqualify Bar Exam takers who hid COVID-19 status, smuggled phones",
29,"MANILA, Philippines – At least four senators said that they did not sign a panel report on the anomalies hounding the multibillion-peso pandemic contracts of President Rodrigo Duterte’s government done with Pharmally Pharmaceutical Corporation because of the inclusion of Duterte in the  for charges.",
30,"WASHINGTON, USA – The United States urged China on Saturday, April 29, to stop harassing Philippine vessels in the South China Sea, pledging to stand with the Philippines after another maritime confrontation between the two Asian countries.",
31,"MANILA, Philippines – In order to hasten a typically “long process” Interior Secretary Benhur Abalos said a newly-created  will be tasked to review the courtesy registrations submitted by nearly all of the Philippine National Police (PNP) senior officers.",
32,"MANILA, Philippines – The Philippines marked a slight improvement in political rights and civil liberties according to Freedom House’s “Freedom in the World 2023” report.",
33,"MANILA, Philippines – In another important ruling, the Supreme Court (SC) clarified that even mothers can be sued under Republic Act No. 9262 or the Anti-Violence Against Women and Their Children Act of 2004 (VAWC law).",
34,"MANILA, Philippines – The Department of Health said on Monday, June 13, that COVID-19 cases reported on June 6 to 12 were 30.4%  to the previous week.",
35,Rappler Recap: Court acquits Rappler of tax evasion,
36,Rappler Recap: 4 takeaways from US Secretary of State Blinken’s first PH visit,
37,"Duterte appoints Malacañang official, ex-Napoles lawyer as CA, CTA justices",
38,Kamala Harris makes historic trip to Palawan: ‘We are committed to you’,
39,"MANILA, Philippines – The Department of Health (DOH) on Wednesday, January 4, said that eight unvaccinated Filipinos who arrived in the country from China tested positive for COVID-19.",
