,Text,Annotate
0,"MANILA – The National Capital Region Police Office (NCRPO) will provide free rides  next week covering different routes in Metro Manila, in anticipation of a transport strike.",
1,MANILA -- Maritime regulatory authorities on Thursday confirmed that they had issued cease and desist orders against  that owns the sunken MT Princess Empress which has caused an oil spill in a critical biodiverse area off Mindoro Island.,
2,Palace: Half-day work in gov't offices on Holy Wednesday,
3,Emergency response must not exceed 2 hours – senator,
4,Number of apprehended motorists on motorcycle lane decreasing,
5,MANILA – The Land Transportation Franchising and Regulatory Board (LTFRB) on Thursday clarified that the end-of-the-year deadline it set for the Public Utility Vehicle Modernization Program (PUVMP) is for the program’s consolidation and not for the phaseout of traditional jeepney units.,
6,"MANILA – The Climate Change Commission on Saturday sought the revival of the Bicycle Act, citing the harmful impact of mechanized modes of travel on both the environment and public health.",
7,1st 'Kadiwa ng Pangulo' in Bicol posts P1.2-M record sales,
8,Solon eyes House nod on 'expanded' 4Ps Law,
9,"MANILA – The Philippine Air Force (PAF) and the United States Air Force (USAF) will hold Cope Thunder 23-1, a military exercise aimed at the coordination of different aircraft and various defensive and offensive tactics from May 1 to 12.",
10,Higher electricity lifeline rate pushed for low-income consumers,
11,RCEP ratification shows PH commitment to economic openness,
12,PBBM OKs inter-agency body for 125th PH independence anniversary,
13,MANILA – The Department of Social Welfare and Development (DSWD) is ready to render assistance to returning Overseas Filipinos (OF) from conflict-torn Sudan.,
14,"DHSUD, TESDA team up to meet high demand for skilled workers",
15,MANILA— The Marcos Jr. administration is looking to digitalize more processes of the Land Transportation Office (LTO) to serve the public and its stakeholders faster and more efficiently.,
16,MANILA – The Philippine National Police (PNP) has revamped the entire force of the Bayawan City Police Station in Negros Oriental in the aftermath of last weekend's attack that resulted in the death of Negros Oriental Governor Roel Degamo and eight civilians.,
17,Remulla: DOJ won't oppose bail plea by De Lima’s camp,
18,8 Kudarat cops face murder raps for death of 3 students,
19,"MANILA – President Ferdinand R. Marcos Jr. on Monday said he has directed the Philippine National Police (PNP) to identify crime hotspots in the country following the high-profile killings of local officials, including Negros Oriental Governor Roel Degamo on March 4.",
20,Embraer bags service contract for PAF's Super Tucano aircraft,
21,"MANILA – The governments of the Philippines and Japan have signed a memorandum of cooperation (MOC) to strengthen cooperation and development in the field of information  technology (ICT), notably to boost broadband infrastructure and cybersecurity.",
22,PBBM: PH must ‘transform’ to keep economy growing,
23,MANILA – The House Committee on Ethics and Privileges on Monday gave 24 hours for Negros Oriental Rep. Arnolfo Teves Jr. to personally appear at the House of Representatives amid his lapsed travel authority.,
24,Solon wants review of wage increase policies,
25,Senate bill seeks to establish standard emergency protocols,
26,MANILA – The Department of National Defense (DND) on Friday said it strongly  the expression of  from mayors of Cagayan regarding the implementation of additional and new Enhanced Defense Cooperation Agreement (EDCA) sites in their province.,
27,"MANILA – Department of National Defense (DND) chief Carlito G. Galvez Jr. reiterated the security  to eliminating ""peace spoilers"" in society.",
28,One-strike policy pushed vs. non-performing tax collectors,
29,"MANILA – To eradicate several criminal activities and ensure public safety, the Philippine National Police - Criminal Investigation and Detection Group (PNP-CIDG) have arrested 31 persons in anti-criminality operations across the country, that led to the recovery and confiscation of several pieces of evidence and the suppression of illegal activities.",
30,No misuse of higher education dev't funds: CHED,
31,MANILA – Philippine National Police (PNP) chief Gen. Rodolfo Azurin Jr. on Monday said incidents of eight focus crimes being monitored by the police force decreased by 14.69 percent from Jan. 1 to April 8 this year.,
32,MANILA – President Ferdinand R. Marcos Jr. has extended his condolences to the family of former Department of Foreign Affairs (DFA) Secretary Albert del Rosario who passed away while in transit to the United States on April 18.,
33,Manila ready to implement single ticketing system on May 2,
34,"MANILA – The Philippine Navy (PN) announced Tuesday that the missile frigate, BRP Antonio Luna (FF-151), arrived at the Changi Naval Base in Singapore on Monday for the inaugural ASEAN-India Maritime Exercise (AIME).",
