Text,Annotate,Outlet,Date
Marcos: Bilateral defense guidelines with US ‘responsive’ to present challenges,,gma,2023-05-05
" WASHINGTON — President Ferdinand ""Bongbong"" Marcos Jr. said he believes  the new bilateral defense guidelines would be responsive to the challenges which are being faced by the country.",,gma,2023-05-05
" ""Well, one, that is responsive to the challenges that we face and that approaches and finds ways to solve those problems or challenges on a multidimensional basis,"" Marcos said during a question-and-answer session at the Center for Strategic and International Studies (CSIS).",,gma,2023-05-05
" Department of National Defense officer-in-charge Undersecretary Carlito Galvez and US Defense Secretary Lloyd Austin have established the bilateral defense guidelines between the two countries to modernize the alliance cooperation ""for a free and open Indo-Pacific region.""",,gma,2023-05-05
" The said guidelines ""reaffirmed that an armed attack in the Pacific, including anywhere in the South China Sea, on either of their aircraft or armed forces – which includes their Coast Guards – would invoke mutual  under the 1951 PH-US Mutual Defense Treaty.""",,gma,2023-05-05
" Manila and Washington should expand cooperation on maritime security and maritime domain awareness, including through the continued conduct  maritime activities, including but not limited to joint patrols.",,gma,2023-05-05
" In a separate interview with reporters, Marcos was asked about the evolution of the treaty.",,gma,2023-05-05
 He responded that what was just finished were the guidelines of the new provisions of the treaty.,,gma,2023-05-05
" ""We are not yet there. What we did in this trip and what we have managed to formulate are the guidelines pa lang doon sa mga magiging provision at saka magiging detalye,"" Marcos said.",,gma,2023-05-05
" According to a readout of Austin's meeting with Marcos at the Pentagon on Wednesday, they ""lauded the conclusion of new US-Philippines Bilateral Defense Guidelines, which chart their vision for alliance cooperation across all operational domains.""",,gma,2023-05-05
Marcos on China’s 'meddling' remark: I think it’s for US,,gma,2023-05-05
" WASHINGTON —President Ferdinand ""Bongbong"" Marcos Jr. said he does not feel alluded to with the latest remark of China opposing any meddling in the South China Sea.",,gma,2023-05-05
 Marcos said the statement seems to be directed to the United States.,,gma,2023-05-05
" “Well, I do not think as representing as a Filipino and representing the Philippines, I don’t feel alluded to. How can we --- how can anyone say that we are not party and interest in all of these issues?” Marcos told reporters.",,gma,2023-05-05
" “So I think that kind of statement was directed more towards the United States than it was for the Philippines,” he added.",,gma,2023-05-05
" The Philippines and the US had established the bilateral defense guidelines between the two countries to modernize the alliance cooperation ""for a free and open Indo-Pacific region.""",,gma,2023-05-05
" The guidelines ""reaffirmed that an armed attack in the Pacific, including anywhere in the South China Sea, on either of their aircraft or armed forces – which includes their Coast Guards – would invoke mutual  under the 1951 PH-US Mutual Defense Treaty.""",,gma,2023-05-05
" Further, the Philippines and the US will expand cooperation on maritime security through but not limited to joint patrols.",,gma,2023-05-05
" Amid this latest development between Manila and Washington's defense ties, China expressed opposition to what it called meddling in the South China Sea to harm its territorial sovereignty and maritime rights.",,gma,2023-05-05
 China also said the region should not be used as a “hunting ground.”,,gma,2023-05-05
Marcos: No request from US for Pinoy troops if Taiwan tension rises,,gma,2023-05-05
" WASHINGTON - President Ferdinand “Bongbong” Marcos Jr. responded an outright ""no"" when asked if the United States government requested Filipino soldiers to be deployed to Taiwan once tension escalates.",,gma,2023-05-05
 Marcos was queried if the US asked the Philippine government to contribute Filipino troops  operations should war break out between US and China over Taiwan.,,gma,2023-05-05
" “No. The short answer is no,” Marcos said.",,gma,2023-05-05
 Marcos disclosed that the US also never asked for the sites under the Enhanced Defense Cooperation Agreement (EDCA) to be used as staging points for any attacks against other nations.,,gma,2023-05-05
" “To be fair, the United States has never brought up the possibility that we will use, that the United States will use the EDCA sites as staging areas for any offensive actions against any countries,” Marcos said.",,gma,2023-05-05
" “The United States has never said that this is a possibility and we’ve also made it clear to our end that this is not the purpose of those sites and this is not the way that they will be used,” he added.",,gma,2023-05-05
" The President also mentioned that he personally guaranteed to Chinese Foreign Minister Qiin Gang, who recently visited Manila, that these sites would not be utilized as military bases that will be used to attack other countries.",,gma,2023-05-05
" “No, these are not intended to be military bases to attack, to move against anyone, any country, not China, not any country… again we turn back to the simple concept of our foreign policy and it is the we’re continuing work that we would like to be involved in the pursuit of peace and that continues to be the case,” he explained.",,gma,2023-05-05
" Malacañang recently announced four new EDCA sites: Naval Base Camilo Osias in Sta Ana, Cagayan; Lal-lo Airport in Lal-lo, Cagayan; Camp Melchor Dela Cruz in Gamu, Isabela; and Balabac Island in Palawan.",,gma,2023-05-05
" Existing EDCA sites are Antonio Bautista Air Base in Palawan, Basa Air Base in Pampanga, Fort Magsaysay in Nueva Ecija, Mactan-Benito Ebuen Air Base in Cebu, and Lumbia Air Base in Cagayan de Oro City.",,gma,2023-05-05
" China has since criticized the latest EDCA sites, saying that this will only draw the Philippines into conflict.",,gma,2023-05-05
