Text,Annotate,Outlet,Date
PH to pursue talks with China on Malampaya gas fields—Marcos,,mb,2023-05-05
"WASHINGTON, D.C.— The Philippines will continue to negotiate with China over its claims on the Malampaya natural gas fields.",,mb,2023-05-05
"President Ferdinand ""Bongbong"" Marcos Jr. bared this as he concluded his five-day visit in Washington on Friday morning (Manila time), and said that both parties are “slowly inching towards a resolution” regarding their claims.",,mb,2023-05-05
He stressed that the only way to resolve this is to keep  lines open.,,mb,2023-05-05
"“The only way to resolve the issues that are outstanding is to once again keep talking and  to a consensus,  to an agreement and to continue to negotiate,"" Marcos said during a forum at the Center for Strategic and International Studies (CSIS).",,mb,2023-05-05
"""It is not an easy process but the Malampaya fields, natural gas fields that lie in our, within our baselines and within our exclusive economic zone and that again is being questioned in certain cases, in certain areas by China and we continue to negotiate with them,” Marcos added.",,mb,2023-05-05
"The President further said ""we continue to find a way,' and that the essential roadblock to that whole process has been very simple,” the chief executive added.",,mb,2023-05-05
He said the Chinese government has been claiming particular areas where the Malampaya fields are located but these areas are already recognized as part of the exclusive economic zone of the Philippines as determined by the Permanent Court of Arbitration in its July 2016 ruling.,,mb,2023-05-05
"“The nine dash line covers just about the entire West Philippine Sea. We, on the other hand, have established our baselines which have been recognized and accredited by UNCLOS and therefore there is that conflict and so what happens now especially when  to exploration in --- for energy --- for our energy needs are which law will apply because we say this is part of Philippine territory and therefore Philippine law should apply,” Marcos said.",,mb,2023-05-05
"“It may have  down to  that will just limit that application, the application of laws maybe to the vessels that are involved in this exploration and exploitation of whatever natural gas fields we can access,” he added.",,mb,2023-05-05
The chief executive said the resolution to this issue cannot be done overnight but noted that it is just one of the suggestions both parties are looking into to resolve the issue.,,mb,2023-05-05
"“There is no silver bullet where you say, we’ll do this and it’s done. As I said, we are inching slowly towards the resolution and that’s why we must be constant, we must be transparent and we must be accountable for all that we do.  And I cannot see any other way to handle the problem other than that,” the President added.",,mb,2023-05-05
"The Malampaya gas field is a deepwater gas-condensate reservoir, located offshore, 65 kilometers northwest of the island of Palawan.",,mb,2023-05-05
China's comments on US-PH defense guidelines not directed at us --- PBBM,,mb,2023-05-05
"WASHINGTON, D.C.—President Ferdinand ""Bongbong"" Marcos Jr. brushed  made by China on the Philippines-United States defense guidelines, saying it is the country's right to establish such with its allies.",,mb,2023-05-05
Marcos also believed the latest statement made by China was not directed to the Philippines. He said it was proper and right for the Philippines to forge agreements with its partner nations.,,mb,2023-05-05
"China said it firmly opposes any country’s move to meddle in the South China Sea issue ""to harm China’s territorial sovereignty and maritime rights and interests by citing the guidelines.""",,mb,2023-05-05
"It added that the South China Sea is ""not a hunting ground for forces outside the region.""",,mb,2023-05-05
"The President, however, thought the statement was not directed to the Philippines.",,mb,2023-05-05
"""Well, I do not think (that) representing (myself) as a Filipino and representing the Philippines, I don’t feel alluded to...So I think that kind of statement was directed more towards the United States than it was for the Philippines,"" Marcos said during his post-visit briefing here on Thursday night.",,mb,2023-05-05
"""And that is I think only right and proper because we in the Philippines need to do this if we are going to go forward and find new opportunities for our people at hindi naman masasabi na walang karapatan ang Pilipinas na gawin lahat ‘yun. Kaya’t ‘yang statement na ‘yan ay sa palagay ko ay hindi naka-direct sa Pilipinas (and they cannot tell that the Philippines has no right to do that. So, I think that statement was not directed to us),"" Marcos added.",,mb,2023-05-05
'We're not there yet',,mb,2023-05-05
One of Marcos' goals in visiting the US was to bring up the need for the Mutual Defense Treaty between the Philippines and US to evolve.,,mb,2023-05-05
"However, as he concluded his five-day visit here, he said the situation has not developed to the point of determining specific provisions in the treaty that need to evolve.",,mb,2023-05-05
"""We are not yet there. What we did in this trip and what we have managed to formulate are the guidelines pa lang doon sa mga magiging provision at saka magiging detalye (on the provisions and details,"" he said.",,mb,2023-05-05
"""But the premise continues to be the same. It’s a strengthening of relationship and we… The word 'evolve' is one that I have been using and that other people have seem to have adopted because that is exactly what it is that we need to do,"" he added.",,mb,2023-05-05
"The President stressed that the relations need to evolve ""because the situation that we face is evolving.""",,mb,2023-05-05
"""And when I speak about the evolving situation, I’m not only talking about security and defense. I’m talking about trade and I’m talking about economy. I’m talking about climate change. I’m talking about all the other aspects of our society, of our economy and even our government that we have to --- we have to adjust as a response to what changes we are facing,"" he said.",,mb,2023-05-05
"China opposes new US, PH bilateral defense guidelines",,mb,2023-05-05
"China has objected to the newly crafted Bilateral Defense Guidelines between the Philippines and the United States, claiming that countries surrounding the contested waterway have maintained peace and stability in the region.",,mb,2023-05-05
"Mao Ning, spokesperson of China's Foreign Ministry, said China ""firmly opposes any country's move to meddle in the South China Sea issue to harm China's territorial sovereignty and maritime rights and interests by citing the guidelines.""",,mb,2023-05-05
"She questioned the need for such since the situation in the contested waterway has been characterized by overall stability ""with the concerted efforts of regional countries.""",,mb,2023-05-05
"Her remarks came amid China's apparent acts of aggression in the South China Sea, which included conducting dangerous maneuvers against foreign vessels' crew as well as fishermen, incursion into others' exclusive economic zone and driving away fisherfolk from their local fishing grounds.",,mb,2023-05-05
"""I would like to stress that the South China Sea is the shared home for countries in the region, not a hunting ground for forces outside the region,"" Mao said said in her regular press briefing on Thursday night.",,mb,2023-05-05
