Text,Annotate,Outlet,Date
Positivity rate in NCR may rise as high as 25%: OCTA,,pna,2023-05-05
"THE HEAT IS ON. Commuters wait for a ride under the sweltering heat along Elliptical Road in Quezon City on Thursday (May 4, 2023). Some use fans to provide temporary shade from direct sunlight. (PNA photo by Joan Bondoc)",,pna,2023-05-05
"MANILA – The positivity rate or the number of people testing positive for Covid-19 in the National Capital Region (NCR) may reach 25 percent, the OCTA Research Group said Friday.",,pna,2023-05-05
"In a televised public briefing, OCTA Research Group fellow Dr. Guido David said the positivity rate in the NCR has reached 20.4 percent on May 3 from 14 percent on April 26.",,pna,2023-05-05
"“Yes, we’re expecting na tataas pa iyong positivity rate, baka umabot siya ng mga up to 25 percent, at hindi lang ako ang gumawa ng projections na iyan (that the positivity rate will rise, it may reach up to 25 percent, and I’m not the only one who made that projection), even other experts foresee that,” he said.",,pna,2023-05-05
"However, the healthcare utilization rate would not reach critical levels.",,pna,2023-05-05
"“In fact, currently nasa 25 percent healthcare utilization sa Metro Manila and we don’t expect na aabot iyon ng mga 40 percent, for example and it will be safe at low levels naman (the healthcare utilization is at 25 percent in Metro Manila, and we don’t expect that it would reach 40 percent, for example, and it will be safe at low levels),” he added.",,pna,2023-05-05
"He also noted that the provinces of Cavite, Rizal, Laguna, and Camarines Sur already have more than 20 percent positivity rate.",,pna,2023-05-05
"On Thursday, the Department of Health (DOH) said positivity rate is not the sole criterion in monitoring the country’s Covid-19 situation and metrics such as transmission rate, contact rate, and longer durations of infectiousness are not sole drivers of transmission and increases in cases.",,pna,2023-05-05
"In addition to monitoring the healthcare utilization rates and hospital admissions, the DOH urged the public to focus on layers of protection against Covid-19.",,pna,2023-05-05
David said that vaccination and wearing of face masks following self-risk assessment are important.,,pna,2023-05-05
"On the other hand, the public must have personal responsibility and arming people with information could help.",,pna,2023-05-05
"“Positivity rate, it’s one indicator, it’s not the only indicator pero it’s one indicator na nagsasabi na tumataas iyong infections (but it’s one indicator saying the infections are increasing),” he said.",,pna,2023-05-05
"To date, the country has logged 4,092,158 confirmed cases of Covid-19 with 66,444 deaths.",,pna,2023-05-05
"As of March 20, 2023, more than 78.4 million have been fully vaccinated including 7.2 million senior citizens, 10.2 million adolescents and 5.6 million children.",,pna,2023-05-05
More than 23.8 million have received their first booster dose and almost 4.4 million have received their second booster shot. ,,pna,2023-05-05
PBBM: PH must ‘transform’ to keep economy growing,,pna,2023-05-04
"MANILA – President Ferdinand R. Marcos Jr. on Wednesday (Thursday Manila time) said the Philippines must pursue economic ""transformation"", rather than just mere economic recovery, in order for the country to thrive in a post-pandemic world.",,pna,2023-05-04
"In his remarks during the fireside chat with US businesses at the Blair House in Washington, President Marcos said he does not want the Philippines to be back where it was in mid-2019 right before the Covid-19 hit.",,pna,2023-05-04
He said the country must “transform” to keep the economy moving and growing after the height of the Covid-19 pandemic.,,pna,2023-05-04
"“I do not view it as they said how do we get out of this hole? The hole that the pandemic put us in? I said: ‘Well I see it in a different way.’ I think because – that’s why I do not use ‘recovery’, the word recovery, I use the word transformation. Because we are not trying to recover to where we used to be. We are trying to transform ourselves to be part of the modern world,” he said.",,pna,2023-05-04
"“Now, that transformation I think will occur, I think it is a grand opportunity that we have been given. Now we do not start from a blank sheet of paper but it’s close... And many, many new sectors that did not exist before. There are businesses that did not exist before that will be very dominant in the very near future,” he added.",,pna,2023-05-04
"The economic transformation, he said, could be achieved with the help of the young workforce with an average age of between 23 and 24.",,pna,2023-05-04
"He further described the young workforce as well trained and proficient in the English language, noting that they are ""perfectly capable of engaging in these activities around the world.”",,pna,2023-05-04
"“Well, the optimism, number  from our workforce. I have a 107 million population and 60 percent of that are working. And those – we have the youngest, we have the youngest I don’t know in the world but certainly in Asia,” he said.",,pna,2023-05-04
"He expressed optimism that pursuing economic transformation is the ""right approach"", especially now that the effects can be perceived as the government structures the Philippine economy for stronger investment and more well-structured value chains both in the service sector and in the manufacturing sector.",,pna,2023-05-04
Bringing more foreign investments in,,pna,2023-05-04
Marcos also touted the administration's efforts minimize red tape and digitalize the bureaucratic processes to help accelerate foreign direct investment (FDI) and bring businesses into the Philippines.,,pna,2023-05-04
He pointed out that the Anti-Red Tape Authority (ARTA) has succeeded in streamlining some of the permitting process to ensure ease of doing business in the country.,,pna,2023-05-04
"“They have done a very good job. They have reduced some of the permitting procedures from --- for different industries from several months to just a few days,” Marcos said told the business executives",,pna,2023-05-04
"He, however, said the challenge is how  with other countries and how to shorten the business permitting process, which sometimes takes 36 months to secure in the Philippines.",,pna,2023-05-04
" documents are ready for signature after 24 hours in other countries, he noted.",,pna,2023-05-04
The President said another area that the administration is working on is digitalizing government processes and transactions.,,pna,2023-05-04
"“We always --- that’s why digitalization has  such an important part of our effort because with digitalization, you remove as much of the discretion that we will have --- that people have in actually processing these applications or these documents and hopefully the end result is that --- we will be doing most of our business in government purely online, without speaking to a human being,” he said.",,pna,2023-05-04
"Citing a study, Marcos said 95 percent of today’s work is done online, adding that although digitalizing the bureaucracy may be an intimidating task the government must carry it out. ",,pna,2023-05-04
Public urged to focus on protection amid rising positivity rate,,pna,2023-05-04
MANILA – The Department of Health on Thursday advised the public to focus more on layers of protection such as vaccination amid the rise in Covid-19 cases.,,pna,2023-05-04
"This, after the OCTA Research Group reported that the positivity rate or the number of people testing positive for Covid-19 in the National Capital Region (NCR) increased to 19.7 percent as of May 2.",,pna,2023-05-04
"""The positivity rate is not the sole criterion in monitoring our Covid-19 situation. There are many factors or measures to consider as to an area’s increase in COVID-19 cases,"" the DOH said in a Viber message to reporters.",,pna,2023-05-04
"""This means metrics such as transmission rate, contact rate, and longer durations of infectiousness are not sole drivers of transmission and increases in cases,"" it added.",,pna,2023-05-04
The DOH also emphasized that the public must keep an eye on the healthcare utilization rates and monitor the situation in our admissions in the hospitals.,,pna,2023-05-04
"As of April 30, only 3,157 or 18.1 percent of 17,480 non-intensive care unit (ICU) beds are utilized. Meanwhile, only 303 or 15 percent of 2,021 ICU beds were utilized.",,pna,2023-05-04
"On Tuesday, DOH officer in charge Maria Rosario Vergeire said that the positivity rate should not be the sole basis of the country’s Covid-19 situation.",,pna,2023-05-04
"The positivity rate is expected to increase because the individuals tested are those most likely to be positive as the shift in testing protocols to focus more on symptomatic individuals, she said.",,pna,2023-05-04
"She also urged the public to get vaccinated, receive their booster shots against Covid-19 and wear face masks. ",,pna,2023-05-04
Public urged to focus on protection amid rising positivity rate,,pna,2023-05-04
MANILA – The Department of Health on Thursday advised the public to focus more on layers of protection such as vaccination amid the rise in Covid-19 cases.,,pna,2023-05-04
"This, after the OCTA Research Group reported that the positivity rate or the number of people testing positive for Covid-19 in the National Capital Region (NCR) increased to 19.7 percent as of May 2.",,pna,2023-05-04
"""The positivity rate is not the sole criterion in monitoring our Covid-19 situation. There are many factors or measures to consider as to an area’s increase in COVID-19 cases,"" the DOH said in a Viber message to reporters.",,pna,2023-05-04
"""This means metrics such as transmission rate, contact rate, and longer durations of infectiousness are not sole drivers of transmission and increases in cases,"" it added.",,pna,2023-05-04
The DOH also emphasized that the public must keep an eye on the healthcare utilization rates and monitor the situation in our admissions in the hospitals.,,pna,2023-05-04
"As of April 30, only 3,157 or 18.1 percent of 17,480 non-intensive care unit (ICU) beds are utilized. Meanwhile, only 303 or 15 percent of 2,021 ICU beds were utilized.",,pna,2023-05-04
"On Tuesday, DOH officer in charge Maria Rosario Vergeire said that the positivity rate should not be the sole basis of the country’s Covid-19 situation.",,pna,2023-05-04
"The positivity rate is expected to increase because the individuals tested are those most likely to be positive as the shift in testing protocols to focus more on symptomatic individuals, she said.",,pna,2023-05-04
"She also urged the public to get vaccinated, receive their booster shots against Covid-19 and wear face masks. ",,pna,2023-05-04
House panel starts oversight queries on gov’t offices’ budget ops,,pna,2023-05-04
MANILA – The House of Representatives’ Appropriations Committee on Thursday officially began its series of oversight queries on the budget performance of national government agencies.,,pna,2023-05-04
"Estella Quimbo, senior vice chairperson of the panel, presided over the budget oversight hearing of the Department of Health (DOH) to kick off the queries that would ensure the budget under the General Appropriations Act (GAA) are properly “utilized and disbursed timely, effectively, and efficiently.”",,pna,2023-05-04
"“We shall begin with a series of oversight meetings on the budget performance of departments, agencies, and corporations of the national government funded under the FY 2022 GAA and for the 1st Quarter of FY 2023 GAA,” Quimbo said.",,pna,2023-05-04
"She said Appropriations Committee chairperson, Rep. Elizaldy Co,  to actively pursuing the monitoring  by agencies with the requirements and/or conditions in the utilizations of public funds as provided under Section 29, Article VI of the 1987 Constitution.",,pna,2023-05-04
"“Under the oversight power of the Committee on Appropriations, we are responsible for ensuring that the appropriations under the GAA are utilized and disbursed timely, effectively, and efficiently in accordance with the intent of Congress,” she said. “Additionally, to  whether or not these activities or projects be pursued, curtailed, or eliminated in the budget proposal for the next budget year to be authorized by Congress.”",,pna,2023-05-04
"Quimbo, the 2nd District representative of Marikina, said the panel shall not intervene, participate, or undertake any role or function in any of the various post-enactment stages of the budget execution, such as, but not limited to, project identification or modification, fund releases, and other activities beyond its congressional oversight functions, as defined under applicable laws or jurisprudence.",,pna,2023-05-04
"Based on the Fiscal Year  audit of the Commission on Audit, the DOH is confronted by the following issues related to fund use:",,pna,2023-05-04
- Deficiencies noted in the procurement process and timelines;- Lapse of unutilized allotments and low utilization;- Deficiencies in the distribution and use of Covid-19-related items;- Deficiencies in the payment of Covid-19 benefits and allowances; and- Deficiencies and delays in the implementation of the health facilities enhancement program (HFEP).,,pna,2023-05-04
Quimbo appealed to the members of the panel to direct their queries and questions on matters relevant to  audit.,,pna,2023-05-04
She also asked the panel to deliberate on Financial Accountability Reports and Physical Reports of Operations for FY 2022 and as of March 2023 of the DOH; budget uses vis-a-vis targets/performance as of the budget year 2022 and 2023; and status of implementation of the HFEP as of FY 2022 and the 1st Quarter of FY 2023. ,,pna,2023-05-04
"OCD urges public to heed El Niño advisories, warnings",,pna,2023-05-04
(PNA photo by Yancy Lim),,pna,2023-05-04
MANILA – The Office of Civil Defense (OCD) reminded the public to heed authorities’ advisories on El Niño and implement necessary measures in preparation for the impacts of the phenomenon.,,pna,2023-05-04
"This came after the Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA) raised its monitoring status from El Niño watch to El Niño alert on Tuesday.",,pna,2023-05-04
"In a memorandum dated May 3, the National Disaster Risk Reduction and Management Council (NDRRMC) directed regional DRRMCs and OCD regional offices to implement preparedness actions which include close monitoring of warnings from PAGASA, issuance of reminders on water and energy conservation, the maintenance of water distribution systems to prevent wastage.",,pna,2023-05-04
"This also includes the strengthening of  and localization of warnings and reminders  adherence to the public health advisory for El Niño and minimum health standards for Covid-19 issued by the Department of Health, and the submission of regular reports to NDRRM Operations Center.",,pna,2023-05-04
"An interagency meeting was also held last April 24 which was presided by OCD Administrator Undersecretary Ariel Nepomuceno. Nepomuceno emphasized the need to identify and harmonize short term solutions, medium term and long term solutions of concerned government agencies for the El Niño phenomenon.",,pna,2023-05-04
" of the proposed El Niño team to be led by the Department of the Interior and Local Government, was presented by OCD which also serves as team co-chair, with the Department of Agriculture, Department of Environment and Natural Resources, Department of Energy, Department of Health, Department of Science and Technology, National Economic and Development Authority, National Irrigation Administration and Metropolitan Waterworks and Sewerage System as members.",,pna,2023-05-04
