Text,Annotate,Outlet,Date
Solon hits 'same-sex union' inclusion in DepEd’s draft curriculum,,pna,2023-05-02
"MANILA – CIBAC Party-list Rep. Bro. Eddie Villanueva on Tuesday expressed apprehension over the Department of Education’s (DepEd) inclusion and promotion of gender fluidity, same-sex union, and same-sex marriage in its draft curriculum for Kindergarten to Grade 10 pupils.",,pna,2023-05-02
"“We are shocked to discover that the promotion of gender ideology, same-sex union, and same-sex marriage is slowly creeping under our noses into the very curriculum of our basic education! What is more worrying is the slant towards promoting and condoning such practices in the minds of our young students,” Villanueva said in a statement.",,pna,2023-05-02
"“Not only is this anti-God but also clearly unconstitutional! Section 13, Article II of the Constitution mandates that the State shall promote the moral and spiritual well-being of our youth. I do not see that the introduction of these topics into our basic education curriculum is heading in the right direction.”",,pna,2023-05-02
DepEd has released its revised curriculum draft for Kindergarten to Grade 10 students through its Facebook page and has invited the public and interested stakeholders to review it and provide feedback until May 3.,,pna,2023-05-02
"In the proposed new curriculum under the subject Araling Panlipunan 10, among the topics included to be taught to the children are the different genders and the meaning and benefits of same-sex unions.",,pna,2023-05-02
"“Though this is still a draft and, hopefully, will still undergo revisions, it is just very disturbing that there are proponents of gender ideology inside DepEd that inject this advocacy into the education of our youth,” Villanueva said. “I am calling all stakeholders to be more vigilant on this issue because this is a primordial concern that will shape the moral fiber of our youth.”",,pna,2023-05-02
He said they are planning to seek an inquiry on the matter. ,,pna,2023-05-02
Tulfo: Autism must be treated seriously,,pna,2023-04-27
"MANILA – Senator Raffy Tulfo on Thursday expressed alarm over the continued increase in the number of people diagnosed with autism in the country, which include even those without family history of autism.",,pna,2023-04-27
"Tulfo noted that data from the Department of Health (DOH) showed that in 2008 the number of autism cases reached 500,000, but after a decade it ballooned to 1 million cases or doubled after 10 years.",,pna,2023-04-27
"As such, the senator is pushing for swift congressional passage of Senate Bill (SB) 752, or the “Autism Cooperation, Accountability, Research, Education and Support (CARES) Act of 2022” filed in July 2022, which seeks to address and increase support for persons with autism.",,pna,2023-04-27
