Text,Annotate,Outlet,Date
"As COVID-19 cases rise, BuCor suspends visitation in New Bilibid Prison",,rappler,2023-05-04
"MANILA, Philippines – In light of the rising COVID-19 cases, Bureau of Corrections (BuCor) Director General Gregorio Catapang Jr. suspended the visitation in the New Bilibid Prison in Muntinlupa City and in the Correctional Institution for Women (CIW) in Mandaluyong City. ",,rappler,2023-05-04
"The BuCor made the announcement on Wednesday night, May 3, adding that the visitation will remain suspended until further notice. According to the data provided by Dr. Ma. Cecilia Villanueva, BuCor health services director, 32 individuals out of 407 tested on May 2 yielded positive results. ",,rappler,2023-05-04
"In tests conducted on Wednesday, 16 out of 174 also tested positive for COVID-19. ",,rappler,2023-05-04
"In total, 48 have tested positive for the virus. However, the BuCor has yet to clarify if these individuals are persons deprived of liberty (PDL) or BuCor personnel or officials. ",,rappler,2023-05-04
"The corrections bureau added that most of the cases came from Bilibid’s  which houses 18,000 PDLs. The BuCor added the individuals are either asymptomatic or mild cases, and currently in isolation ward in the national penitentiary. ",,rappler,2023-05-04
"“Two years na tayong walang kaso ng COVID-19, most likely nahawa and ating PDLs sa dumalaw sa kanya (We had no COVID-19 case in the last two years so most likely, our PDL was infected by his/ her visitor),” Villanueva said in a statement. ",,rappler,2023-05-04
"The statement said the BuCor will also resume contact tracing inside the maximum  Villanueva, as quoted by BuCor’s statement, said 99% of the PDLs are fully vaccinated, while 94% already received their first booster shot. ",,rappler,2023-05-04
"For the PDLs’ relatives who might have concerns, the BuCor advised them to contact Bilibid’s Inmate Visitation Service Unit at 84780808 local 161, and 85321736 for the CIW. ",,rappler,2023-05-04
"As of April 27, Octa Research said the seven-day positivity rate in Metro Manila had increased from 8.1% to 12.3%. ",,rappler,2023-05-04
"At the height of the pandemic in 2020, an average of 60 PDLs died in Bilibid per month. With a population of over 28,000, the national penitentiary suffers from a congestion rate of 335%, as of 2020. ",,rappler,2023-05-04
Bangsamoro normalization programs ‘sputtering’ – International Crisis Group,,rappler,2023-05-01
"MANILA, Philippines –  The reminder that challenges still haunt the peace process in Mindanao came amid the high emotions on April 27 as  and  of the Moro Islamic Liberation Front (MILF) received their birth certificates in Camp Bilal, Munai, Lanao del Norte.",,rappler,2023-05-01
"Bangsamoro Transition Authority  Parliament Member Abdullah Macapaar, still popularly known by his nom de guerre Commander Bravo, thanked the government for giving MILF members access to legal identity documents.",,rappler,2023-05-01
"Around 40,000  need these papers to tap into a package of government services in return handing over their weapons. ",,rappler,2023-05-01
"But within minutes of his talk, Macapaar  impatience over the  process. ",,rappler,2023-05-01
"Macapaar acknowledged the P100,000 cash exchange for each firearm that was turned over in the initial implementation of the Comprehensive Agreement on the Bangsamoro (CAB).",,rappler,2023-05-01
"“But our question is, where is the P900,000?” he asked, to loud applause and some catcalls.",,rappler,2023-05-01
"He addressed Secretary Isidro Purisima, successor of retired general and now Defense Department officer-in-charge Carlito Galvez Jr., at the Office of the Presidential Adviser for Peace, Reconciliation and Unity (OPAPRU).",,rappler,2023-05-01
"“What can you do to help? The guns have piled up in the warehouse, but the government doesn’t seem to want to accept these. I don’t understand why you don’t want these,” Macapaar said in Filipino, the national language.",,rappler,2023-05-01
"Purisima kept a straight face in front of foreign diplomats, including counter-terrorism experts.",,rappler,2023-05-01
"Later, he told reporters, “We want them to understand that what we call cash assistance isn’t just about the ",,rappler,2023-05-01
