Text,Annotate,Outlet,Date
PH to reassess protocols with end of Covid global health emergency,,sunstar,2023-05-06
"WITH the end of the global emergency status for coronavirus disease (Covid-19), the Department of Health (DOH) on Saturday, May 6, 2023, said it is set to reevaluate and reassess the existing health protocols and guidelines in the Philippines.",,sunstar,2023-05-06
"In a brief statement, the DOH said it will meet with the other members of the Inter-Agency Task Force for Emerging Infectious Diseases (IATF-EID) to discuss the latest developments on Covid-19.",,sunstar,2023-05-06
"""The DOH will convene the members of the IATF-EID to discuss and reassess policies and other guidelines affected by the declaration,"" said the DOH.",,sunstar,2023-05-06
"""The DOH guarantees the Filipino people that all factors in determining our next action in line with the WHO’s proclamation will be considered and discussed for the approval of the President,"" it added.",,sunstar,2023-05-06
The DOH issued the statement hours after the World Health Organization (WHO) ended the global emergency status for Covid-19.,,sunstar,2023-05-06
"According to the health department, the end of the global emergency status is a result of the massive international effort  the pandemic.",,sunstar,2023-05-06
"""This is an acknowledgment of our effective and collaborative Covid-19 response and concerted efforts to fully recover and reopen our economy,"" said the DOH.",,sunstar,2023-05-06
"On January 30, 2020, the WHO declared Covid-19 as a Public Health Emergency of International Concern (PHEIC).",,sunstar,2023-05-06
"As of May 3, 2023, there have been 765,222,932 confirmed cases of Covid-19, including 6,921,614 deaths, globally.",,sunstar,2023-05-06
"In the Philippines, a total of 4,099,088 cases have been recorded, including 66,444 deaths, as of May 5.",,sunstar,2023-05-06
"DOH reiterates call for kids to get measles, polio jabs",,sunstar,2023-05-05
"FIVE days after starting its mass immunization campaign against measles, rubella and polio, the Department of Health (DOH) on Friday, May 5, 2023, called on the public anew to have their children vaccinated against the three vaccine-preventable diseases.",,sunstar,2023-05-05
"In her speech during the Chikiting Ligtas 2023 activity in Taguig City, Health Undersecretary Maria Rosario Vergeire said they continue to encourage parents and guardians to allow their children aged under five years old to get vaccinated against measles, rubella and polio.",,sunstar,2023-05-05
"""The Chikiting Ligtas 2023 program aims to prevent hospitalization or death of children from vaccine-preventable diseases, such as measles, rubella, and polio,"" said Vergeire.",,sunstar,2023-05-05
"""Thus, we continue to encourage children 59 months and below to visit the nearest health center and vaccination sites to get the free vaccines against measles, rubella, and polio,"" she added.",,sunstar,2023-05-05
"On Monday, the DOH began its month-long immunization campaign against measles, rubella and polio.",,sunstar,2023-05-05
"A total of 11,108,115 kids 0 to 59 months are being eyed for oral polio vaccination.",,sunstar,2023-05-05
"Some 9,509,585 kids nine to 59 months are also being targeted for measles-rubella (MR) vaccines.",,sunstar,2023-05-05
"""They are those, who missed out on their routine immunization or were unable to get their vaccines at all due to the Covid-19 pandemic,"" said Vergeire.",,sunstar,2023-05-05
The immunization drive of the DOH will run until May 31.,,sunstar,2023-05-05
Octa admits positivity rate does not show whole Covid picture,,sunstar,2023-05-05
"FACED with criticisms from the Department of Health (DOH), the independent Octa Research on Friday, May 5, 2023, admitted that the positivity rate cannot show the whole picture of the coronavirus disease (Covid-19) trend.",,sunstar,2023-05-05
"In a televised public briefing, Octa fellow Guido David admitted that the positivity rate alone should not indicate if the Covid-19 situation in the country is on the rise or not.",,sunstar,2023-05-05
"""The positivity rate is one indicator.",,sunstar,2023-05-05
"It’s not the only indicator but it’s one indicator that shows that infections are on the rise,"" said David.",,sunstar,2023-05-05
"""The positivity rate is just one indicator to guide us as it shows infections are on the rise.",,sunstar,2023-05-05
"At least we are informed that, yes, infections are increasing,"" he added.",,sunstar,2023-05-05
The Octa fellow said they are issuing positivity rate bulletins in a bid to provide the public with any available information.,,sunstar,2023-05-05
"""We want the people to have personal responsibility.",,sunstar,2023-05-05
"For people to have personal responsibility, the best we can do is to arm them with information, whatever it is that we have,"" David said.",,sunstar,2023-05-05
He issued the statement after the DOH repeatedly dismissed the regular release of positivity rates by OctaResearch.,,sunstar,2023-05-05
The DOH said that the positivity rate is not the sole criterion in monitoring the country’s Covid-19 situation as many other factors or measures should be considered.,,sunstar,2023-05-05
David said they also agree with the DOH that the Covid situation should not  to the previous waves in the country.,,sunstar,2023-05-05
He said this is because the healthcare utilization rate is not expected to surge parallel to the Coivd-19 cases.,,sunstar,2023-05-05
"""The healthcare utilization, we don’t expect it to rise to critical levels.",,sunstar,2023-05-05
"In fact, healthcare utilization rate in Metro Manila is still at 25 percent,"" he said.",,sunstar,2023-05-05
"""We don’t expect it to reach 40 percent.",,sunstar,2023-05-05
"It will be safe at low levels,"" added David.",,sunstar,2023-05-05
The DOH earlier said the country should not be alarmed by increasing cases as most are just mild cases.,,sunstar,2023-05-05
The DOH said that proof of this is the low healthcare utilization rates across the country.,,sunstar,2023-05-05
Marcos secures $1.3B investment pledges from US trip,,sunstar,2023-05-05
"PRESIDENT Ferdinand “Bongbong” Marcos Jr. has secured $1.3 billion, or over P63 billion worth of investments during his four-day official visit in the United States.",,sunstar,2023-05-05
