,Statement,Link,Date,Topic
0,AI chatbots have been used to create dozens of news content farms,https://mb.com.ph/2023/5/1/ai-chatbots-have-been-used-to-create-dozens-of-news-content-farms,a day ago,ukraine war
1,"UN chief, envoys in key talks on Afghanistan crisis",https://mb.com.ph/2023/4/30/un-chief-envoys-in-key-talks-on-afghanistan-crisis,2 days ago,ukraine war
2,China FM warns of 'dangerous consequences' of Taiwan criticism,https://mb.com.ph/2023/4/21/china-fm-warns-of-dangerous-consequences-of-taiwan-criticism,11 days ago,ukraine war
3,Brazil's Lula visits Europe amid row over Ukraine comments,https://mb.com.ph/2023/4/21/brazil-s-lula-visits-europe-amid-row-over-ukraine-comments,11 days ago,ukraine war
4,ICTSI reports record year in 2022,https://mb.com.ph/2023/4/20/razon-2022-a-record-year-for-ictsi-controlled-400-m-capex-for-2023,12 days ago,ukraine war
5,US arrests two over Chinese 'police station' in New York ​,https://mb.com.ph/2023/4/17/us-arrests-two-over-chinese-police-station-in-new-york,14 days ago,ukraine war
6,Pause on FAO 266 implementation by Palace receives praise,https://mb.com.ph/2023/4/11/pause-on-fao-266-implementation-by-palace-receives-praise,21 days ago,ukraine war
7,Inflation below 2% in 2024 possible– Medalla,https://mb.com.ph/2023/4/9/inflation-below-2-for-a-few-months-in-2024-medalla,23 days ago,ukraine war
8,UN chief slams rich countries' treatment of poor states,https://mb.com.ph/2023/3/4/un-chief-slams-rich-countries-treatment-of-poor-states,2 months ago,ukraine war
9,US says Russia not complying with last remaining nuclear treaty,https://mb.com.ph/2023/3/2/us-says-russia-not-complying-with-last-remaining-nuclear-treaty,2 months ago,ukraine war
