,Title,Author,Date,Text
0,Japan ready to help PH education programs — VP Duterte,Raymund Antonio,"May 3, 2023 ","The Japanese government has extended its invitation to the Philippines to take part in the education development training after a meeting with Vice President Sara Duterte on Wednesday, May 3.
According to Duterte, this was among the topics she discussed during her meeting with Japan International Cooperation Agency (JICA) Chief Representative Sakamoto Takema at her Mandaluyong City office.
JICA is the aid arm of the Japanese government.
In a meeting with Takema, Duterte said they also tackled the advancement of Public-Private Partnership (PPP), coordination with local government units, and recruitment of Japanese volunteers who will teach the Filipino youth.
“Ayon kay Mr. Takema, bahagi ng kanilang pakikipag-ugnayan sa mga LGUs ang pagtuturo sa mga kabataan ng disaster education. Kabilang din ito sa kanilang mga PPP programs (According to Mr. Takema, part of their coordination with LGUs is teaching the youth on disaster education. This is also included in their PPP programs),” her Facebook post read.
Takema also told Duterte about JICA’s programs for the education sector in the Philippines.
“Nagpapasalamat tayo sa JICA sa mga inisyatibong ito na layong palakasin ang sistema ng edukasyon sa ating bansa (We thank JICA for its initiatives that aim to strengthen the education system in our country),” she said.
Besides education, JICA has limplemented infrastructure, health and social development projects that are beneficial to Filipinos.
On Wednesday, Duterte likewise welcomed Japanese education officials to see how Japan can help in the Philippines’ educational programs.
In a separate post, the official shared photos with Mori Masako, the special advisor to the Prime Minister of Japan on Women Empowerment, who showed off the commemorative medallion presented to her by Duterte.
“Napag-usapan namin na handang tumulong ang Japan sa mga programang pang-edukasyon ng Pilipinas (We talked about how Japan is ready to help in the country’s educational programs),” she wrote.
Duterte shared how she told Masako that Davao City, her hometown that she was local chief executive of before winning the vice presidential race last year, has its own Little Tokyo because there are many Japanese descendants there.
She then thanked the Japanese government for their support, especially with the most recent oil spill in the waters of Oriental Mindoro.
"
1,Metro Manila Covid-19 positivity rate may reach 25% — OCTA,Ellalyn De Vera-Ruiz,"May 3, 2023 ","The Covid-19 positivity rate in Metro Manila continued to increase over the past week, rising from 12.7 percent on April 25 to 19.7 percent on May 2, based on the monitoring of the OCTA Research on Wednesday, May 3.
OCTA Research fellow Dr. Guido David said the region’s positivity rate “could go as high as 25 percent.”

The OCTA fellow previously stated that the Covid-19 Omicron subvariant XBB.1.16 spreading in the country may be the cause of the increasing Covid-19 cases.
Positivity rate refers to the number of individuals who yielded positive results from among those who have been tested for Covid-19.
The benchmark for the positivity rate set by the World Health Organization is 5 percent.
David also noted that hospital occupancy in Metro Manila rose from 22.5 percent on April 25 to 24.7 percent on May 2.
On Wednesday, the Department of Health reported 867 new Covid-19 cases across the country, of which 392 cases were recorded in Metro Manila.
David projected that the country may record 1,100 to 1,300 new Covid-19 cases on Thursday, May 4.
According to OCTA's metrics, the country currently has a positivity rate of 17.1 percent.
"
2,"Grand, Mega Lotto jackpots still up for grabs",Luisa K. Cabato,"May 3, 2023 ","There were no jackpot winners for Grand Lotto 6/55 and Mega Lotto 6/45 in the evening draw of the Philippine Charity Sweepstakes Offices (PCSO) on Wednesday, May 3.
The winning numbers for Grand Lotto were 19 - 46 - 03 - 34 - 04 - 28 for a jackpot prize worth P50,962,526.40.
Nine bettors won the second prize worth P100,000 and 659 players hit the third prize worth P1,500.
Grand Lotto is drawn every Monday, Wednesday, and Saturday at 9 p.m.
Meanwhile, the lucky combination for Mega Lotto was 27 - 40 - 17 - 04 - 15 - 33 for a jackpot whopping P169,766,543.20 jackpot.
PCSO said 328 bettors got the second prize worth P32,000 and 3,397 players won the third prize worth P1,000.
Mega Lotto is drawn every Monday, Wednesday, and Friday at 9 p.m.
"
3,Japanese minister tells VP Duterte: More jobs await Pinoy workers in Japan,Raymund Antonio,"May 3, 2023 ","Vice President and Education Secretary Sara Duterte on Wednesday, May 3, shared her delight upon learning from visiting Japanese Minister for Health, Labour, and Welfare Katsunobu Kato that more jobs await Filipino workers there.
In a Facebook post, the official talked about her meeting with Kato and even shared photos of the courtesy call in her office.
“Masaya tayo sa balitang dala ni Japanese Minister for Health, Labour, and Welfare Mr. Katsunobu Kato na maraming trabaho ang naghihintay para sa mga Pilipino sa Japan (We are happy with the news from Japanese Minister for Health, Labour, and Welfare Mr. Katsunobu Kato that there are many jobs waiting for Filipinos in Japan),” she wrote.
Quoting Kato, the Vice President said that 54.7 percent of Filipinos who took the exam for caregivers last March passed.
This is the highest passing percentage that Filipino examinees got in the past 10 years, Duterte added.
Aside from the possibility of more Filipinos working in Japan, the Vice President and Kato likewise discussed a range of issues that concern the two countries.
“Kabilang din sa aming napag-usapan ay pagpapatibay natin sa edukasyon bilang pundasyon ng tibay at seguridad ng ating bansa, ang technical internship ng Japan para sa mga Pilipino, at ang pagpapatibay ng Japan-Philippines Economic Partnership Agreement (JPEPA) (We also talked about the strengthening of our education as the foundation for the strength and security of our country, the technical internship of Japan for the Filipinos, and the fortification of the Japan-Philippines Economic Partnership Agreement),” Duterte said.
The Vice President is currently the government’s caretaker as President Ferdinand “Bongbong” Marcos Jr. attends a series of meetings in the United States, as well as the coronation of King Charles III in London this weekend.
"
4,Enforce ample measures vs El Niño: Abalos orders LGUs,Chito Chavez,"May 3, 2023 ","Department of the Interior and Local Government (DILG) Secretary Benjamin “Benhur” Abalos Jr. ordered local chief executives (LCE) on Wednesday, May 3, to help mitigate the adverse effects of El Niño in their respective areas.
Abalos issued the order after the state weather bureau forecasted that the phenomenon may emerge in the next three months and will last until the first quarter of 2024.
“Included in the mitigation efforts are the urgent enactment of ordinances curbing illegal connections and encouraging prudent water usage; allowing water concessionaires and water utilities to conduct emergency leak repairs; lifting of application of number coding schemes with respect to water tankers used by water concessionaires to immediately address water supply needs of affected customers; implementing and updating of existing contingency plans related to El Niño; stockpiling of relief goods (food and non-food items) for immediate relief assistance, among others,’’ the DILG said.
In his Memorandum Circular (MC), Abalos noted that the LCEs are also tasked to conduct massive information, education, and communication campaigns in communities on checking and immediate fixing of water leaks, maximizing rainwater harvesting and storage; implementation of water conservation measures; setting the temperature of air-conditioning units between 22 degrees Celsius to 25 degrees Celsius.
He stressed that the preparatory steps can alleviate the ill effects of the phenomenon in terms of agriculture, water resources, marine resources, human health, and environment, as a whole.
“Conserving water is one of the key actions needed to be taken to mitigate effects of El Niño and as public servants, we must set an example. These precautionary steps, albeit small, can make a big difference that can affect our communities,” he added.
The memorandum circular also listed down water conservation tips like turning off faucets while brushing teeth, using a glass instead; removing all leftover foods before washing the dishes; washing them using a small basin; storing and reusing the final rinse water to flush toilets; storing and reusing laundry water to clean floors, flush toilets, etc; watering plants early in the morning or late in the afternoon to minimize evaporation; not hosing down vehicles, clean it using a washcloth and pail; using water-efficient gadgets, such as high-pressure, low-volume hoses and showerheads, faucets with aerators and double-flush toilets among others.
“The LCEs are also urged to coordinate with Department of Agriculture regional offices for conduct of cloud seeding operations, implementation of rotational irrigation scheme and water-saving technology; strategizing of areas to be irrigated and reusing wastewater from drainage canals; utilizing solar pump irrigation; adapting drought-resistant and early-maturing seed varieties; and adjusting cropping calendar, among others,’’ the DILG added.
The DILG chief also instructed the Bureau of Fire Protection (BFP) to refrain from unnecessarily drawing water from fire hydrants and limit the same only for purposes of putting out fires.
"
5,Abalos to name PNP officials whose resignations would be accepted in 2 days,Chito Chavez,"May 3, 2023 ","Department of the Interior and Local Government (DILG) Secretary Benjamin “Benhur” Abalos Jr. confirmed on Wednesday, May 3, that the police officers whose resignations were accepted will be announced in two days.
To avoid public confusion, Abalos clarified that the Philippine National Police (PNP) officers whose resignations were accepted were among the more than 950 police generals and colonels who were asked to resign as part of the PNP’s cleansing process.
Recently, the PNP came under fire in view of the alleged high-profile illegal drug involvement worth billions of pesos of some police officers.
“So eto (courtesy resignations) ngayon ang tatalakayin, ilan dito (police officers) ang tinanggap ang resignation, ilan ang hindi tinanggap ang resignation at ano ang mangyayari (there were some whose resignations were accepted, a number of the resignations were rejected and this is what will transpire). We will make that statement in two days, okay,” Abalos said.
Abalos assured the public that the names of the PNP generals and colonels who will be removed from the police roster will be made public but additional time would be needed to ensure that all legalities are covered for them to come up with ‘airtight’ statements.
In his meeting with the NAPOLCOM, Abalos stated “ actually, kahapon (May 2) nag-usap na kami rito (Yesterday we already had a discussion). I just want to reassure the public that we will make sure that there will really be a house cleansing but we also want to make sure na talagang lahat ng legalities ay observe natin rito (that all legalities are observed).’’
"
6,Global semiconductor firm to expand in PH with US$200-M investment pledge,Betheena Unite,"May 3, 2023 ","WASHINGTON, D.C.—A global semiconductor company intends to expand in the Philippines by investing USD 200 million in a new research and development (R&D) facility in Cavite.
This was among the investments bagged by President Ferdinand ""Bongbong"" Marcos Jr. while in Washington for a five-day working visit.
In a meeting with Marcos, the Analog Devices, Inc. (ADI) announced its investment in a new R&D facility to add to its LEED certified production facility at the Gateway Business Park in Cavite.
According to ADI, it would continue to decide on the manufacturing aspects and change the manufacturing operation to focus more on current technology.
They said rather than the more basic stuff that may have been done 15 to 20 years ago, they have continued to increase the level of technology that’s been introduced since the planning.
“So today you hear about 300 mm wafers, 12-inch wafers, in there. Well, those wafers now come down and we are setting up a 300-mm Center of Excellence in Cavite, which is doing all of the wafer programs and associated with our products,"" an ADI official told the President.
These are some of the most advanced technology products that come in, get tested and processed at ADI’s Cavite plant, ADI said, adding the company has moved at all stages to the technology part, both from development and manufacturing perspectives.
Marcos welcomed the company's expansion plans and affirmed the support of his administration to its endeavors.
Established in 1965, ADI is a global semiconductor leader using Intelligent Edge. It combines analog, digital, and software technologies into solutions that help drive advancements in digitized factories, mobility and digital healthcare, combat climate change, and reliably connect humans and the world.
ADI’s Philippine counterpart, Analog Devices General Trias, Inc. (ADGTI), engages in the manufacture, assembly, semi-conductor devices testing and dice inspection.
As of 2022, ADGTI has 5,252 employees, with a total of USD 394.39 million worth of exports for the same year.
"
7,"BuCor suspends PDLs’ visitation privileges at Bilibid, CIW due to Covid-19",Jeffrey Damicog,"May 3, 2023 ","The Bureau of Corrections (BuCor) has suspended the visitation privileges of persons deprived of liberty (PDLs) at the New Bilibid Prison (NBP) in Muntinlupa City and the Correctional Institution for Women (CIW) in Mandaluyong City due to the detection of Covid-19 virus.
In a notice posted on its Facebook page on Wednesday, May 3, BuCor said: “All visitation inside the NBP and CIW prison camp facilities are hereby cancelled effective immediately until further notice.”
It advised the relatives of PDLs to contact the NBP’s Inmate Visitation Service Unit (IVSU) of its Maximum-Security Compound at telephone No. 8478-0808 local 161 and CIW Mandaluyong at telephone No. 8532-1736.
As of posting, BuCor could not disclose how many PDLs are infected by Covid-19.
Earlier, BuCor had invited journalists to attend a press event at the NBP on May.  It cancelled the event Tuesday night, May 2.
Visitation privileges of PDLs in all BuCor prison facilities were suspended in 2020 due to the Covid-19 pandemic.
In May 2022, it gradually resumed the visitations of PDLs.
"
8,UP Cebu to temporarily shift to online classes due to Covid-19,Luisa K. Cabato,"May 3, 2023 ","The University of the Philippines (UP) Cebu Office of the Chancellor has issued a memorandum for the temporary transition of classes to online mode starting Thursday, May 4 until May 10 due to Covid-19.
""In response to the recent surge in Covid-19 probable cases on campus, we are taking immediate action to protect the health and safety of our community by temporarily transitioning to online classes,"" UP Cebu Chancellor Leo B. Malagar said on May 3.
The shift to online classes applies to all courses except those who need access to studios or laboratories and the high school program.
Students and staff who will report on-site need to adhere to stringent safety protocols, Malagar said.
""During this one-week period, all classrooms will be thoroughly disinfected to ensure a safe learning environment upon our return,"" he added.
"
9,Advocacy group highlights importance of integrating civic education in all subjects,Merlina Hernando-Malipot,"May 3, 2023 ","To promote the development of critical thinking skills, civic engagement, and social responsibility among Filipino learners, an advocacy group pushes for the integration of civic education in all subjects.
The Philippine Business for Education (PBEd), through its online learning platform Sibika.ph, pushed for civic education in all subjects.
“By incorporating civic education into different learning settings and teaching methods, we support the advocacy for a more holistic approach to education which not only prepares students for employment but also develops their character and sense of civic responsibility,” said PBEd Deputy Executive Director for Programs Bal Camua said during the Youth Leadership for Democracy (YouthLed PH) Civic Education Summit 2023.
The platform Sibika.ph provides teachers with free and accessible resources for teaching civic education, helping them equip students with a better understanding of their role in society.
The resources include Department of Education (DepEd)-certified (Understanding Culture, Society and Politics) modules, educational videos, and curated materials on civic education.
The summit, organized by YouthLed, a project of The Asia Foundation and the United States Agency for International Development, took place at Diamond Hotel last month.
It featured discussions on developing civic knowledge and skills among teachers and the youth, with a showcase of online and offline training opportunities and resources.
Special sessions were conducted among teachers and education supervisors nationwide on pedagogical innovations for delivering civic education to learners.
The event also provided a platform for the academe, government, civil society, private sector, and student and youth-led organizations to discuss the state of civic education in the Philippines.
Civic education is vital for nation-building
During the panel discussion, teachers emphasized the importance of civic education in teaching students about their rights and responsibilities.
With the use of various methods such as small group discussions, immersion programs, and metaphors, they were able to instill collaboration, social responsibility, and integrity in their students while addressing community problems.
“What we can learn from this is that civic education is an essential part of every student's education, and we recognize that it can be integrated into all subjects and at all grade levels,” Camua said.
Camua added that the ongoing review of the K to 12 curriculum and convening of the Second Congressional Commission on Education are “opportune time to include the critical role of civic education in the formation of the youth to become responsible citizens and contribute to nation-building,” he added.
"
