,Statement,Link,Date
0,Duterte urged to retract ‘red-tagging spree’ as DepEd revises K to 12 curriculum,https://mb.com.ph/2023/5/5/duterte-urged-to-retract-red-tagging-spree-as-dep-ed-revises-k-to-12-curriculum,30 minutes ago
1,Some senators open to nuclear energy as potential solution to PH power woes ​,https://mb.com.ph/2023/5/5/some-senators-open-to-nuclear-energy-as-potential-solution-to-ph-power-woes,35 minutes ago
2,Bilibid’s Covid-19 infection rises – BuCor,https://mb.com.ph/2023/5/5/bilibid-s-covid-19-infection-rises-bu-cor,an hour ago
3,"Oil spill clean-up: 85.41% of affected shoreline in Pola, Or. Mindoro now cleared",https://mb.com.ph/2023/5/5/oil-spill-clean-up-85-41-of-affected-shoreline-in-pola-or-mindoro-now-cleared,an hour ago
4,Olongapo mayor tells House panel why LGU won't pay P7.33-B debt to PSALM,https://mb.com.ph/2023/5/5/olongapo-mayor-tells-house-panel-why-lgu-won-t-pay-p7-33-b-debt-to-psalm-1,an hour ago
5,You go girl! Pro-sports solon hails Kaila Napolis for winning PH's 1st gold in 2023 SEA games,https://mb.com.ph/2023/5/5/you-go-girl-pro-sports-solon-hails-kaila-napolis-for-winning-ph-s-1st-gold-in-2023-sea-games,6 minutes ago
6,"Expedite release of Excellence in Teacher Education Act IRR, agencies told",https://mb.com.ph/2023/5/5/expedite-release-of-excellence-in-teacher-education-act-irr-agencies-told,10 minutes ago
7,PH to pursue talks with China on Malampaya gas fields—Marcos,https://mb.com.ph/2023/5/5/ph-to-keep-negotiating-with-china-over-malampaya-gas-fields-marcos,22 minutes ago
8,"PH, US air forces train in counter-air operations",https://mb.com.ph/2023/5/5/ph-us-air-forces-train-in-counter-air-operations,23 minutes ago
9,British Embassy hosts coronation picnic in QC circle,https://mb.com.ph/2023/5/5/british-embassy-in-ph-to-hold-coronation-picnic-in-qc-circle,28 minutes ago
10,‘Kadiwa’ generates over P6.4M in sales during Labor Day celeb – DOLE,https://mb.com.ph/2023/5/5/kadiwa-generates-over-p6-4-m-in-sales-during-labor-day-celeb-dole,2 hours ago
11,Gov't to pursue illegal drug trade syndicates --- PBBM,https://mb.com.ph/2023/5/5/marcos-on-illegal-drug-trade-we-will-go-after-syndicates,2 hours ago
12,"PDEA, PNP nab 4 suspects, dismantle drug den in Laguna buy-bust",https://mb.com.ph/2023/5/5/pdea-pnp-nab-4-suspects-dismantle-drug-den-in-laguna-buy-bust-1,2 hours ago
13,"Rep Teves, 2 sons ask DOJ to dismiss 'illegal possession' of firearms, explosives charges",https://mb.com.ph/2023/5/5/rep-teves-2-sons-ask-doj-to-dismiss-illegal-possession-of-firearms-explosives-charges,2 hours ago
14,Poe: Visayas power woes causing economic losses,https://mb.com.ph/2023/5/5/poe-visayas-power-woes-causing-economic-losses,2 hours ago
